id,Skewness,Mean,DownSideRisk,ARZZ3,AUTM3,BBFI11B,BPNM4,BRCR11B,BRFS3,CESP6,CMIG3,CMIG4,COCE3,COCE5,CSMG3,ECOR3,EZTC3,FEXC11B,FFTL4,HGRE11,HGTX3,HTMX11B,IDVL4,JHSF3,KLBN4,KNRI11,LIGT3,MPXE3,PRSV11,RDCD3,RNEW11,SAPR4,SSBR3,STBP11,UOLL4,USIM3
29,0.000075,0.147901,0.050145,0.000000,0.000000,0.088126,0.047882,0.070040,0.100572,0.023069,0.000000,0.068799,0.032316,0.075293,0.000000,0.073936,0.000000,0.000000,0.075080,0.042435,0.000000,0.000000,0.000000,0.000000,0.037259,0.000000,0.067617,0.000000,0.052651,0.000000,0.000000,0.026403,0.072831,0.000000,0.045692,0.000000
26,-0.000051,0.130611,0.048205,0.000000,0.058788,0.073984,0.090377,0.000000,0.000000,0.000000,0.000000,0.000000,0.018696,0.000000,0.096390,0.049299,0.000000,0.116894,0.093572,0.044555,0.000000,0.000000,0.047608,0.035817,0.059492,0.000000,0.039223,0.000000,0.000000,0.062099,0.000000,0.000000,0.059093,0.054114,0.000000,0.000000
28,-0.000053,0.107156,0.040744,0.000000,0.000000,0.000000,0.000000,0.086105,0.000000,0.000000,0.094833,0.105868,0.000000,0.000000,0.043795,0.075176,0.000000,0.111120,0.074566,0.000000,0.076476,0.000000,0.000000,0.050984,0.063001,0.020081,0.069553,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.109077,0.000000,0.019364
29,0.000076,0.147761,0.050119,0.000000,0.000174,0.088126,0.047882,0.070040,0.100572,0.023069,0.000000,0.068799,0.032316,0.075293,0.000000,0.073936,0.000000,0.000000,0.075080,0.042435,0.000000,0.000000,0.000000,0.000000,0.037259,0.000000,0.067617,0.000000,0.052651,0.000000,0.000000,0.026229,0.072831,0.000000,0.045692,0.000000
18,0.000075,0.148401,0.050266,0.000000,0.000000,0.094698,0.047882,0.070040,0.100572,0.023069,0.000000,0.068799,0.032316,0.075293,0.000000,0.073936,0.000000,0.000000,0.068508,0.042435,0.000000,0.000000,0.000000,0.000000,0.037259,0.000000,0.067617,0.000000,0.052651,0.000000,0.000000,0.026403,0.072831,0.000000,0.045692,0.000000
26,-0.000051,0.130611,0.048205,0.000000,0.058788,0.073984,0.090377,0.000000,0.000000,0.000000,0.000000,0.000000,0.018696,0.000000,0.096390,0.049299,0.000000,0.116894,0.093572,0.044555,0.000000,0.000000,0.047608,0.035817,0.059492,0.000000,0.039223,0.000000,0.000000,0.062099,0.000000,0.000000,0.059093,0.054114,0.000000,0.000000
29,0.000076,0.147761,0.050119,0.000000,0.000174,0.088126,0.047882,0.070040,0.100572,0.023069,0.000000,0.068799,0.032316,0.075293,0.000000,0.073936,0.000000,0.000000,0.075080,0.042435,0.000000,0.000000,0.000000,0.000000,0.037259,0.000000,0.067617,0.000000,0.052651,0.000000,0.000000,0.026229,0.072831,0.000000,0.045692,0.000000
13,0.000076,0.147761,0.050119,0.000000,0.000174,0.088126,0.047882,0.070040,0.100572,0.023069,0.000000,0.068799,0.032316,0.075293,0.000000,0.073936,0.000000,0.000000,0.075080,0.042435,0.000000,0.000000,0.000000,0.000000,0.037259,0.000000,0.067617,0.000000,0.052651,0.000000,0.000000,0.026229,0.072831,0.000000,0.045692,0.000000
19,0.000076,0.147771,0.050125,0.000000,0.000174,0.088204,0.047882,0.070040,0.100572,0.023069,0.000000,0.068799,0.032316,0.075293,0.000000,0.073936,0.000000,0.000000,0.075080,0.042435,0.000000,0.000000,0.000000,0.000000,0.037181,0.000000,0.067617,0.000000,0.052651,0.000000,0.000000,0.026229,0.072831,0.000000,0.045692,0.000000
13,0.000076,0.147761,0.050119,0.000000,0.000174,0.088126,0.047882,0.070040,0.100572,0.023069,0.000000,0.068799,0.032316,0.075293,0.000000,0.073936,0.000000,0.000000,0.075080,0.042435,0.000000,0.000000,0.000000,0.000000,0.037259,0.000000,0.067617,0.000000,0.052651,0.000000,0.000000,0.026229,0.072831,0.000000,0.045692,0.000000
20,0.000076,0.147761,0.050119,0.000000,0.000174,0.088126,0.047882,0.070040,0.100572,0.023069,0.000000,0.068799,0.032316,0.075293,0.000000,0.073936,0.000000,0.000000,0.075080,0.042435,0.000000,0.000000,0.000000,0.000000,0.037259,0.000000,0.067617,0.000000,0.052651,0.000000,0.000000,0.026229,0.072831,0.000000,0.045692,0.000000
5,0.000076,0.147761,0.050119,0.000000,0.000174,0.088126,0.047882,0.070040,0.100572,0.023069,0.000000,0.068799,0.032316,0.075293,0.000000,0.073936,0.000000,0.000000,0.075080,0.042435,0.000000,0.000000,0.000000,0.000000,0.037259,0.000000,0.067617,0.000000,0.052651,0.000000,0.000000,0.026229,0.072831,0.000000,0.045692,0.000000
