id,HV,Mean,DownSideRisk,ARZZ3,AUTM3,BBFI11B,BPNM4,BRCR11B,BRFS3,CESP6,CMIG3,CMIG4,COCE3,COCE5,CSMG3,ECOR3,EZTC3,FEXC11B,FFTL4,HGRE11,HGTX3,HTMX11B,IDVL4,JHSF3,KLBN4,KNRI11,LIGT3,MPXE3,PRSV11,RDCD3,RNEW11,SAPR4,SSBR3,STBP11,UOLL4,USIM3
3,284.814218,0.104899,0.034292,0.000000,0.056152,0.000000,0.000000,0.000000,0.051974,0.000000,0.069261,0.078635,0.000000,0.026828,0.000000,0.113118,0.000000,0.036184,0.051253,0.000000,0.000000,0.089415,0.099547,0.035592,0.000000,0.026865,0.051290,0.000000,0.076102,0.048239,0.000000,0.000000,0.000000,0.054877,0.000000,0.034668
22,273.876592,0.115678,0.037469,0.028452,0.000000,0.000000,0.000000,0.055449,0.000000,0.000000,0.102678,0.076077,0.047537,0.000000,0.051306,0.076650,0.000000,0.000000,0.089961,0.000000,0.000000,0.042623,0.000000,0.000000,0.072331,0.071052,0.016066,0.000000,0.000000,0.060253,0.000000,0.000000,0.043879,0.000000,0.056970,0.108716
19,265.839502,0.134310,0.044060,0.069359,0.000000,0.000000,0.063500,0.085793,0.000000,0.090644,0.053498,0.000000,0.000000,0.000000,0.034830,0.095195,0.000000,0.086747,0.000000,0.000000,0.000000,0.046576,0.045295,0.000000,0.000000,0.048592,0.096830,0.035429,0.000000,0.057041,0.062192,0.000000,0.000000,0.000000,0.028480,0.000000
3,284.814218,0.104899,0.034292,0.000000,0.056152,0.000000,0.000000,0.000000,0.051974,0.000000,0.069261,0.078635,0.000000,0.026828,0.000000,0.113118,0.000000,0.036184,0.051253,0.000000,0.000000,0.089415,0.099547,0.035592,0.000000,0.026865,0.051290,0.000000,0.076102,0.048239,0.000000,0.000000,0.000000,0.054877,0.000000,0.034668
18,284.814218,0.104899,0.034292,0.000000,0.056152,0.000000,0.000000,0.000000,0.051974,0.000000,0.069261,0.078635,0.000000,0.026828,0.000000,0.113118,0.000000,0.036184,0.051253,0.000000,0.000000,0.089415,0.099547,0.035592,0.000000,0.026865,0.051290,0.000000,0.076102,0.048239,0.000000,0.000000,0.000000,0.054877,0.000000,0.034668
0,276.956861,0.129169,0.040873,0.067651,0.015001,0.000000,0.062958,0.000000,0.000018,0.000000,0.000000,0.000000,0.000000,0.055643,0.022261,0.046332,0.089764,0.000000,0.070921,0.001847,0.000000,0.093569,0.097042,0.055477,0.022944,0.003990,0.099740,0.000000,0.000000,0.053223,0.000000,0.000000,0.000000,0.000000,0.052909,0.088711
16,284.814218,0.104899,0.034292,0.000000,0.056152,0.000000,0.000000,0.000000,0.051974,0.000000,0.069261,0.078635,0.000000,0.026828,0.000000,0.113118,0.000000,0.036184,0.051253,0.000000,0.000000,0.089415,0.099547,0.035592,0.000000,0.026865,0.051290,0.000000,0.076102,0.048239,0.000000,0.000000,0.000000,0.054877,0.000000,0.034668
25,284.814218,0.104899,0.034292,0.000000,0.056152,0.000000,0.000000,0.000000,0.051974,0.000000,0.069261,0.078635,0.000000,0.026828,0.000000,0.113118,0.000000,0.036184,0.051253,0.000000,0.000000,0.089415,0.099547,0.035592,0.000000,0.026865,0.051290,0.000000,0.076102,0.048239,0.000000,0.000000,0.000000,0.054877,0.000000,0.034668
3,284.814218,0.104899,0.034292,0.000000,0.056152,0.000000,0.000000,0.000000,0.051974,0.000000,0.069261,0.078635,0.000000,0.026828,0.000000,0.113118,0.000000,0.036184,0.051253,0.000000,0.000000,0.089415,0.099547,0.035592,0.000000,0.026865,0.051290,0.000000,0.076102,0.048239,0.000000,0.000000,0.000000,0.054877,0.000000,0.034668
3,288.107693,0.104924,0.034322,0.000000,0.057539,0.000000,0.000000,0.000000,0.051974,0.000000,0.069261,0.078635,0.000000,0.026828,0.000000,0.111732,0.000000,0.036184,0.051253,0.000000,0.000000,0.089415,0.099547,0.035592,0.000000,0.026865,0.051290,0.000000,0.076102,0.048239,0.000000,0.000000,0.000000,0.054877,0.000000,0.034668
