id,SemiVar,Mean,SemiVar,ARZZ3,AUTM3,BBFI11B,BPNM4,BRCR11B,BRFS3,CESP6,CMIG3,CMIG4,COCE3,COCE5,CSMG3,ECOR3,EZTC3,FEXC11B,FFTL4,HGRE11,HGTX3,HTMX11B,IDVL4,JHSF3,KLBN4,KNRI11,LIGT3,MPXE3,PRSV11,RDCD3,RNEW11,SAPR4,SSBR3,STBP11,UOLL4,USIM3
9,0.001682,0.116196,0.001682,0.096304,0.000000,0.000000,0.000000,0.000000,0.016030,0.000000,0.000000,0.000000,0.000000,0.054038,0.098825,0.000000,0.000000,0.089354,0.095888,0.000000,0.000000,0.080470,0.073324,0.000000,0.068111,0.064905,0.024865,0.000000,0.057097,0.000000,0.000000,0.000000,0.098409,0.000000,0.082379,0.000000
18,0.001820,0.119600,0.001820,0.000000,0.000000,0.000000,0.000000,0.076841,0.076659,0.025484,0.000000,0.000000,0.000000,0.023219,0.059635,0.000000,0.000000,0.000000,0.000000,0.150428,0.000000,0.088997,0.076060,0.099643,0.000000,0.000000,0.031106,0.000000,0.093136,0.071895,0.048937,0.000000,0.000000,0.000000,0.000000,0.077960
12,0.002005,0.152943,0.002005,0.000000,0.000000,0.036095,0.078757,0.000000,0.058128,0.048853,0.000000,0.000000,0.073393,0.082166,0.103472,0.077127,0.035644,0.000000,0.000000,0.056599,0.000000,0.066399,0.044692,0.000000,0.000000,0.000000,0.043539,0.000000,0.073994,0.000000,0.000000,0.040206,0.080937,0.000000,0.000000,0.000000
9,0.001529,0.111977,0.001529,0.113528,0.000000,0.000000,0.000000,0.000000,0.017080,0.000000,0.000000,0.000000,0.000000,0.055365,0.101384,0.000000,0.000000,0.091269,0.087550,0.000000,0.000000,0.070182,0.079432,0.000000,0.077246,0.054744,0.026292,0.000000,0.063369,0.000000,0.000000,0.000000,0.089969,0.000000,0.072589,0.000000
29,0.001529,0.111977,0.001529,0.113528,0.000000,0.000000,0.000000,0.000000,0.017080,0.000000,0.000000,0.000000,0.000000,0.055365,0.101384,0.000000,0.000000,0.091269,0.087550,0.000000,0.000000,0.070182,0.079432,0.000000,0.077246,0.054744,0.026292,0.000000,0.063369,0.000000,0.000000,0.000000,0.089969,0.000000,0.072589,0.000000
17,0.001586,0.120829,0.001586,0.052383,0.000000,0.035851,0.054522,0.000000,0.044900,0.038611,0.000000,0.000000,0.028073,0.101987,0.132352,0.065868,0.020482,0.049514,0.037850,0.033207,0.000000,0.055180,0.039878,0.000000,0.009060,0.029093,0.047009,0.000000,0.056995,0.000000,0.000000,0.009024,0.053622,0.000000,0.004539,0.000000
12,0.001408,0.111424,0.001408,0.074818,0.000000,0.002148,0.031061,0.000000,0.029559,0.025568,0.000000,0.000000,0.018156,0.105275,0.140021,0.052849,0.004451,0.064101,0.055506,0.023019,0.000000,0.067031,0.035366,0.000000,0.027831,0.034201,0.050414,0.000000,0.053145,0.000000,0.000000,0.001874,0.074202,0.000000,0.029403,0.000000
14,0.001408,0.111424,0.001408,0.074818,0.000000,0.002148,0.031061,0.000000,0.029559,0.025568,0.000000,0.000000,0.018156,0.105275,0.140021,0.052849,0.004451,0.064101,0.055506,0.023019,0.000000,0.067031,0.035366,0.000000,0.027831,0.034201,0.050414,0.000000,0.053145,0.000000,0.000000,0.001874,0.074202,0.000000,0.029403,0.000000
29,0.001482,0.111428,0.001482,0.118466,0.000000,0.000000,0.000000,0.000000,0.010039,0.000000,0.000000,0.000000,0.000000,0.062433,0.101784,0.000000,0.000000,0.099027,0.073286,0.000000,0.000000,0.071650,0.082916,0.000000,0.081683,0.053486,0.025322,0.000000,0.056083,0.000000,0.000000,0.000000,0.088168,0.000000,0.075656,0.000000
0,0.001346,0.110575,0.001346,0.090988,0.000000,0.000505,0.019692,0.000000,0.019114,0.016252,0.000000,0.000000,0.003344,0.085650,0.101365,0.038105,0.002975,0.082802,0.062114,0.022340,0.000000,0.073533,0.083546,0.000000,0.029489,0.035201,0.049246,0.000000,0.056296,0.000000,0.000000,0.000276,0.073686,0.000000,0.053484,0.000000
