id,Delta,Mean,DownSideRisk,ARZZ3,AUTM3,BBFI11B,BPNM4,BRCR11B,BRFS3,CESP6,CMIG3,CMIG4,COCE3,COCE5,CSMG3,ECOR3,EZTC3,FEXC11B,FFTL4,HGRE11,HGTX3,HTMX11B,IDVL4,JHSF3,KLBN4,KNRI11,LIGT3,MPXE3,PRSV11,RDCD3,RNEW11,SAPR4,SSBR3,STBP11,UOLL4,USIM3
5,0.059425,0.141349,0.047852,0.005696,0.033235,0.015266,0.023098,0.016006,0.028755,0.054729,0.053669,0.046029,0.041444,0.048516,0.047693,0.040966,0.041001,0.050406,0.014311,0.007211,0.002425,0.032179,0.007202,0.045056,0.024722,0.047379,0.018464,0.014469,0.040663,0.016559,0.061850,0.002461,0.013378,0.054792,0.035474,0.014896
16,0.060135,0.149571,0.049742,0.000000,0.026159,0.005374,0.024568,0.021331,0.038997,0.056876,0.038523,0.035070,0.037625,0.043703,0.037196,0.033419,0.022858,0.060135,0.013487,0.000000,0.005620,0.048536,0.011756,0.053486,0.032316,0.049780,0.021985,0.033235,0.043191,0.015944,0.054352,0.003816,0.005973,0.059774,0.051596,0.013318
1,0.049440,0.161853,0.052609,0.013502,0.018462,0.023289,0.033131,0.006844,0.021931,0.037274,0.024411,0.048894,0.034351,0.018611,0.038357,0.045580,0.045167,0.038366,0.032504,0.034886,0.027638,0.053646,0.032180,0.026526,0.048259,0.038820,0.027155,0.030571,0.008388,0.035468,0.048499,0.025747,0.004207,0.033601,0.037278,0.006456
2,0.050537,0.147070,0.048783,0.021619,0.041953,0.031392,0.016311,0.011737,0.046564,0.033263,0.038929,0.027373,0.035607,0.037413,0.030755,0.050913,0.037617,0.038417,0.012353,0.032657,0.006037,0.048201,0.025857,0.033443,0.039608,0.044787,0.018443,0.020711,0.022421,0.018740,0.045282,0.009745,0.018571,0.038792,0.056574,0.007917
12,0.050829,0.146680,0.048211,0.023003,0.042964,0.033058,0.015782,0.011123,0.039980,0.031752,0.038420,0.026880,0.035478,0.037011,0.030342,0.052033,0.038561,0.037042,0.012815,0.034747,0.006063,0.048180,0.026760,0.032160,0.040075,0.044467,0.018565,0.020129,0.021092,0.018919,0.044118,0.010124,0.019377,0.037449,0.056893,0.014640
10,0.049304,0.147297,0.048289,0.020865,0.041951,0.030790,0.016165,0.012140,0.038588,0.032276,0.037687,0.026632,0.035469,0.035491,0.032663,0.051484,0.039510,0.039373,0.013317,0.032049,0.005971,0.048020,0.025525,0.033847,0.041250,0.042940,0.020773,0.021237,0.023532,0.018697,0.043737,0.011106,0.020166,0.038110,0.055275,0.013363
1,0.049440,0.162084,0.052778,0.013502,0.018462,0.023289,0.033131,0.006844,0.021931,0.037274,0.024411,0.048894,0.034351,0.018611,0.038357,0.045580,0.045167,0.038366,0.032504,0.032615,0.029909,0.053646,0.032180,0.026526,0.048259,0.038820,0.027155,0.030571,0.008388,0.035468,0.048499,0.025747,0.004207,0.033601,0.037278,0.006456
2,0.050537,0.146705,0.048728,0.021619,0.041953,0.031392,0.016311,0.011737,0.046564,0.033263,0.038929,0.027373,0.035607,0.037413,0.030755,0.050913,0.037617,0.038417,0.012353,0.032657,0.006037,0.048201,0.025857,0.033443,0.039608,0.044787,0.018443,0.020711,0.022878,0.018740,0.045282,0.009288,0.018571,0.038792,0.056574,0.007917
5,0.048806,0.163693,0.052763,0.011979,0.019646,0.021879,0.032531,0.008078,0.022150,0.036694,0.022984,0.048216,0.032975,0.018308,0.039550,0.044446,0.045875,0.038276,0.031016,0.031154,0.028483,0.054527,0.030527,0.027793,0.050249,0.037494,0.029468,0.030561,0.010925,0.032577,0.048183,0.028498,0.005722,0.035412,0.037325,0.006499
29,0.048999,0.147463,0.048316,0.020667,0.041813,0.030599,0.016247,0.012200,0.038403,0.032292,0.037545,0.026752,0.035384,0.035297,0.032986,0.051409,0.039544,0.039437,0.013417,0.031924,0.006059,0.048046,0.025441,0.033916,0.041410,0.042801,0.021003,0.021313,0.023632,0.018685,0.043757,0.011354,0.020181,0.038173,0.055058,0.013255
