id,Delta,Mean,DownSideRisk,ARZZ3,AUTM3,BBFI11B,BPNM4,BRCR11B,BRFS3,CESP6,CMIG3,CMIG4,COCE3,COCE5,CSMG3,ECOR3,EZTC3,FEXC11B,FFTL4,HGRE11,HGTX3,HTMX11B,IDVL4,JHSF3,KLBN4,KNRI11,LIGT3,MPXE3,PRSV11,RDCD3,RNEW11,SAPR4,SSBR3,STBP11,UOLL4,USIM3
9,0.084111,0.128882,0.045819,0.054065,0.032385,0.040571,0.045213,0.000000,0.000000,0.000000,0.044044,0.067235,0.047804,0.000000,0.072111,0.080549,0.000000,0.000000,0.000000,0.000000,0.048308,0.081449,0.065796,0.000000,0.000000,0.000000,0.084111,0.000000,0.000000,0.074738,0.052968,0.000000,0.000000,0.056044,0.025134,0.027473
27,0.091798,0.137847,0.046067,0.055957,0.022303,0.000000,0.000000,0.063993,0.047274,0.000000,0.000000,0.000000,0.048467,0.000000,0.070804,0.050257,0.079785,0.000000,0.085733,0.000000,0.034780,0.055543,0.000000,0.000000,0.091798,0.000000,0.000000,0.082635,0.000000,0.021823,0.000000,0.000000,0.025899,0.061839,0.067175,0.033935
12,0.095211,0.184522,0.054660,0.000000,0.057364,0.000000,0.000000,0.000000,0.070920,0.000000,0.000000,0.000000,0.079723,0.000000,0.000000,0.070710,0.000000,0.092533,0.095211,0.070640,0.042761,0.000000,0.066355,0.092440,0.000000,0.062838,0.026714,0.000000,0.000000,0.054779,0.000000,0.080212,0.000000,0.000000,0.000000,0.036799
2,0.076288,0.179113,0.051024,0.038416,0.011864,0.003531,0.032362,0.059503,0.025147,0.000000,0.000000,0.000000,0.025782,0.000000,0.060083,0.026734,0.060922,0.000000,0.075545,0.000000,0.018501,0.063403,0.024150,0.000000,0.048831,0.023671,0.000000,0.076288,0.038377,0.011608,0.043658,0.040534,0.013777,0.066102,0.035733,0.075479
26,0.081149,0.184745,0.051854,0.036022,0.010439,0.004013,0.036779,0.058890,0.022127,0.000000,0.000000,0.000000,0.022686,0.000000,0.058620,0.023523,0.058347,0.000000,0.074155,0.000000,0.016279,0.064476,0.027445,0.000000,0.042967,0.026902,0.000000,0.075422,0.043614,0.010214,0.049617,0.046066,0.012122,0.066683,0.031442,0.081149
9,0.084111,0.128882,0.045819,0.054065,0.032385,0.040571,0.045213,0.000000,0.000000,0.000000,0.044044,0.067235,0.047804,0.000000,0.072111,0.080549,0.000000,0.000000,0.000000,0.000000,0.048308,0.081449,0.065796,0.000000,0.000000,0.000000,0.084111,0.000000,0.000000,0.074738,0.052968,0.000000,0.000000,0.056044,0.025134,0.027473
25,0.071664,0.178689,0.057242,0.037827,0.014602,0.021039,0.022973,0.000000,0.041788,0.000000,0.035584,0.048434,0.000000,0.000000,0.058018,0.004287,0.056767,0.049245,0.057853,0.010238,0.040889,0.046895,0.069529,0.065791,0.010997,0.008575,0.036932,0.041374,0.000000,0.039948,0.004257,0.048606,0.022482,0.071664,0.028130,0.005278
6,0.073761,0.178809,0.057932,0.033319,0.012862,0.023885,0.020235,0.000000,0.044166,0.000000,0.040398,0.048052,0.000000,0.000000,0.058988,0.003776,0.050001,0.047721,0.058146,0.009018,0.044945,0.041306,0.071268,0.072247,0.012485,0.009736,0.039853,0.036443,0.000000,0.044653,0.003749,0.049757,0.019802,0.073761,0.024778,0.004649
24,0.075712,0.195257,0.057759,0.000000,0.022443,0.037765,0.030595,0.000000,0.027746,0.045517,0.000000,0.000000,0.072735,0.043628,0.012645,0.027664,0.000000,0.064096,0.037250,0.027637,0.016730,0.000000,0.025960,0.075712,0.000000,0.024584,0.073313,0.013384,0.051549,0.051579,0.043095,0.067161,0.064327,0.000000,0.000000,0.042885
11,0.067155,0.197702,0.062539,0.044961,0.035439,0.029598,0.015913,0.018768,0.021330,0.020386,0.014670,0.022415,0.055289,0.063211,0.036683,0.001171,0.064921,0.014962,0.025910,0.012036,0.059939,0.002582,0.033805,0.064868,0.025754,0.006700,0.031913,0.028182,0.018620,0.031307,0.068326,0.063418,0.020857,0.024101,0.006597,0.015366
13,0.067410,0.198736,0.063134,0.044922,0.034441,0.031350,0.014521,0.018715,0.020170,0.022391,0.013356,0.022247,0.052945,0.062049,0.033537,0.001286,0.068696,0.015239,0.025256,0.013220,0.065835,0.002836,0.030777,0.064600,0.023448,0.006320,0.030007,0.030955,0.017200,0.034387,0.066215,0.063205,0.022909,0.022841,0.007246,0.016878
8,0.068485,0.176036,0.053459,0.013300,0.034297,0.028281,0.025948,0.000000,0.032552,0.022056,0.010835,0.016540,0.068485,0.021141,0.023867,0.052272,0.000000,0.055990,0.043702,0.032424,0.031512,0.020037,0.046643,0.061593,0.000000,0.028843,0.063415,0.006485,0.024979,0.058138,0.033913,0.054155,0.031171,0.013787,0.006183,0.037454
2,0.061370,0.179429,0.056960,0.027452,0.025063,0.012198,0.027589,0.001507,0.047483,0.007326,0.027189,0.018306,0.043832,0.031920,0.050631,0.011983,0.039382,0.033000,0.046088,0.012465,0.029690,0.030241,0.052033,0.062877,0.034642,0.014198,0.055144,0.032278,0.018823,0.034333,0.058560,0.044140,0.016268,0.034353,0.007180,0.011826
14,0.062054,0.177308,0.057469,0.038900,0.016402,0.022290,0.027988,0.008703,0.040760,0.005949,0.029682,0.047910,0.000000,0.006356,0.062014,0.006327,0.049243,0.044011,0.056775,0.011689,0.047738,0.043108,0.060797,0.062054,0.009173,0.007153,0.040845,0.044868,0.000000,0.039069,0.008634,0.044351,0.026426,0.059779,0.024977,0.006026
9,0.066073,0.158093,0.049748,0.025051,0.035048,0.019359,0.040065,0.011861,0.041635,0.011164,0.028060,0.016412,0.031271,0.004057,0.045817,0.055272,0.037401,0.021087,0.028585,0.005881,0.047437,0.039934,0.034514,0.009530,0.051341,0.000000,0.063292,0.066073,0.006519,0.024994,0.023496,0.014178,0.017979,0.055906,0.051880,0.034900
10,0.056296,0.186378,0.057749,0.027707,0.034363,0.029679,0.020742,0.008526,0.026911,0.022209,0.011984,0.019140,0.061405,0.039778,0.028273,0.029044,0.031297,0.037425,0.035298,0.023675,0.047149,0.012200,0.039415,0.062963,0.010682,0.018582,0.048195,0.017633,0.021435,0.047317,0.048629,0.058278,0.027407,0.017912,0.006667,0.028080
4,0.056468,0.188394,0.058608,0.030516,0.034376,0.029952,0.019727,0.010189,0.025811,0.022239,0.012208,0.019647,0.060025,0.043412,0.029132,0.024514,0.037399,0.033804,0.033660,0.021969,0.050198,0.010672,0.038005,0.063230,0.012765,0.016581,0.045227,0.019807,0.020744,0.045207,0.051499,0.059082,0.026673,0.018716,0.006762,0.026252
15,0.059851,0.191230,0.057012,0.013274,0.027291,0.018688,0.032762,0.012405,0.055904,0.019116,0.000001,0.001045,0.029966,0.017087,0.026741,0.026712,0.022075,0.052275,0.040184,0.040463,0.045620,0.051543,0.033968,0.059852,0.003776,0.014147,0.054099,0.053202,0.023862,0.037164,0.034524,0.054329,0.022085,0.014619,0.013234,0.047990
8,0.039870,0.182624,0.055233,0.032323,0.022956,0.020771,0.026964,0.023608,0.027436,0.010846,0.013646,0.019491,0.037750,0.019145,0.045071,0.024614,0.041894,0.025626,0.050651,0.012830,0.037233,0.036166,0.041351,0.041943,0.020954,0.019033,0.032527,0.039310,0.024182,0.035623,0.041543,0.050716,0.020564,0.043819,0.018244,0.041170
16,0.040085,0.178706,0.055400,0.035236,0.026394,0.023704,0.026828,0.018469,0.028405,0.014117,0.013871,0.021256,0.032824,0.022836,0.041769,0.025879,0.036209,0.021578,0.052585,0.012500,0.041324,0.042261,0.044166,0.040292,0.022793,0.020128,0.027549,0.041842,0.023758,0.032992,0.044508,0.042678,0.024773,0.042246,0.018071,0.036158
0,0.055702,0.182944,0.054411,0.036452,0.031699,0.013704,0.024451,0.025337,0.031057,0.002837,0.012658,0.019882,0.045773,0.030668,0.051187,0.021109,0.038089,0.029298,0.058539,0.013137,0.021484,0.031019,0.050960,0.051214,0.022490,0.022036,0.027947,0.030549,0.028882,0.022378,0.041976,0.057569,0.010836,0.048519,0.014895,0.031367
8,0.039870,0.182624,0.055233,0.032323,0.022956,0.020771,0.026964,0.023608,0.027436,0.010846,0.013646,0.019491,0.037750,0.019145,0.045071,0.024614,0.041894,0.025626,0.050651,0.012830,0.037233,0.036166,0.041351,0.041943,0.020954,0.019033,0.032527,0.039310,0.024182,0.035623,0.041543,0.050716,0.020564,0.043819,0.018244,0.041170
16,0.040085,0.178706,0.055400,0.035236,0.026394,0.023704,0.026828,0.018469,0.028405,0.014117,0.013871,0.021256,0.032824,0.022836,0.041769,0.025879,0.036209,0.021578,0.052585,0.012500,0.041324,0.042261,0.044166,0.040292,0.022793,0.020128,0.027549,0.041842,0.023758,0.032992,0.044508,0.042678,0.024773,0.042246,0.018071,0.036158
22,0.049215,0.184837,0.056045,0.032483,0.034632,0.021035,0.022033,0.016638,0.029462,0.011824,0.012127,0.019552,0.055522,0.037529,0.039978,0.024751,0.033798,0.034280,0.047461,0.018830,0.032505,0.020061,0.046438,0.059100,0.016436,0.020705,0.037993,0.022126,0.025707,0.033442,0.045611,0.059130,0.018027,0.032949,0.009914,0.027918
8,0.039870,0.182624,0.055233,0.032323,0.022956,0.020771,0.026964,0.023608,0.027436,0.010846,0.013646,0.019491,0.037750,0.019145,0.045071,0.024614,0.041894,0.025626,0.050651,0.012830,0.037233,0.036166,0.041351,0.041943,0.020954,0.019033,0.032527,0.039310,0.024182,0.035623,0.041543,0.050716,0.020564,0.043819,0.018244,0.041170
16,0.040085,0.178706,0.055400,0.035236,0.026394,0.023704,0.026828,0.018469,0.028405,0.014117,0.013871,0.021256,0.032824,0.022836,0.041769,0.025879,0.036209,0.021578,0.052585,0.012500,0.041324,0.042261,0.044166,0.040292,0.022793,0.020128,0.027549,0.041842,0.023758,0.032992,0.044508,0.042678,0.024773,0.042246,0.018071,0.036158
19,0.045119,0.181534,0.056124,0.027020,0.026824,0.017262,0.030838,0.013541,0.042940,0.012539,0.014709,0.017464,0.037546,0.027065,0.046659,0.020491,0.030362,0.035974,0.046355,0.020187,0.036331,0.036259,0.044084,0.056353,0.019127,0.014685,0.050443,0.038415,0.021223,0.034346,0.045229,0.047444,0.020169,0.029966,0.011234,0.026916
25,0.037532,0.183282,0.055738,0.028884,0.024253,0.020232,0.028258,0.019284,0.033792,0.012661,0.012832,0.017190,0.037540,0.021106,0.042896,0.023957,0.037273,0.030836,0.047752,0.017440,0.038704,0.036971,0.040970,0.047536,0.018791,0.017382,0.039670,0.039969,0.023108,0.036443,0.042250,0.050192,0.021179,0.036736,0.015772,0.038139
