id,Mean,Mean,SemiVar,ARZZ3,AUTM3,BBFI11B,BPNM4,BRCR11B,BRFS3,CESP6,CMIG3,CMIG4,COCE3,COCE5,CSMG3,ECOR3,EZTC3,FEXC11B,FFTL4,HGRE11,HGTX3,HTMX11B,IDVL4,JHSF3,KLBN4,KNRI11,LIGT3,MPXE3,PRSV11,RDCD3,RNEW11,SAPR4,SSBR3,STBP11,UOLL4,USIM3
22,0.276829,0.276829,0.006736,0.000443,0.006140,0.089540,0.000001,0.000001,0.000932,0.000709,0.001119,0.062066,0.043378,0.017568,0.067553,0.012488,0.014238,0.046444,0.040153,0.004722,0.137577,0.000004,0.008788,0.055545,0.001398,0.000002,0.001251,0.059933,0.035297,0.000000,0.069941,0.134486,0.013963,0.006554,0.066919,0.000846
26,0.275700,0.275700,0.006596,0.000172,0.002370,0.082596,0.000000,0.000000,0.000353,0.000260,0.000426,0.086514,0.049637,0.003606,0.033287,0.003571,0.003732,0.103133,0.050419,0.001060,0.090186,0.000000,0.001431,0.081726,0.000381,0.000000,0.000344,0.053779,0.033844,0.000000,0.090065,0.128205,0.006462,0.007686,0.084428,0.000329
1,0.277258,0.277258,0.006822,0.000473,0.003516,0.095962,0.000000,0.000000,0.000999,0.000759,0.001197,0.066519,0.046490,0.011861,0.072399,0.008569,0.009186,0.049771,0.037361,0.003262,0.139341,0.000000,0.006042,0.056813,0.001495,0.000000,0.001340,0.064229,0.037829,0.000000,0.068797,0.133321,0.007266,0.007022,0.067271,0.000907
22,0.276829,0.276829,0.006736,0.000443,0.006140,0.089540,0.000001,0.000001,0.000932,0.000709,0.001119,0.062066,0.043378,0.017568,0.067553,0.012488,0.014238,0.046444,0.040153,0.004722,0.137577,0.000004,0.008788,0.055545,0.001398,0.000002,0.001251,0.059933,0.035297,0.000000,0.069941,0.134486,0.013963,0.006554,0.066919,0.000846
26,0.275700,0.275700,0.006596,0.000172,0.002370,0.082596,0.000000,0.000000,0.000353,0.000260,0.000426,0.086514,0.049637,0.003606,0.033287,0.003571,0.003732,0.103133,0.050419,0.001060,0.090186,0.000000,0.001431,0.081726,0.000381,0.000000,0.000344,0.053779,0.033844,0.000000,0.090065,0.128205,0.006462,0.007686,0.084428,0.000329
1,0.277258,0.277258,0.006822,0.000473,0.003516,0.095962,0.000000,0.000000,0.000999,0.000759,0.001197,0.066519,0.046490,0.011861,0.072399,0.008569,0.009186,0.049771,0.037361,0.003262,0.139341,0.000000,0.006042,0.056813,0.001495,0.000000,0.001340,0.064229,0.037829,0.000000,0.068797,0.133321,0.007266,0.007022,0.067271,0.000907
22,0.276829,0.276829,0.006736,0.000443,0.006140,0.089540,0.000001,0.000001,0.000932,0.000709,0.001119,0.062066,0.043378,0.017568,0.067553,0.012488,0.014238,0.046444,0.040153,0.004722,0.137577,0.000004,0.008788,0.055545,0.001398,0.000002,0.001251,0.059933,0.035297,0.000000,0.069941,0.134486,0.013963,0.006554,0.066919,0.000846
26,0.275700,0.275700,0.006596,0.000172,0.002370,0.082596,0.000000,0.000000,0.000353,0.000260,0.000426,0.086514,0.049637,0.003606,0.033287,0.003571,0.003732,0.103133,0.050419,0.001060,0.090186,0.000000,0.001431,0.081726,0.000381,0.000000,0.000344,0.053779,0.033844,0.000000,0.090065,0.128205,0.006462,0.007686,0.084428,0.000329
7,0.290887,0.290887,0.006719,0.000193,0.007170,0.072353,0.000000,0.000000,0.000638,0.000459,0.000691,0.051517,0.043321,0.036766,0.066860,0.009883,0.028287,0.038229,0.053429,0.007504,0.088546,0.000000,0.016376,0.035406,0.000751,0.000000,0.000698,0.050778,0.034641,0.000000,0.119615,0.156736,0.032547,0.007727,0.038681,0.000199
15,0.284718,0.284718,0.006722,0.000243,0.009770,0.080082,0.000000,0.000000,0.001079,0.000559,0.000780,0.057319,0.029346,0.018322,0.092339,0.016083,0.023753,0.042612,0.050371,0.003611,0.099259,0.000000,0.009979,0.069434,0.001654,0.000000,0.000579,0.062335,0.021636,0.000000,0.062594,0.147301,0.019861,0.005302,0.073488,0.000310
