id,Skewness,Mean,DownSideRisk,ARZZ3,AUTM3,BBFI11B,BPNM4,BRCR11B,BRFS3,CESP6,CMIG3,CMIG4,COCE3,COCE5,CSMG3,ECOR3,EZTC3,FEXC11B,FFTL4,HGRE11,HGTX3,HTMX11B,IDVL4,JHSF3,KLBN4,KNRI11,LIGT3,MPXE3,PRSV11,RDCD3,RNEW11,SAPR4,SSBR3,STBP11,UOLL4,USIM3
8,-0.000003,0.117915,0.038510,0.032797,0.000000,0.049764,0.002831,0.052926,0.027278,0.031983,0.061369,0.048129,0.062981,0.001427,0.061628,0.054829,0.065934,0.001978,0.051880,0.016765,0.000000,0.000000,0.035718,0.000000,0.063402,0.011944,0.044038,0.000020,0.008049,0.045357,0.002097,0.002275,0.001361,0.002057,0.091565,0.067619
22,-0.000010,0.113751,0.039414,0.028385,0.047656,0.027700,0.000000,0.059663,0.013361,0.069139,0.048781,0.041994,0.051105,0.016029,0.067570,0.041164,0.048985,0.005906,0.048937,0.003238,0.000023,0.025784,0.003362,0.000000,0.085013,0.007762,0.041648,0.007294,0.022034,0.059504,0.015275,0.000024,0.000000,0.006343,0.066321,0.040002
7,0.000007,0.115304,0.038502,0.042574,0.000000,0.050714,0.000123,0.048353,0.000000,0.039081,0.081974,0.051206,0.065570,0.000000,0.082270,0.057527,0.071792,0.000000,0.049239,0.000025,0.000000,0.000000,0.017930,0.000000,0.072432,0.000000,0.043090,0.000000,0.000000,0.058585,0.000000,0.000025,0.000000,0.000000,0.094272,0.073219
20,0.000006,0.115859,0.038789,0.042074,0.000865,0.050029,0.000425,0.048358,0.000550,0.039510,0.080906,0.050748,0.064827,0.000291,0.081791,0.057487,0.071274,0.000446,0.049401,0.000301,0.000527,0.000468,0.017821,0.000000,0.072553,0.000142,0.043246,0.000699,0.000782,0.058267,0.000275,0.000468,0.000000,0.003146,0.093157,0.069167
11,0.000004,0.116141,0.038484,0.039440,0.000000,0.050410,0.000991,0.049819,0.008743,0.036806,0.075370,0.050220,0.064740,0.000457,0.075654,0.056662,0.069914,0.000634,0.050085,0.005390,0.000000,0.000000,0.023631,0.000000,0.069537,0.003828,0.043394,0.000006,0.002580,0.054345,0.000672,0.000746,0.000436,0.000659,0.093404,0.071424
7,0.000007,0.115305,0.038502,0.042574,0.000000,0.050714,0.000123,0.048353,0.000000,0.039081,0.081974,0.051206,0.065570,0.000000,0.082245,0.057527,0.071792,0.000000,0.049239,0.000025,0.000000,0.000000,0.017930,0.000000,0.072432,0.000000,0.043090,0.000000,0.000025,0.058585,0.000000,0.000025,0.000000,0.000000,0.094272,0.073219
20,0.000006,0.115850,0.038786,0.042074,0.001032,0.049937,0.000425,0.048358,0.000643,0.039342,0.080906,0.050748,0.064827,0.000291,0.081791,0.057487,0.071274,0.000446,0.049401,0.000301,0.000527,0.000468,0.017821,0.000000,0.072553,0.000142,0.043246,0.000699,0.000782,0.058267,0.000275,0.000468,0.000000,0.003146,0.093157,0.069167
11,0.000003,0.117442,0.039204,0.039440,0.000000,0.050410,0.000991,0.049819,0.008743,0.036806,0.075370,0.050220,0.064831,0.023072,0.075654,0.034047,0.069914,0.000634,0.050085,0.005390,0.000000,0.000000,0.023631,0.000000,0.069537,0.003828,0.043394,0.000006,0.002580,0.054345,0.000672,0.000746,0.000436,0.000659,0.093314,0.071424
7,0.000007,0.115305,0.038502,0.042574,0.000000,0.050714,0.000123,0.048353,0.000000,0.039081,0.081974,0.051206,0.065570,0.000000,0.082245,0.057527,0.071792,0.000000,0.049239,0.000025,0.000000,0.000000,0.017930,0.000000,0.072432,0.000000,0.043090,0.000000,0.000025,0.058585,0.000000,0.000025,0.000000,0.000000,0.094272,0.073219
20,0.000006,0.115850,0.038786,0.042074,0.001032,0.049937,0.000425,0.048358,0.000643,0.039342,0.080906,0.050748,0.064827,0.000291,0.081791,0.057487,0.071274,0.000446,0.049401,0.000301,0.000527,0.000468,0.017821,0.000000,0.072553,0.000142,0.043246,0.000699,0.000782,0.058267,0.000275,0.000468,0.000000,0.003146,0.093157,0.069167
