id,Skewness,Mean,DownSideRisk,ARZZ3,AUTM3,BBFI11B,BPNM4,BRCR11B,BRFS3,CESP6,CMIG3,CMIG4,COCE3,COCE5,CSMG3,ECOR3,EZTC3,FEXC11B,FFTL4,HGRE11,HGTX3,HTMX11B,IDVL4,JHSF3,KLBN4,KNRI11,LIGT3,MPXE3,PRSV11,RDCD3,RNEW11,SAPR4,SSBR3,STBP11,UOLL4,USIM3
1,0.000005,0.140043,0.055242,0.000000,0.037473,0.070867,0.045864,0.000000,0.067863,0.000000,0.000000,0.040263,0.048397,0.000000,0.070653,0.000000,0.090119,0.000000,0.000000,0.000000,0.068614,0.059965,0.043203,0.028137,0.096450,0.000000,0.048289,0.000000,0.000000,0.075525,0.000000,0.000000,0.026205,0.000000,0.082114,0.000000
22,-0.000043,0.135182,0.050819,0.101481,0.000000,0.000000,0.046418,0.000000,0.035315,0.000000,0.000000,0.032670,0.000000,0.056906,0.063686,0.000000,0.106229,0.000000,0.000000,0.054449,0.000000,0.000000,0.000000,0.000000,0.070182,0.049607,0.095765,0.060284,0.031536,0.106725,0.000000,0.000000,0.000000,0.051024,0.037725,0.000000
0,-0.000085,0.115322,0.036866,0.000000,0.066628,0.000000,0.000000,0.049189,0.117965,0.000000,0.000000,0.047683,0.101309,0.088614,0.041517,0.045674,0.000000,0.018694,0.016741,0.000000,0.000000,0.079574,0.000000,0.000000,0.063140,0.039703,0.000000,0.000000,0.000000,0.000000,0.044530,0.000000,0.089730,0.000000,0.000000,0.089311
1,0.000030,0.133940,0.053249,0.000000,0.032900,0.060804,0.037968,0.000000,0.074108,0.000000,0.000000,0.038194,0.050700,0.000000,0.084385,0.000000,0.100369,0.000000,0.000000,0.000000,0.059454,0.049885,0.041795,0.030749,0.108127,0.000000,0.058392,0.000000,0.000000,0.075968,0.000000,0.000000,0.025978,0.000000,0.070226,0.000000
8,0.000030,0.133940,0.053249,0.000000,0.032900,0.060804,0.037968,0.000000,0.074108,0.000000,0.000000,0.038194,0.050700,0.000000,0.084385,0.000000,0.100369,0.000000,0.000000,0.000000,0.059454,0.049885,0.041795,0.030749,0.108127,0.000000,0.058392,0.000000,0.000000,0.075968,0.000000,0.000000,0.025978,0.000000,0.070226,0.000000
21,0.000030,0.133940,0.053249,0.000000,0.032900,0.060804,0.037968,0.000000,0.074108,0.000000,0.000000,0.038194,0.050700,0.000000,0.084385,0.000000,0.100369,0.000000,0.000000,0.000000,0.059454,0.049885,0.041795,0.030749,0.108127,0.000000,0.058392,0.000000,0.000000,0.075968,0.000000,0.000000,0.025978,0.000000,0.070226,0.000000
10,0.000125,0.149383,0.056966,0.000000,0.009043,0.059484,0.036314,0.000000,0.071550,0.004632,0.000000,0.038413,0.030095,0.010133,0.047494,0.000000,0.086952,0.026153,0.038093,0.024722,0.046187,0.021682,0.026492,0.053351,0.123174,0.008789,0.031473,0.010477,0.000000,0.040724,0.007536,0.000000,0.031222,0.000000,0.115816,0.000000
21,0.000076,0.136271,0.054680,0.000000,0.029240,0.076163,0.039913,0.000000,0.075709,0.000000,0.000000,0.038968,0.035178,0.000000,0.084026,0.000000,0.102708,0.000000,0.000000,0.000000,0.057333,0.046061,0.039694,0.032900,0.116084,0.000000,0.049516,0.000000,0.000000,0.078442,0.000000,0.000000,0.026710,0.000000,0.071354,0.000000
18,0.000066,0.159169,0.060470,0.000000,0.011080,0.057601,0.030816,0.000000,0.074578,0.014996,0.000000,0.018305,0.011604,0.016952,0.021677,0.000000,0.036387,0.033233,0.053549,0.025817,0.042657,0.034946,0.031139,0.075856,0.114818,0.018299,0.024388,0.013434,0.000000,0.044868,0.014797,0.000000,0.056644,0.000000,0.121558,0.000000
10,0.000125,0.149383,0.056966,0.000000,0.009043,0.059484,0.036314,0.000000,0.071550,0.004632,0.000000,0.038413,0.030095,0.010133,0.047494,0.000000,0.086952,0.026153,0.038093,0.024722,0.046187,0.021682,0.026492,0.053351,0.123174,0.008789,0.031473,0.010477,0.000000,0.040724,0.007536,0.000000,0.031222,0.000000,0.115816,0.000000
