id,Mean,Mean,DownSideRisk,ARZZ3,AUTM3,BBFI11B,BPNM4,BRCR11B,BRFS3,CESP6,CMIG3,CMIG4,COCE3,COCE5,CSMG3,ECOR3,EZTC3,FEXC11B,FFTL4,HGRE11,HGTX3,HTMX11B,IDVL4,JHSF3,KLBN4,KNRI11,LIGT3,MPXE3,PRSV11,RDCD3,RNEW11,SAPR4,SSBR3,STBP11,UOLL4,USIM3
28,0.242365,0.242365,0.064514,0.066464,0.000000,0.000000,0.120135,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.030588,0.000000,0.098316,0.065664,0.000000,0.136332,0.000000,0.039151,0.000000,0.000000,0.000000,0.000000,0.000000,0.071699,0.000000,0.000000,0.059629,0.085343,0.077451,0.000000,0.090578,0.058649
15,0.203713,0.203713,0.054626,0.000000,0.052254,0.000000,0.000000,0.075776,0.000000,0.000000,0.130790,0.000000,0.000000,0.000000,0.082534,0.000000,0.000000,0.069174,0.000000,0.000000,0.103941,0.086351,0.032704,0.000000,0.057051,0.000000,0.032420,0.085242,0.000000,0.010910,0.000000,0.089059,0.000000,0.000000,0.026540,0.065253
13,0.202471,0.202471,0.062569,0.000000,0.000000,0.076455,0.057163,0.000000,0.000000,0.071119,0.086644,0.000000,0.058761,0.048316,0.031307,0.000000,0.026570,0.018779,0.000000,0.084161,0.000000,0.000000,0.109189,0.124943,0.000000,0.000000,0.000000,0.046547,0.000000,0.000000,0.000000,0.049344,0.000000,0.073345,0.037357,0.000000
28,0.242265,0.242265,0.064485,0.066464,0.000000,0.000000,0.120135,0.000928,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.030588,0.000000,0.098316,0.065638,0.000000,0.136332,0.000000,0.039151,0.000000,0.000000,0.000026,0.000000,0.000026,0.071699,0.000000,0.000000,0.059629,0.085343,0.076522,0.000000,0.090578,0.058623
3,0.239423,0.239423,0.064282,0.051423,0.002596,0.002331,0.116117,0.014512,0.002152,0.000000,0.000000,0.000000,0.001554,0.000000,0.030050,0.000000,0.094827,0.065071,0.000000,0.133311,0.000000,0.037762,0.000000,0.002631,0.000000,0.000000,0.000000,0.071231,0.000000,0.005478,0.058351,0.082314,0.079552,0.002500,0.089669,0.056568
24,0.236534,0.236534,0.064739,0.065663,0.005674,0.008888,0.108402,0.000000,0.000000,0.000000,0.000000,0.002643,0.010609,0.007374,0.026584,0.000000,0.085445,0.062480,0.003312,0.118484,0.007761,0.034026,0.007813,0.004155,0.002763,0.006850,0.007821,0.070120,0.000000,0.015290,0.060904,0.079935,0.067312,0.000000,0.078721,0.050971
28,0.242265,0.242265,0.064486,0.066464,0.000026,0.000000,0.120135,0.000928,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.030588,0.000000,0.098316,0.065638,0.000000,0.136332,0.000000,0.039151,0.000000,0.000000,0.000026,0.000000,0.000026,0.071699,0.000000,0.000000,0.059629,0.085343,0.076522,0.000000,0.090578,0.058597
18,0.240855,0.240855,0.064381,0.059003,0.001288,0.001156,0.118142,0.007666,0.001067,0.000000,0.000000,0.000000,0.000771,0.000000,0.030322,0.000000,0.096585,0.065357,0.000000,0.134833,0.000000,0.038462,0.000000,0.001305,0.000013,0.000000,0.000013,0.071467,0.000000,0.002717,0.058995,0.083841,0.078025,0.001240,0.090128,0.057604
29,0.240832,0.240832,0.064380,0.058883,0.001308,0.001175,0.118110,0.007774,0.001085,0.000000,0.000000,0.000000,0.000778,0.000000,0.030317,0.000000,0.096557,0.065353,0.000000,0.134809,0.000000,0.038451,0.000000,0.001326,0.000013,0.000000,0.000013,0.071463,0.000000,0.002761,0.058985,0.083817,0.078049,0.001265,0.090120,0.057587
28,0.242269,0.242269,0.064491,0.066464,0.000284,0.000000,0.120135,0.000928,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.030588,0.000000,0.098316,0.065381,0.000000,0.136332,0.000000,0.039151,0.000000,0.000000,0.000026,0.000000,0.000026,0.071699,0.000000,0.000000,0.059629,0.085343,0.076522,0.000000,0.090578,0.058597
18,0.240845,0.240845,0.064378,0.059003,0.001250,0.001156,0.118142,0.007704,0.000675,0.000000,0.000000,0.000000,0.000771,0.000000,0.030322,0.000000,0.096585,0.065357,0.000000,0.135226,0.000000,0.038462,0.000000,0.001305,0.000013,0.000000,0.000013,0.071467,0.000000,0.002717,0.058995,0.083841,0.078025,0.001240,0.090128,0.057604
29,0.240832,0.240832,0.064380,0.058883,0.001308,0.001175,0.118110,0.007774,0.001085,0.000000,0.000000,0.000000,0.000778,0.000000,0.030317,0.000000,0.096557,0.065353,0.000000,0.134809,0.000000,0.038451,0.000000,0.001326,0.000013,0.000000,0.000013,0.071463,0.000000,0.002761,0.058985,0.083817,0.078049,0.001265,0.090120,0.057587
17,0.242275,0.242275,0.064493,0.066464,0.000284,0.000000,0.120135,0.000928,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.030588,0.000000,0.098290,0.065381,0.000000,0.136332,0.000000,0.039151,0.000000,0.000000,0.000026,0.000000,0.000026,0.071699,0.000000,0.000000,0.059655,0.085343,0.076522,0.000000,0.090578,0.058597
