id,DsRisk,Mean,DownSideRisk,ARZZ3,AUTM3,BBFI11B,BPNM4,BRCR11B,BRFS3,CESP6,CMIG3,CMIG4,COCE3,COCE5,CSMG3,ECOR3,EZTC3,FEXC11B,FFTL4,HGRE11,HGTX3,HTMX11B,IDVL4,JHSF3,KLBN4,KNRI11,LIGT3,MPXE3,PRSV11,RDCD3,RNEW11,SAPR4,SSBR3,STBP11,UOLL4,USIM3
14,0.037116,0.116862,0.037116,0.000000,0.000000,0.068567,0.000000,0.000000,0.071304,0.000000,0.077794,0.000000,0.000000,0.000000,0.052022,0.069840,0.000000,0.082153,0.000000,0.000000,0.000000,0.103026,0.117980,0.000000,0.000000,0.000000,0.086958,0.048236,0.109485,0.078367,0.000000,0.000000,0.000000,0.000000,0.000000,0.034268
21,0.038218,0.115304,0.038218,0.000000,0.076925,0.000000,0.079746,0.040373,0.000000,0.069342,0.000000,0.038612,0.000000,0.000000,0.046535,0.000000,0.092990,0.000000,0.055298,0.000000,0.000000,0.000000,0.057138,0.000000,0.093210,0.077965,0.061120,0.000000,0.046615,0.000000,0.000000,0.000000,0.034091,0.057278,0.000000,0.072763
1,0.041347,0.145179,0.041347,0.048601,0.137609,0.000000,0.000000,0.000000,0.000000,0.053599,0.059686,0.042775,0.000000,0.088439,0.026361,0.000000,0.000000,0.047962,0.074750,0.128230,0.000000,0.000000,0.073092,0.000000,0.000000,0.000000,0.074821,0.000000,0.000000,0.000000,0.000000,0.053457,0.000000,0.030790,0.059828,0.000000
14,0.037005,0.116568,0.037005,0.000000,0.000000,0.056305,0.000000,0.000000,0.066797,0.000000,0.067842,0.000000,0.000000,0.000000,0.059841,0.066867,0.000000,0.087331,0.000000,0.000000,0.000000,0.112352,0.113525,0.000000,0.000000,0.000000,0.084474,0.051561,0.101831,0.092100,0.000000,0.000000,0.000000,0.000000,0.000000,0.039174
21,0.037109,0.114045,0.037109,0.000000,0.051352,0.001520,0.047404,0.014606,0.022574,0.045787,0.017699,0.022999,0.000000,0.000000,0.040713,0.028641,0.089823,0.009760,0.030511,0.000000,0.000000,0.027925,0.068227,0.000000,0.071831,0.071584,0.108088,0.016147,0.061846,0.020241,0.000000,0.000000,0.034479,0.040433,0.000000,0.055810
1,0.038890,0.136185,0.038890,0.018058,0.072877,0.024414,0.000000,0.000000,0.022207,0.042034,0.088535,0.033584,0.000000,0.066279,0.049479,0.025428,0.000000,0.075425,0.055512,0.110775,0.000000,0.040813,0.057467,0.000000,0.000000,0.000000,0.058667,0.006744,0.025261,0.021995,0.000000,0.038320,0.000000,0.012875,0.038176,0.015075
24,0.034715,0.116680,0.034715,0.000000,0.000000,0.054093,0.021956,0.000000,0.031031,0.063226,0.047622,0.000000,0.000000,0.000000,0.051021,0.059001,0.000000,0.095136,0.000000,0.000000,0.000000,0.078819,0.134689,0.000000,0.000000,0.009878,0.067225,0.010223,0.078750,0.071399,0.000000,0.008539,0.031645,0.029394,0.008423,0.047932
21,0.036516,0.116034,0.036516,0.000000,0.058237,0.025205,0.031306,0.011920,0.018857,0.041257,0.031449,0.019745,0.000000,0.000000,0.042014,0.039838,0.051433,0.054026,0.020337,0.000000,0.000000,0.048186,0.052076,0.000000,0.047085,0.049070,0.106587,0.032428,0.077961,0.030002,0.000000,0.000000,0.030631,0.030331,0.000000,0.050019
14,0.037005,0.116568,0.037005,0.000000,0.000000,0.056305,0.000000,0.000000,0.066797,0.000000,0.067842,0.000000,0.000000,0.000000,0.059841,0.066867,0.000000,0.087331,0.000000,0.000000,0.000000,0.112352,0.113525,0.000000,0.000000,0.000000,0.084474,0.051561,0.101831,0.092100,0.000000,0.000000,0.000000,0.000000,0.000000,0.039174
0,0.033971,0.113215,0.033971,0.000000,0.000000,0.062530,0.002715,0.000000,0.050970,0.060490,0.066600,0.000000,0.000000,0.000000,0.022904,0.067629,0.000000,0.127328,0.000000,0.000000,0.000000,0.083842,0.095992,0.000000,0.000000,0.005485,0.072240,0.014758,0.111413,0.081905,0.000000,0.007664,0.010365,0.001747,0.004998,0.048425
7,0.033971,0.113215,0.033971,0.000000,0.000000,0.062530,0.002715,0.000000,0.050970,0.060490,0.066600,0.000000,0.000000,0.000000,0.022904,0.067629,0.000000,0.127328,0.000000,0.000000,0.000000,0.083842,0.095992,0.000000,0.000000,0.005485,0.072240,0.014758,0.111413,0.081905,0.000000,0.007664,0.010365,0.001747,0.004998,0.048425
9,0.033971,0.113215,0.033971,0.000000,0.000000,0.062530,0.002715,0.000000,0.050970,0.060490,0.066600,0.000000,0.000000,0.000000,0.022904,0.067629,0.000000,0.127328,0.000000,0.000000,0.000000,0.083842,0.095992,0.000000,0.000000,0.005485,0.072240,0.014758,0.111413,0.081905,0.000000,0.007664,0.010365,0.001747,0.004998,0.048425
0,0.032954,0.112013,0.032954,0.000000,0.000000,0.057478,0.002275,0.000000,0.049536,0.060327,0.062172,0.000000,0.000000,0.000000,0.018482,0.082691,0.000000,0.132034,0.000000,0.000000,0.000000,0.078818,0.096722,0.000000,0.000000,0.004606,0.080277,0.010440,0.110506,0.082310,0.000000,0.010233,0.009154,0.001621,0.004226,0.046092
18,0.033559,0.112776,0.033559,0.000000,0.000000,0.058362,0.002267,0.000000,0.053040,0.064839,0.062392,0.000000,0.000000,0.000000,0.022819,0.070568,0.000000,0.137113,0.000000,0.000000,0.000000,0.075344,0.092612,0.000000,0.000000,0.005584,0.074926,0.014893,0.112616,0.082642,0.000000,0.008860,0.009264,0.001633,0.004791,0.045437
6,0.033559,0.112776,0.033559,0.000000,0.000000,0.058362,0.002267,0.000000,0.053040,0.064839,0.062392,0.000000,0.000000,0.000000,0.022819,0.070568,0.000000,0.137113,0.000000,0.000000,0.000000,0.075344,0.092612,0.000000,0.000000,0.005584,0.074926,0.014893,0.112616,0.082642,0.000000,0.008860,0.009264,0.001633,0.004791,0.045437
9,0.032489,0.111572,0.032489,0.000000,0.000000,0.057357,0.003097,0.000000,0.050860,0.058352,0.071476,0.000000,0.000000,0.000000,0.019608,0.088278,0.000000,0.129989,0.000000,0.000000,0.000000,0.072781,0.102724,0.000000,0.000000,0.004614,0.075244,0.012968,0.106026,0.073588,0.000000,0.008483,0.010379,0.002396,0.004538,0.047243
22,0.032489,0.111572,0.032489,0.000000,0.000000,0.057357,0.003097,0.000000,0.050860,0.058352,0.071476,0.000000,0.000000,0.000000,0.019608,0.088278,0.000000,0.129989,0.000000,0.000000,0.000000,0.072781,0.102724,0.000000,0.000000,0.004614,0.075244,0.012968,0.106026,0.073588,0.000000,0.008483,0.010379,0.002396,0.004538,0.047243
23,0.032489,0.111572,0.032489,0.000000,0.000000,0.057357,0.003097,0.000000,0.050860,0.058352,0.071476,0.000000,0.000000,0.000000,0.019608,0.088278,0.000000,0.129989,0.000000,0.000000,0.000000,0.072781,0.102724,0.000000,0.000000,0.004614,0.075244,0.012968,0.106026,0.073588,0.000000,0.008483,0.010379,0.002396,0.004538,0.047243
22,0.032171,0.112229,0.032171,0.000000,0.000000,0.061545,0.003176,0.000000,0.050623,0.056755,0.072348,0.000000,0.000000,0.000000,0.020373,0.092647,0.000000,0.126708,0.000000,0.000000,0.000000,0.069310,0.105227,0.000000,0.000000,0.004697,0.074470,0.013195,0.105270,0.065566,0.000000,0.009158,0.010497,0.003155,0.004767,0.050511
27,0.032206,0.111198,0.032206,0.000000,0.000000,0.058092,0.002980,0.000000,0.043259,0.070247,0.072573,0.000000,0.000000,0.000000,0.019802,0.084282,0.000000,0.135329,0.000000,0.000000,0.000000,0.074604,0.101219,0.000000,0.000000,0.004618,0.071810,0.013377,0.110851,0.066715,0.000000,0.008311,0.009994,0.001834,0.004658,0.045444
12,0.032228,0.109532,0.032228,0.000000,0.000000,0.053316,0.002704,0.000000,0.046656,0.047897,0.057849,0.000000,0.000000,0.000000,0.017042,0.078783,0.000000,0.153872,0.000000,0.000000,0.000000,0.065104,0.126981,0.000000,0.000000,0.003955,0.070398,0.014715,0.123054,0.075393,0.000000,0.007874,0.009563,0.001587,0.005367,0.037890
9,0.031227,0.108701,0.031227,0.000000,0.000000,0.046626,0.002614,0.000000,0.053065,0.047855,0.059020,0.000000,0.000000,0.000000,0.016274,0.078999,0.000000,0.143219,0.000000,0.000000,0.000000,0.058622,0.136078,0.000000,0.000000,0.003328,0.066900,0.014457,0.152538,0.059201,0.000000,0.008894,0.008980,0.001508,0.005476,0.036345
19,0.031227,0.108701,0.031227,0.000000,0.000000,0.046626,0.002614,0.000000,0.053065,0.047855,0.059020,0.000000,0.000000,0.000000,0.016274,0.078999,0.000000,0.143219,0.000000,0.000000,0.000000,0.058622,0.136078,0.000000,0.000000,0.003328,0.066900,0.014457,0.152538,0.059201,0.000000,0.008894,0.008980,0.001508,0.005476,0.036345
12,0.031227,0.108701,0.031227,0.000000,0.000000,0.046626,0.002614,0.000000,0.053065,0.047855,0.059020,0.000000,0.000000,0.000000,0.016274,0.078999,0.000000,0.143219,0.000000,0.000000,0.000000,0.058622,0.136078,0.000000,0.000000,0.003328,0.066900,0.014457,0.152538,0.059201,0.000000,0.008894,0.008980,0.001508,0.005476,0.036345
16,0.029776,0.109447,0.029776,0.000000,0.000000,0.052190,0.003555,0.000000,0.043081,0.049145,0.060873,0.000000,0.000000,0.000000,0.022912,0.091643,0.000000,0.150443,0.000000,0.000000,0.000000,0.075824,0.092524,0.000000,0.000000,0.003441,0.094320,0.013243,0.118325,0.043706,0.000000,0.009862,0.014729,0.003288,0.003905,0.052990
21,0.029776,0.109447,0.029776,0.000000,0.000000,0.052190,0.003555,0.000000,0.043081,0.049145,0.060873,0.000000,0.000000,0.000000,0.022912,0.091643,0.000000,0.150443,0.000000,0.000000,0.000000,0.075824,0.092524,0.000000,0.000000,0.003441,0.094320,0.013243,0.118325,0.043706,0.000000,0.009862,0.014729,0.003288,0.003905,0.052990
1,0.029863,0.108120,0.029863,0.000000,0.000000,0.049614,0.003027,0.000000,0.046018,0.059433,0.051911,0.000000,0.000000,0.000000,0.020132,0.080164,0.000000,0.128420,0.000000,0.000000,0.000000,0.059761,0.106775,0.000000,0.000000,0.004559,0.075277,0.015988,0.186708,0.037330,0.000000,0.007899,0.009884,0.003800,0.006363,0.046936
6,0.028653,0.107400,0.028653,0.000000,0.000000,0.047265,0.003520,0.000000,0.055128,0.062660,0.053062,0.000000,0.000000,0.000000,0.021031,0.087099,0.000000,0.163477,0.000000,0.000000,0.000000,0.063376,0.083402,0.000000,0.000000,0.005110,0.115021,0.017086,0.107643,0.032620,0.000000,0.008511,0.012031,0.003789,0.004150,0.054020
8,0.028653,0.107400,0.028653,0.000000,0.000000,0.047265,0.003520,0.000000,0.055128,0.062660,0.053062,0.000000,0.000000,0.000000,0.021031,0.087099,0.000000,0.163477,0.000000,0.000000,0.000000,0.063376,0.083402,0.000000,0.000000,0.005110,0.115021,0.017086,0.107643,0.032620,0.000000,0.008511,0.012031,0.003789,0.004150,0.054020
11,0.028653,0.107400,0.028653,0.000000,0.000000,0.047265,0.003520,0.000000,0.055128,0.062660,0.053062,0.000000,0.000000,0.000000,0.021031,0.087099,0.000000,0.163477,0.000000,0.000000,0.000000,0.063376,0.083402,0.000000,0.000000,0.005110,0.115021,0.017086,0.107643,0.032620,0.000000,0.008511,0.012031,0.003789,0.004150,0.054020
19,0.027585,0.101627,0.027585,0.000000,0.000000,0.039581,0.002368,0.000000,0.014527,0.048152,0.036486,0.000000,0.000000,0.000000,0.018138,0.067075,0.000000,0.147697,0.000000,0.000000,0.000000,0.042005,0.156192,0.000000,0.000000,0.002648,0.117732,0.016609,0.202767,0.027706,0.000000,0.007929,0.006585,0.002778,0.002111,0.040916
0,0.028123,0.105095,0.028123,0.000000,0.000000,0.038755,0.003420,0.000000,0.076962,0.076049,0.050991,0.000000,0.000000,0.000000,0.018716,0.075852,0.000000,0.164116,0.000000,0.000000,0.000000,0.057014,0.076081,0.000000,0.000000,0.006304,0.122452,0.018132,0.092175,0.033116,0.000000,0.005874,0.014013,0.005974,0.003044,0.060960
8,0.028123,0.105095,0.028123,0.000000,0.000000,0.038755,0.003420,0.000000,0.076962,0.076049,0.050991,0.000000,0.000000,0.000000,0.018716,0.075852,0.000000,0.164116,0.000000,0.000000,0.000000,0.057014,0.076081,0.000000,0.000000,0.006304,0.122452,0.018132,0.092175,0.033116,0.000000,0.005874,0.014013,0.005974,0.003044,0.060960
19,0.027362,0.100081,0.027362,0.000000,0.000000,0.033917,0.001748,0.000000,0.013635,0.039401,0.027656,0.000000,0.000000,0.000000,0.019909,0.062152,0.000000,0.144163,0.000000,0.000000,0.000000,0.034337,0.152871,0.000000,0.000000,0.001700,0.090715,0.015553,0.285777,0.029205,0.000000,0.007949,0.002194,0.002282,0.001724,0.033112
2,0.027531,0.102940,0.027531,0.000000,0.000000,0.042443,0.003219,0.000000,0.038938,0.075163,0.043312,0.000000,0.000000,0.000000,0.018305,0.065297,0.000000,0.162567,0.000000,0.000000,0.000000,0.044902,0.076177,0.000000,0.000000,0.004657,0.126884,0.018570,0.188299,0.023586,0.000000,0.005825,0.005072,0.003785,0.003117,0.049884
9,0.027531,0.102940,0.027531,0.000000,0.000000,0.042443,0.003219,0.000000,0.038938,0.075163,0.043312,0.000000,0.000000,0.000000,0.018305,0.065297,0.000000,0.162567,0.000000,0.000000,0.000000,0.044902,0.076177,0.000000,0.000000,0.004657,0.126884,0.018570,0.188299,0.023586,0.000000,0.005825,0.005072,0.003785,0.003117,0.049884
3,0.026560,0.100942,0.026560,0.000000,0.000000,0.046107,0.003001,0.000000,0.016411,0.076491,0.037736,0.000000,0.000000,0.000000,0.014823,0.063517,0.000000,0.205423,0.000000,0.000000,0.000000,0.053195,0.075422,0.000000,0.000000,0.002964,0.127662,0.014769,0.164877,0.022016,0.000000,0.005967,0.011006,0.004863,0.001903,0.051846
9,0.026560,0.100942,0.026560,0.000000,0.000000,0.046107,0.003001,0.000000,0.016411,0.076491,0.037736,0.000000,0.000000,0.000000,0.014823,0.063517,0.000000,0.205423,0.000000,0.000000,0.000000,0.053195,0.075422,0.000000,0.000000,0.002964,0.127662,0.014769,0.164877,0.022016,0.000000,0.005967,0.011006,0.004863,0.001903,0.051846
17,0.026560,0.100942,0.026560,0.000000,0.000000,0.046107,0.003001,0.000000,0.016411,0.076491,0.037736,0.000000,0.000000,0.000000,0.014823,0.063517,0.000000,0.205423,0.000000,0.000000,0.000000,0.053195,0.075422,0.000000,0.000000,0.002964,0.127662,0.014769,0.164877,0.022016,0.000000,0.005967,0.011006,0.004863,0.001903,0.051846
20,0.025396,0.096792,0.025396,0.000000,0.000000,0.042715,0.003777,0.000000,0.015864,0.074151,0.039072,0.000000,0.000000,0.000000,0.020123,0.064148,0.000000,0.236139,0.000000,0.000000,0.000000,0.056440,0.083399,0.000000,0.000000,0.002750,0.120439,0.013942,0.122964,0.022412,0.000000,0.002328,0.012868,0.005447,0.001171,0.059849
22,0.025998,0.100552,0.025998,0.000000,0.000000,0.051622,0.004365,0.000000,0.018716,0.074367,0.034840,0.000000,0.000000,0.000000,0.016484,0.060738,0.000000,0.246749,0.000000,0.000000,0.000000,0.054277,0.076919,0.000000,0.000000,0.002170,0.124508,0.014586,0.103657,0.025094,0.000000,0.005641,0.011312,0.005151,0.001292,0.067513
10,0.026044,0.099937,0.026044,0.000000,0.000000,0.052286,0.002804,0.000000,0.010836,0.080013,0.036630,0.000000,0.000000,0.000000,0.014458,0.063332,0.000000,0.233112,0.000000,0.000000,0.000000,0.053875,0.070666,0.000000,0.000000,0.002814,0.124819,0.013573,0.144476,0.019703,0.000000,0.005646,0.008997,0.005165,0.001340,0.055456
1,0.024987,0.095555,0.024987,0.000000,0.000000,0.041166,0.004037,0.000000,0.016996,0.074573,0.040695,0.000000,0.000000,0.000000,0.022553,0.064964,0.000000,0.244790,0.000000,0.000000,0.000000,0.057466,0.087934,0.000000,0.000000,0.002714,0.114535,0.014037,0.103397,0.022709,0.000000,0.001063,0.013305,0.005840,0.001040,0.066185
20,0.024987,0.095555,0.024987,0.000000,0.000000,0.041166,0.004037,0.000000,0.016996,0.074573,0.040695,0.000000,0.000000,0.000000,0.022553,0.064964,0.000000,0.244790,0.000000,0.000000,0.000000,0.057466,0.087934,0.000000,0.000000,0.002714,0.114535,0.014037,0.103397,0.022709,0.000000,0.001063,0.013305,0.005840,0.001040,0.066185
3,0.025265,0.096270,0.025265,0.000000,0.000000,0.033461,0.000097,0.000000,0.023407,0.070001,0.048673,0.000000,0.000000,0.000000,0.022788,0.071909,0.000000,0.193308,0.000000,0.000000,0.000000,0.056755,0.071732,0.000000,0.000000,0.003237,0.119073,0.014417,0.183901,0.016002,0.000000,0.002117,0.010671,0.004758,0.002452,0.051241
15,0.024464,0.095140,0.024464,0.000000,0.000000,0.031892,0.001868,0.000000,0.018882,0.031821,0.044314,0.000000,0.000000,0.000000,0.011904,0.063664,0.000000,0.205833,0.000000,0.000000,0.000000,0.037666,0.104778,0.000000,0.000000,0.002124,0.098098,0.014540,0.229002,0.020676,0.000000,0.001001,0.010748,0.000760,0.003313,0.067114
25,0.024690,0.094247,0.024690,0.000000,0.000000,0.044367,0.003037,0.000000,0.016542,0.069062,0.038039,0.000000,0.000000,0.000000,0.023238,0.060527,0.000000,0.266892,0.000000,0.000000,0.000000,0.053938,0.089996,0.000000,0.000000,0.002519,0.116052,0.011995,0.104298,0.021800,0.000000,0.001676,0.006353,0.005795,0.001434,0.062441
0,0.024914,0.095137,0.024914,0.000000,0.000000,0.040830,0.004030,0.000000,0.009926,0.071882,0.035537,0.000000,0.000000,0.000000,0.017541,0.065737,0.000000,0.239394,0.000000,0.000000,0.000000,0.053875,0.086040,0.000000,0.000000,0.002708,0.127407,0.014363,0.127180,0.023101,0.000000,0.001343,0.010055,0.005819,0.000734,0.062500
3,0.023151,0.092571,0.023151,0.000000,0.000000,0.031441,0.004052,0.000000,0.010076,0.067004,0.034630,0.000000,0.000000,0.000000,0.022053,0.059320,0.000000,0.236697,0.000000,0.000000,0.000000,0.048557,0.102319,0.000000,0.000000,0.002361,0.094284,0.010349,0.147344,0.022484,0.000000,0.001231,0.009356,0.005494,0.000561,0.090388
10,0.023151,0.092571,0.023151,0.000000,0.000000,0.031441,0.004052,0.000000,0.010076,0.067004,0.034630,0.000000,0.000000,0.000000,0.022053,0.059320,0.000000,0.236697,0.000000,0.000000,0.000000,0.048557,0.102319,0.000000,0.000000,0.002361,0.094284,0.010349,0.147344,0.022484,0.000000,0.001231,0.009356,0.005494,0.000561,0.090388
20,0.023151,0.092571,0.023151,0.000000,0.000000,0.031441,0.004052,0.000000,0.010076,0.067004,0.034630,0.000000,0.000000,0.000000,0.022053,0.059320,0.000000,0.236697,0.000000,0.000000,0.000000,0.048557,0.102319,0.000000,0.000000,0.002361,0.094284,0.010349,0.147344,0.022484,0.000000,0.001231,0.009356,0.005494,0.000561,0.090388
14,0.021693,0.091624,0.021693,0.000000,0.000000,0.020253,0.003855,0.000000,0.015619,0.089926,0.024517,0.000000,0.000000,0.000000,0.017932,0.069543,0.000000,0.226652,0.000000,0.000000,0.000000,0.047183,0.090205,0.000000,0.000000,0.003153,0.039402,0.010782,0.211482,0.020067,0.000000,0.001183,0.006939,0.004538,0.000014,0.096754
20,0.022134,0.091724,0.022134,0.000000,0.000000,0.032995,0.003928,0.000000,0.012844,0.070120,0.035440,0.000000,0.000000,0.000000,0.023120,0.070186,0.000000,0.229129,0.000000,0.000000,0.000000,0.057402,0.108971,0.000000,0.000000,0.002843,0.062530,0.006749,0.149972,0.021370,0.000000,0.001113,0.004812,0.004036,0.000717,0.101722
