id,SortinoRatio,Mean,DownSideRisk,ARZZ3,AUTM3,BBFI11B,BPNM4,BRCR11B,BRFS3,CESP6,CMIG3,CMIG4,COCE3,COCE5,CSMG3,ECOR3,EZTC3,FEXC11B,FFTL4,HGRE11,HGTX3,HTMX11B,IDVL4,JHSF3,KLBN4,KNRI11,LIGT3,MPXE3,PRSV11,RDCD3,RNEW11,SAPR4,SSBR3,STBP11,UOLL4,USIM3
0,3.965207,0.235097,0.059290,0.000000,0.000000,0.000000,0.000000,0.056650,0.000000,0.042744,0.076534,0.043019,0.000000,0.028613,0.058776,0.022010,0.085789,0.000000,0.000000,0.000000,0.000000,0.065705,0.000000,0.000000,0.056200,0.051548,0.000000,0.090816,0.000000,0.000000,0.000000,0.117478,0.028838,0.068206,0.070032,0.037042
25,3.845972,0.181904,0.047297,0.000000,0.000000,0.000000,0.000000,0.000000,0.021391,0.077168,0.036141,0.068065,0.000000,0.054419,0.000000,0.069440,0.030187,0.074888,0.048339,0.064500,0.000000,0.000000,0.068916,0.000000,0.000000,0.000000,0.041769,0.119064,0.038258,0.000000,0.000000,0.059704,0.066038,0.061713,0.000000,0.000000
15,3.564141,0.188022,0.052754,0.021984,0.077408,0.000000,0.000000,0.069303,0.053902,0.088982,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.072535,0.000000,0.050908,0.000000,0.064764,0.000000,0.000000,0.000000,0.000000,0.069565,0.094733,0.000000,0.000000,0.000000,0.085369,0.066332,0.000000,0.000000,0.092832,0.091382
24,3.992106,0.234862,0.058832,0.000000,0.000000,0.000000,0.000025,0.056650,0.000000,0.042744,0.076509,0.043019,0.000000,0.028613,0.058776,0.022010,0.085789,0.025011,0.000000,0.000000,0.000000,0.065705,0.000000,0.000000,0.031189,0.051548,0.000000,0.090816,0.000000,0.000000,0.000000,0.117478,0.028838,0.068206,0.070032,0.037042
17,3.965207,0.235097,0.059290,0.000000,0.000000,0.000000,0.000000,0.056650,0.000000,0.042744,0.076534,0.043019,0.000000,0.028613,0.058776,0.022010,0.085789,0.000000,0.000000,0.000000,0.000000,0.065705,0.000000,0.000000,0.056200,0.051548,0.000000,0.090816,0.000000,0.000000,0.000000,0.117478,0.028838,0.068206,0.070032,0.037042
19,3.965207,0.235097,0.059290,0.000000,0.000000,0.000000,0.000000,0.056650,0.000000,0.042744,0.076534,0.043019,0.000000,0.028613,0.058776,0.022010,0.085789,0.000000,0.000000,0.000000,0.000000,0.065705,0.000000,0.000000,0.056200,0.051548,0.000000,0.090816,0.000000,0.000000,0.000000,0.117478,0.028838,0.068206,0.070032,0.037042
1,3.992106,0.234862,0.058832,0.000000,0.000000,0.000000,0.000025,0.056650,0.000000,0.042744,0.076509,0.043019,0.000000,0.028613,0.058776,0.022010,0.085789,0.025011,0.000000,0.000000,0.000000,0.065705,0.000000,0.000000,0.031189,0.051548,0.000000,0.090816,0.000000,0.000000,0.000000,0.117478,0.028838,0.068206,0.070032,0.037042
27,3.992106,0.234862,0.058832,0.000000,0.000000,0.000000,0.000025,0.056650,0.000000,0.042744,0.076509,0.043019,0.000000,0.028613,0.058776,0.022010,0.085789,0.025011,0.000000,0.000000,0.000000,0.065705,0.000000,0.000000,0.031189,0.051548,0.000000,0.090816,0.000000,0.000000,0.000000,0.117478,0.028838,0.068206,0.070032,0.037042
16,3.992106,0.234862,0.058832,0.000000,0.000000,0.000000,0.000025,0.056650,0.000000,0.042744,0.076509,0.043019,0.000000,0.028613,0.058776,0.022010,0.085789,0.025011,0.000000,0.000000,0.000000,0.065705,0.000000,0.000000,0.031189,0.051548,0.000000,0.090816,0.000000,0.000000,0.000000,0.117478,0.028838,0.068206,0.070032,0.037042
23,3.995093,0.234859,0.058787,0.000000,0.000000,0.000000,0.000025,0.056650,0.000000,0.042744,0.076509,0.041444,0.000000,0.028613,0.058776,0.023586,0.085789,0.025011,0.000000,0.000000,0.000000,0.065705,0.000000,0.000000,0.031189,0.051548,0.000000,0.090816,0.000000,0.000000,0.000000,0.117478,0.028838,0.068206,0.070032,0.037042
