id,Mean,Mean,DownsideRisk,20120102,20120103,20120104,20120105,20120106,20120109,20120110,20120111,20120112,20120113,20120116,20120117,20120118,20120119,20120120,20120123,20120124,20120126,20120127,20120130,20120131,20120201,20120202,20120203,20120206,20120207,20120208,20120209,20120210,20120213,20120214,20120215,20120216,20120217,20120222,20120223,20120224,20120227,20120228,20120229,20120301,20120302,20120305,20120306,20120307,20120308,20120309,20120312,20120313,20120314,20120315,20120316,20120319,20120320,20120321,20120322,20120323,20120326,20120327,20120328,20120329,20120330,20120402,20120403,20120404,20120405,20120409,20120410,20120411,20120412,20120413,20120416,20120417,20120418,20120419,20120420,20120423,20120424,20120425,20120426,20120427,20120430,20120502,20120503,20120504,20120507,20120508,20120509,20120510,20120511,20120514,20120515,20120516,20120517,20120518,20120521,20120522,20120523,20120524,20120525,20120528,20120529,20120530,20120531,20120601,20120604,20120605,20120606,20120608,20120611,20120612,20120613,20120614,20120615,20120618,20120619,20120620,20120621,20120622,20120625,20120626,20120627,20120628,20120629,20120702,20120703,20120704,20120705,20120706,20120710,20120711,20120712,20120713,20120716,20120717,20120718,20120719,20120720,20120723,20120724,20120725,20120726,20120727,20120730,20120731,20120801,20120802,20120803,20120806,20120807,20120808,20120809,20120810,20120813,20120814,20120815,20120816,20120817,20120820,20120821,20120822,20120823,20120824,20120827,20120828,20120829,20120830,20120831,20120903,20120904,20120905,20120906,20120910,20120911,20120912,20120913,20120914,20120917,20120918,20120919,20120920,20120921,20120924,20120925,20120926,20120927,20120928,20121001,20121002,20121003,20121004,20121005,20121008,20121009,20121010,20121011,20121015,20121016,20121017,20121018,20121019,20121022,20121023,20121024,20121025,20121026,20121029,20121030,20121031,20121101,20121105,20121106,20121107,20121108,20121109,20121112,20121113,20121114,20121116,20121119,20121121,20121122,20121123,20121126,20121127,20121128,20121129,20121130,20121203,20121204,20121205,20121206,20121207,20121210,20121211,20121212,20121213,20121214,20121217,20121218,20121219,20121220,20121221,20121226,20121227,20121228
23,0.617216,0.617216,0.142104,0.000000,0.012343,0.012683,0.017247,0.013673,0.145237,0.150142,0.141643,0.133980,0.145835,0.142190,0.142908,0.146366,0.143085,0.139634,0.140101,0.139895,0.136342,0.137117,0.136656,0.136744,0.137447,0.137254,0.140556,0.137684,0.137660,0.145355,0.149700,0.152453,0.152299,0.157192,0.147041,0.149983,0.279950,0.287117,0.287031,0.281620,0.288035,0.283438,0.284146,0.284367,0.416176,0.424204,0.420735,0.430171,0.435481,0.446753,0.447363,0.456087,0.456098,0.456121,0.448940,0.316036,0.316108,0.317180,0.311912,0.304823,0.308843,0.308091,0.307450,0.430361,0.437094,0.437086,0.433777,0.427732,0.433573,0.432749,0.440803,0.430980,0.433602,0.432923,0.441358,0.441677,0.447705,0.439651,0.436084,0.430076,0.433345,0.438084,0.436604,0.444867,0.454601,0.447738,0.446812,0.449738,0.449216,0.450735,0.448246,0.459264,0.452245,0.467345,0.457635,0.440270,0.422505,0.412000,0.423751,0.413071,0.405429,0.403546,0.362099,0.367717,0.364833,0.353053,0.361891,0.356275,0.344365,0.352020,0.347686,0.352510,0.360549,0.361873,0.358122,0.359698,0.362216,0.358466,0.359386,0.367818,0.355236,0.354279,0.354044,0.354836,0.353403,0.341073,0.341371,0.342460,0.342647,0.336223,0.348011,0.336047,0.332103,0.327477,0.327213,0.330626,0.331611,0.328132,0.336073,0.339136,0.334752,0.330980,0.331751,0.332757,0.344283,0.350617,0.355418,0.352310,0.347553,0.344339,0.352317,0.359713,0.352555,0.356160,0.362045,0.362315,0.493984,0.491449,0.490898,0.401039,0.405014,0.397573,0.397538,0.400571,0.529359,0.528757,0.396864,0.396751,0.397458,0.398270,0.398415,0.401874,0.409570,0.401846,0.408312,0.536495,0.404864,0.404059,0.398399,0.406749,0.406265,0.406482,0.410013,0.412951,0.412966,0.409578,0.413671,0.401640,0.410055,0.406378,0.411991,0.406637,0.406682,0.411853,0.404598,0.412250,0.402012,0.396203,0.405679,0.405717,0.406014,0.405180,0.402322,0.401246,0.401397,0.396880,0.400424,0.400010,0.399996,0.399753,0.397157,0.400788,0.403613,0.408220,0.407973,0.407132,0.413091,0.406946,0.406235,0.405019,0.405466,0.404882,0.405160,0.405374,0.405668,0.401470,0.406579,0.405866,0.406664,0.411043,0.411769,0.411228,0.411090,0.408749,0.408118,0.409266,0.409441,0.409087,0.409580,0.409936,0.409981,0.410566,0.411588,0.419743,0.412857,0.419335,0.419268,0.550796,0.554496
20,0.617216,0.617216,0.142104,0.000000,0.012343,0.012683,0.017247,0.013673,0.145237,0.150142,0.141643,0.133980,0.145835,0.142190,0.142908,0.146366,0.143085,0.139634,0.140101,0.139895,0.136342,0.137117,0.136656,0.136744,0.137447,0.137254,0.140556,0.137684,0.137660,0.145355,0.149700,0.152453,0.152299,0.157192,0.147041,0.149983,0.279950,0.287117,0.287031,0.281620,0.288035,0.283438,0.284146,0.284367,0.416176,0.424204,0.420735,0.430171,0.435481,0.446753,0.447363,0.456087,0.456098,0.456121,0.448940,0.316036,0.316108,0.317180,0.311912,0.304823,0.308843,0.308091,0.307450,0.430361,0.437094,0.437086,0.433777,0.427732,0.433573,0.432749,0.440803,0.430980,0.433602,0.432923,0.441358,0.441677,0.447705,0.439651,0.436084,0.430076,0.433345,0.438084,0.436604,0.444867,0.454601,0.447738,0.446812,0.449738,0.449216,0.450735,0.448246,0.459264,0.452245,0.467345,0.457635,0.440270,0.422505,0.412000,0.423751,0.413071,0.405429,0.403546,0.362099,0.367717,0.364833,0.353053,0.361891,0.356275,0.344365,0.352020,0.347686,0.352510,0.360549,0.361873,0.358122,0.359698,0.362216,0.358466,0.359386,0.367818,0.355236,0.354279,0.354044,0.354836,0.353403,0.341073,0.341371,0.342460,0.342647,0.336223,0.348011,0.336047,0.332103,0.327477,0.327213,0.330626,0.331611,0.328132,0.336073,0.339136,0.334752,0.330980,0.331751,0.332757,0.344283,0.350617,0.355418,0.352310,0.347553,0.344339,0.352317,0.359713,0.352555,0.356160,0.362045,0.362315,0.493984,0.491449,0.490898,0.401039,0.405014,0.397573,0.397538,0.400571,0.529359,0.528757,0.396864,0.396751,0.397458,0.398270,0.398415,0.401874,0.409570,0.401846,0.408312,0.536495,0.404864,0.404059,0.398399,0.406749,0.406265,0.406482,0.410013,0.412951,0.412966,0.409578,0.413671,0.401640,0.410055,0.406378,0.411991,0.406637,0.406682,0.411853,0.404598,0.412250,0.402012,0.396203,0.405679,0.405717,0.406014,0.405180,0.402322,0.401246,0.401397,0.396880,0.400424,0.400010,0.399996,0.399753,0.397157,0.400788,0.403613,0.408220,0.407973,0.407132,0.413091,0.406946,0.406235,0.405019,0.405466,0.404882,0.405160,0.405374,0.405668,0.401470,0.406579,0.405866,0.406664,0.411043,0.411769,0.411228,0.411090,0.408749,0.408118,0.409266,0.409441,0.409087,0.409580,0.409936,0.409981,0.410566,0.411588,0.419743,0.412857,0.419335,0.419268,0.550796,0.554496
10,0.617214,0.617214,0.142102,0.000000,0.012345,0.012683,0.017243,0.013667,0.145235,0.150126,0.141627,0.133964,0.145818,0.142175,0.142893,0.146357,0.143067,0.139630,0.140090,0.139891,0.136339,0.137116,0.136664,0.136757,0.137456,0.137262,0.140578,0.137705,0.137681,0.145368,0.149714,0.152470,0.152311,0.157197,0.147045,0.149996,0.279963,0.287131,0.287044,0.281635,0.288042,0.283445,0.284153,0.284375,0.416185,0.424212,0.420745,0.430189,0.435492,0.446764,0.447377,0.456098,0.456108,0.456132,0.448942,0.316050,0.316123,0.317187,0.311924,0.304835,0.308857,0.308107,0.307465,0.430375,0.437108,0.437107,0.433798,0.427755,0.433596,0.432771,0.440824,0.430997,0.433634,0.432955,0.441390,0.441711,0.447739,0.439684,0.436108,0.430111,0.433369,0.438093,0.436625,0.444887,0.454629,0.447767,0.446833,0.449762,0.449233,0.450745,0.448268,0.459279,0.452261,0.467368,0.457662,0.440305,0.422531,0.412037,0.423789,0.413113,0.405470,0.403589,0.362147,0.367756,0.364873,0.353099,0.361931,0.356315,0.344405,0.352051,0.347717,0.352539,0.360579,0.361907,0.358151,0.359727,0.362243,0.358506,0.359424,0.367849,0.355267,0.354312,0.354084,0.354868,0.353434,0.341104,0.341402,0.342489,0.342678,0.336251,0.348040,0.336079,0.332137,0.327519,0.327255,0.330669,0.331649,0.328170,0.336104,0.339165,0.334780,0.331026,0.331789,0.332794,0.344330,0.350654,0.355458,0.352361,0.347602,0.344397,0.352383,0.359779,0.352622,0.356222,0.362092,0.362372,0.494041,0.491508,0.490959,0.401089,0.405064,0.397626,0.397591,0.400629,0.529412,0.528820,0.396924,0.396813,0.397520,0.398337,0.398480,0.401952,0.409653,0.401930,0.408398,0.536571,0.404950,0.404147,0.398496,0.406834,0.406359,0.406579,0.410116,0.413054,0.413066,0.409670,0.413761,0.401730,0.410156,0.406477,0.412087,0.406735,0.406770,0.411938,0.404684,0.412351,0.402110,0.396301,0.405778,0.405816,0.406112,0.405278,0.402417,0.401342,0.401490,0.396974,0.400522,0.400101,0.400088,0.399844,0.397252,0.400882,0.403717,0.408310,0.408059,0.407215,0.413172,0.407036,0.406313,0.405110,0.405565,0.404969,0.405247,0.405447,0.405745,0.401561,0.406673,0.405958,0.406746,0.411128,0.411841,0.411306,0.411170,0.408825,0.408196,0.409342,0.409516,0.409158,0.409668,0.410026,0.410069,0.410657,0.411679,0.419833,0.412943,0.419423,0.419358,0.550894,0.554591
