id,Mean,Mean,DownSideRisk,ARZZ3,AUTM3,BBFI11B,BPNM4,BRCR11B,BRFS3,CESP6,CMIG3,CMIG4,COCE3,COCE5,CSMG3,ECOR3,EZTC3,FEXC11B,FFTL4,HGRE11,HGTX3,HTMX11B,IDVL4,JHSF3,KLBN4,KNRI11,LIGT3,MPXE3,PRSV11,RDCD3,RNEW11,SAPR4,SSBR3,STBP11,UOLL4,USIM3
10,0.238222,0.238222,0.069103,0.000000,0.000000,0.000000,0.000000,0.055083,0.054506,0.120587,0.046990,0.000000,0.000000,0.059095,0.000000,0.058841,0.000000,0.000000,0.023702,0.000000,0.055290,0.000000,0.082428,0.093380,0.000000,0.072837,0.000000,0.093150,0.000000,0.000000,0.051463,0.088285,0.000000,0.000000,0.044361,0.000000
11,0.226294,0.226294,0.067513,0.000000,0.000000,0.000000,0.086241,0.000000,0.000000,0.000000,0.000000,0.124910,0.053552,0.000000,0.100300,0.011189,0.000000,0.042629,0.062561,0.000000,0.057725,0.000000,0.000000,0.069259,0.000000,0.041965,0.076567,0.000000,0.000000,0.049034,0.000000,0.113296,0.048582,0.062189,0.000000,0.000000
28,0.220923,0.220923,0.062074,0.000000,0.000000,0.000000,0.053754,0.000000,0.091234,0.000000,0.035787,0.000000,0.022041,0.052689,0.047696,0.067626,0.000000,0.103100,0.000000,0.000000,0.000000,0.033155,0.000000,0.000000,0.073998,0.000000,0.000000,0.000000,0.000000,0.103435,0.077550,0.097021,0.000000,0.039423,0.101492,0.000000
0,0.252693,0.252693,0.069993,0.000000,0.000000,0.042435,0.000000,0.061095,0.073627,0.044779,0.066512,0.000000,0.013135,0.010337,0.000000,0.024006,0.000000,0.000000,0.003213,0.000000,0.024161,0.000000,0.118022,0.059284,0.034609,0.071055,0.000000,0.087122,0.000000,0.000000,0.055172,0.113424,0.032486,0.042546,0.022980,0.000000
14,0.252693,0.252693,0.069993,0.000000,0.000000,0.042435,0.000000,0.061095,0.073627,0.044779,0.066512,0.000000,0.013135,0.010337,0.000000,0.024006,0.000000,0.000000,0.003213,0.000000,0.024161,0.000000,0.118022,0.059284,0.034609,0.071055,0.000000,0.087122,0.000000,0.000000,0.055172,0.113424,0.032486,0.042546,0.022980,0.000000
1,0.250696,0.250696,0.071618,0.000000,0.000000,0.000000,0.038698,0.007231,0.007959,0.037690,0.028457,0.091274,0.018975,0.011330,0.054467,0.025563,0.000000,0.029136,0.053741,0.000000,0.066182,0.000000,0.021585,0.077890,0.000000,0.051517,0.057743,0.027106,0.000000,0.039588,0.011013,0.135651,0.051797,0.042045,0.013361,0.000000
16,0.295512,0.295512,0.076804,0.000000,0.000000,0.015925,0.032020,0.024151,0.028697,0.027714,0.051815,0.008670,0.023090,0.007787,0.040335,0.027882,0.000000,0.019631,0.024826,0.000000,0.023722,0.000000,0.075543,0.071444,0.027548,0.072207,0.015509,0.059361,0.000000,0.012576,0.007176,0.182197,0.055980,0.048021,0.016171,0.000000
15,0.277736,0.277736,0.071368,0.000000,0.015968,0.014949,0.008239,0.040444,0.063651,0.050687,0.054354,0.023021,0.049828,0.045692,0.000000,0.021067,0.008302,0.000000,0.004136,0.000000,0.023147,0.025974,0.078770,0.041755,0.007024,0.043857,0.000000,0.027469,0.042020,0.000000,0.019445,0.171851,0.013392,0.017591,0.087366,0.000000
28,0.276203,0.276203,0.076003,0.000000,0.000000,0.029315,0.035691,0.026113,0.029986,0.015511,0.046809,0.055947,0.019028,0.005433,0.024844,0.014069,0.000000,0.025577,0.038704,0.000000,0.042714,0.000000,0.031311,0.072076,0.009833,0.040487,0.058691,0.034198,0.000000,0.041815,0.007557,0.162677,0.065187,0.051010,0.015419,0.000000
3,0.297164,0.297164,0.080494,0.000000,0.000000,0.017606,0.033351,0.034964,0.038265,0.002173,0.045020,0.035300,0.018847,0.004841,0.015308,0.012534,0.000000,0.019613,0.031558,0.000000,0.034678,0.000000,0.052725,0.083532,0.014753,0.051475,0.019062,0.043901,0.000000,0.045965,0.003837,0.182882,0.090874,0.056798,0.010137,0.000000
