id,SortinoRatio,Mean,SemiVar,ARZZ3,AUTM3,BBFI11B,BPNM4,BRCR11B,BRFS3,CESP6,CMIG3,CMIG4,COCE3,COCE5,CSMG3,ECOR3,EZTC3,FEXC11B,FFTL4,HGRE11,HGTX3,HTMX11B,IDVL4,JHSF3,KLBN4,KNRI11,LIGT3,MPXE3,PRSV11,RDCD3,RNEW11,SAPR4,SSBR3,STBP11,UOLL4,USIM3
17,1337.941230,0.103635,0.000825,0.025704,0.000000,0.034531,0.018081,0.000021,0.036368,0.048006,0.046591,0.060147,0.027387,0.010345,0.018724,0.087078,0.035672,0.051145,0.016429,0.070638,0.000000,0.047501,0.070838,0.000000,0.000000,0.046008,0.084547,0.009465,0.059677,0.001595,0.001019,0.000000,0.000005,0.004902,0.000000,0.087577
4,1383.265425,0.102528,0.000797,0.017701,0.000000,0.028194,0.014050,0.000227,0.041664,0.046911,0.052927,0.063996,0.025102,0.008752,0.025196,0.115769,0.038775,0.058287,0.011950,0.044635,0.000000,0.045708,0.069718,0.000000,0.000564,0.026816,0.081496,0.017819,0.077712,0.004001,0.001141,0.000000,0.000037,0.006525,0.000000,0.074326
20,1383.265425,0.102528,0.000797,0.017701,0.000000,0.028194,0.014050,0.000227,0.041664,0.046911,0.052927,0.063996,0.025102,0.008752,0.025196,0.115769,0.038775,0.058287,0.011950,0.044635,0.000000,0.045708,0.069718,0.000000,0.000564,0.026816,0.081496,0.017819,0.077712,0.004001,0.001141,0.000000,0.000037,0.006525,0.000000,0.074326
22,1383.265425,0.102528,0.000797,0.017701,0.000000,0.028194,0.014050,0.000227,0.041664,0.046911,0.052927,0.063996,0.025102,0.008752,0.025196,0.115769,0.038775,0.058287,0.011950,0.044635,0.000000,0.045708,0.069718,0.000000,0.000564,0.026816,0.081496,0.017819,0.077712,0.004001,0.001141,0.000000,0.000037,0.006525,0.000000,0.074326
9,1455.713995,0.101054,0.000756,0.024225,0.000000,0.028970,0.017920,0.000216,0.039763,0.044586,0.049930,0.059496,0.025551,0.008632,0.023999,0.116695,0.035295,0.053620,0.012685,0.059608,0.000000,0.046212,0.066773,0.000000,0.000545,0.030132,0.075680,0.009271,0.077392,0.003859,0.001071,0.000000,0.000007,0.005021,0.000000,0.082846
29,1455.713995,0.101054,0.000756,0.024225,0.000000,0.028970,0.017920,0.000216,0.039763,0.044586,0.049930,0.059496,0.025551,0.008632,0.023999,0.116695,0.035295,0.053620,0.012685,0.059608,0.000000,0.046212,0.066773,0.000000,0.000545,0.030132,0.075680,0.009271,0.077392,0.003859,0.001071,0.000000,0.000007,0.005021,0.000000,0.082846
15,1455.713995,0.101054,0.000756,0.024225,0.000000,0.028970,0.017920,0.000216,0.039763,0.044586,0.049930,0.059496,0.025551,0.008632,0.023999,0.116695,0.035295,0.053620,0.012685,0.059608,0.000000,0.046212,0.066773,0.000000,0.000545,0.030132,0.075680,0.009271,0.077392,0.003859,0.001071,0.000000,0.000007,0.005021,0.000000,0.082846
21,1469.377630,0.099901,0.000749,0.024502,0.000000,0.028324,0.015387,0.000261,0.038276,0.042663,0.047532,0.060871,0.024348,0.008304,0.024543,0.134406,0.033385,0.054204,0.012336,0.058051,0.000000,0.054510,0.065703,0.000000,0.000791,0.027791,0.071715,0.009310,0.079528,0.004873,0.001064,0.000000,0.000007,0.005231,0.000000,0.072086
29,1469.377630,0.099901,0.000749,0.024502,0.000000,0.028324,0.015387,0.000261,0.038276,0.042663,0.047532,0.060871,0.024348,0.008304,0.024543,0.134406,0.033385,0.054204,0.012336,0.058051,0.000000,0.054510,0.065703,0.000000,0.000791,0.027791,0.071715,0.009310,0.079528,0.004873,0.001064,0.000000,0.000007,0.005231,0.000000,0.072086
1,1464.928654,0.101355,0.000752,0.029182,0.000000,0.028953,0.018719,0.000210,0.038830,0.043311,0.048338,0.057655,0.025055,0.008477,0.022702,0.116916,0.032651,0.051724,0.012753,0.061002,0.000000,0.051822,0.063968,0.000000,0.000529,0.030976,0.074150,0.009002,0.076964,0.003740,0.001016,0.000000,0.000007,0.004692,0.000000,0.086654
1,1642.723774,0.100343,0.000670,0.016343,0.000000,0.032201,0.011661,0.000025,0.027601,0.043580,0.043608,0.055502,0.024700,0.008498,0.019455,0.105865,0.043229,0.053106,0.015742,0.060677,0.000000,0.045547,0.059660,0.000000,0.000505,0.033126,0.081298,0.009525,0.080873,0.003832,0.000941,0.000000,0.000012,0.004766,0.000000,0.118122
29,1642.723774,0.100343,0.000670,0.016343,0.000000,0.032201,0.011661,0.000025,0.027601,0.043580,0.043608,0.055502,0.024700,0.008498,0.019455,0.105865,0.043229,0.053106,0.015742,0.060677,0.000000,0.045547,0.059660,0.000000,0.000505,0.033126,0.081298,0.009525,0.080873,0.003832,0.000941,0.000000,0.000012,0.004766,0.000000,0.118122
28,1642.723774,0.100343,0.000670,0.016343,0.000000,0.032201,0.011661,0.000025,0.027601,0.043580,0.043608,0.055502,0.024700,0.008498,0.019455,0.105865,0.043229,0.053106,0.015742,0.060677,0.000000,0.045547,0.059660,0.000000,0.000505,0.033126,0.081298,0.009525,0.080873,0.003832,0.000941,0.000000,0.000012,0.004766,0.000000,0.118122
0,1642.723774,0.100343,0.000670,0.016343,0.000000,0.032201,0.011661,0.000025,0.027601,0.043580,0.043608,0.055502,0.024700,0.008498,0.019455,0.105865,0.043229,0.053106,0.015742,0.060677,0.000000,0.045547,0.059660,0.000000,0.000505,0.033126,0.081298,0.009525,0.080873,0.003832,0.000941,0.000000,0.000012,0.004766,0.000000,0.118122
29,1642.723774,0.100343,0.000670,0.016343,0.000000,0.032201,0.011661,0.000025,0.027601,0.043580,0.043608,0.055502,0.024700,0.008498,0.019455,0.105865,0.043229,0.053106,0.015742,0.060677,0.000000,0.045547,0.059660,0.000000,0.000505,0.033126,0.081298,0.009525,0.080873,0.003832,0.000941,0.000000,0.000012,0.004766,0.000000,0.118122
28,1642.723774,0.100343,0.000670,0.016343,0.000000,0.032201,0.011661,0.000025,0.027601,0.043580,0.043608,0.055502,0.024700,0.008498,0.019455,0.105865,0.043229,0.053106,0.015742,0.060677,0.000000,0.045547,0.059660,0.000000,0.000505,0.033126,0.081298,0.009525,0.080873,0.003832,0.000941,0.000000,0.000012,0.004766,0.000000,0.118122
