id,DsRisk,Mean,DownSideRisk,ARZZ3,AUTM3,BBFI11B,BPNM4,BRCR11B,BRFS3,CESP6,CMIG3,CMIG4,COCE3,COCE5,CSMG3,ECOR3,EZTC3,FEXC11B,FFTL4,HGRE11,HGTX3,HTMX11B,IDVL4,JHSF3,KLBN4,KNRI11,LIGT3,MPXE3,PRSV11,RDCD3,RNEW11,SAPR4,SSBR3,STBP11,UOLL4,USIM3
27,0.033993,0.115219,0.033993,0.000000,0.086040,0.000000,0.000000,0.075569,0.141804,0.037361,0.000000,0.000000,0.031413,0.079201,0.073453,0.069977,0.000000,0.000000,0.000000,0.000000,0.044513,0.038074,0.045159,0.000000,0.000000,0.061133,0.053625,0.055251,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.107428
2,0.038590,0.116857,0.038590,0.000000,0.108916,0.000000,0.000000,0.000000,0.051088,0.000000,0.000000,0.068008,0.048093,0.109385,0.000000,0.000000,0.000000,0.084039,0.000000,0.094313,0.054388,0.000000,0.054388,0.000000,0.000000,0.103604,0.000000,0.000000,0.000000,0.046665,0.000000,0.000000,0.000000,0.019775,0.059583,0.097753
13,0.039295,0.112480,0.039295,0.038463,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.070157,0.000000,0.000000,0.000000,0.166829,0.000000,0.107472,0.000000,0.000000,0.063035,0.094582,0.056796,0.089815,0.000000,0.058680,0.000000,0.045290,0.101939,0.000000,0.000000,0.000000,0.000000,0.000000,0.106942
4,0.033993,0.115219,0.033993,0.000000,0.086040,0.000000,0.000000,0.075569,0.141804,0.037361,0.000000,0.000000,0.031413,0.079201,0.073453,0.069977,0.000000,0.000000,0.000000,0.000000,0.044513,0.038074,0.045159,0.000000,0.000000,0.061133,0.053625,0.055251,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.107428
27,0.033993,0.115219,0.033993,0.000000,0.086040,0.000000,0.000000,0.075569,0.141804,0.037361,0.000000,0.000000,0.031413,0.079201,0.073453,0.069977,0.000000,0.000000,0.000000,0.000000,0.044513,0.038074,0.045159,0.000000,0.000000,0.061133,0.053625,0.055251,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.107428
2,0.038594,0.116869,0.038594,0.000000,0.108916,0.000000,0.000000,0.000000,0.051088,0.000000,0.000000,0.068008,0.048093,0.109385,0.000000,0.000000,0.000000,0.084039,0.000000,0.094173,0.054388,0.000000,0.054388,0.000000,0.000000,0.103604,0.000000,0.000000,0.000000,0.046665,0.000000,0.000000,0.000140,0.019775,0.059583,0.097753
27,0.033993,0.115219,0.033993,0.000000,0.086040,0.000000,0.000000,0.075569,0.141804,0.037361,0.000000,0.000000,0.031413,0.079201,0.073453,0.069977,0.000000,0.000000,0.000000,0.000000,0.044513,0.038074,0.045159,0.000000,0.000000,0.061133,0.053625,0.055251,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.107428
11,0.033993,0.115219,0.033993,0.000000,0.086040,0.000000,0.000000,0.075569,0.141804,0.037361,0.000000,0.000000,0.031413,0.079201,0.073453,0.069977,0.000000,0.000000,0.000000,0.000000,0.044513,0.038074,0.045159,0.000000,0.000000,0.061133,0.053625,0.055251,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.107428
4,0.034582,0.119087,0.034582,0.000000,0.086040,0.000000,0.000000,0.075569,0.141804,0.032549,0.000000,0.000000,0.031413,0.079201,0.073453,0.069977,0.000000,0.000089,0.000000,0.000000,0.044513,0.038074,0.045159,0.000000,0.000000,0.061133,0.053536,0.055251,0.000000,0.000000,0.000000,0.004812,0.000000,0.000000,0.000000,0.107428
11,0.033990,0.115211,0.033990,0.000000,0.086040,0.000000,0.000000,0.075569,0.141804,0.037361,0.000000,0.000000,0.031413,0.079201,0.073453,0.069977,0.000000,0.000000,0.000000,0.000000,0.044513,0.038074,0.045159,0.000000,0.000000,0.061044,0.053625,0.055251,0.000089,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.107428
