id,SemiVar,Mean,SemiVar,ARZZ3,AUTM3,BBFI11B,BPNM4,BRCR11B,BRFS3,CESP6,CMIG3,CMIG4,COCE3,COCE5,CSMG3,ECOR3,EZTC3,FEXC11B,FFTL4,HGRE11,HGTX3,HTMX11B,IDVL4,JHSF3,KLBN4,KNRI11,LIGT3,MPXE3,PRSV11,RDCD3,RNEW11,SAPR4,SSBR3,STBP11,UOLL4,USIM3
id,SemiVar,Mean,SemiVar,ARZZ3,AUTM3,BBFI11B,BPNM4,BRCR11B,BRFS3,CESP6,CMIG3,CMIG4,COCE3,COCE5,CSMG3,ECOR3,EZTC3,FEXC11B,FFTL4,HGRE11,HGTX3,HTMX11B,IDVL4,JHSF3,KLBN4,KNRI11,LIGT3,MPXE3,PRSV11,RDCD3,RNEW11,SAPR4,SSBR3,STBP11,UOLL4,USIM3
27,0.001498,0.098940,0.001498,0.133856,0.071726,0.000000,0.000000,0.000000,0.059135,0.000000,0.000000,0.087660,0.000000,0.077447,0.099316,0.000000,0.000000,0.072315,0.000000,0.129658,0.000000,0.071459,0.000000,0.000000,0.054136,0.000000,0.000000,0.000000,0.000000,0.077394,0.000000,0.000000,0.021521,0.000000,0.044378,0.000000
16,0.001631,0.127301,0.001631,0.092971,0.000000,0.056810,0.000000,0.000000,0.000000,0.102789,0.081343,0.075554,0.000000,0.000000,0.049211,0.000000,0.000000,0.017730,0.000000,0.101221,0.000000,0.057727,0.088049,0.000000,0.000000,0.071959,0.061152,0.084865,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.058619
20,0.001686,0.123765,0.001686,0.000000,0.046939,0.000000,0.044999,0.000000,0.073051,0.000000,0.030040,0.078434,0.000000,0.044611,0.000000,0.000000,0.063305,0.110607,0.000000,0.075597,0.000000,0.091817,0.046260,0.048927,0.049897,0.000000,0.079476,0.044030,0.072009,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5,0.001498,0.098940,0.001498,0.133856,0.071726,0.000000,0.000000,0.000000,0.059135,0.000000,0.000000,0.087660,0.000000,0.077447,0.099316,0.000000,0.000000,0.072315,0.000000,0.129658,0.000000,0.071459,0.000000,0.000000,0.054136,0.000000,0.000000,0.000000,0.000000,0.077394,0.000000,0.000000,0.021521,0.000000,0.044378,0.000000
27,0.001504,0.099665,0.001504,0.133856,0.071726,0.000000,0.000000,0.000000,0.059135,0.000000,0.000000,0.073972,0.000000,0.077447,0.099316,0.000000,0.000000,0.072315,0.000000,0.129658,0.000000,0.071459,0.000000,0.000000,0.054136,0.000000,0.000000,0.000000,0.000000,0.077394,0.000000,0.000000,0.021521,0.013688,0.044378,0.000000
21,0.001507,0.099274,0.001507,0.133856,0.071726,0.000000,0.001310,0.000000,0.059135,0.000000,0.000000,0.087660,0.000000,0.074774,0.099316,0.000000,0.000000,0.071005,0.000000,0.129658,0.000000,0.071459,0.000000,0.000000,0.054136,0.000000,0.000000,0.000000,0.000000,0.077394,0.000000,0.000000,0.021521,0.002673,0.044378,0.000000
25,0.001495,0.098804,0.001495,0.133856,0.071726,0.000000,0.000000,0.000000,0.060071,0.000000,0.000000,0.087660,0.000000,0.077447,0.099316,0.000000,0.000000,0.072315,0.000000,0.129658,0.000000,0.071459,0.000000,0.000000,0.054136,0.000000,0.000000,0.000000,0.000000,0.077394,0.000000,0.000000,0.021521,0.000000,0.043442,0.000000
12,0.001507,0.099274,0.001507,0.133856,0.071726,0.000000,0.001310,0.000000,0.059135,0.000000,0.000000,0.087660,0.000000,0.074774,0.099316,0.000000,0.000000,0.071005,0.000000,0.129658,0.000000,0.071459,0.000000,0.000000,0.054136,0.000000,0.000000,0.000000,0.000000,0.077394,0.000000,0.000000,0.021521,0.002673,0.044378,0.000000
21,0.001507,0.099278,0.001507,0.133856,0.071726,0.000000,0.001310,0.000000,0.059108,0.000000,0.000000,0.087660,0.000000,0.074774,0.099316,0.000000,0.000000,0.071005,0.000107,0.129551,0.000000,0.071459,0.000000,0.000000,0.054136,0.000000,0.000027,0.000000,0.000000,0.077394,0.000000,0.000000,0.021521,0.002673,0.044378,0.000000
13,0.001495,0.098804,0.001495,0.133856,0.071726,0.000000,0.000000,0.000000,0.060071,0.000000,0.000000,0.087660,0.000000,0.077447,0.099316,0.000000,0.000000,0.072315,0.000000,0.129658,0.000000,0.071459,0.000000,0.000000,0.054136,0.000000,0.000000,0.000000,0.000000,0.077394,0.000000,0.000000,0.021521,0.000000,0.043442,0.000000
25,0.001496,0.098830,0.001496,0.133856,0.071673,0.000000,0.000000,0.000000,0.060071,0.000000,0.000000,0.087660,0.000000,0.077447,0.099316,0.000000,0.000000,0.072315,0.000000,0.129658,0.000000,0.071459,0.000000,0.000027,0.054136,0.000000,0.000000,0.000000,0.000000,0.077394,0.000000,0.000027,0.021521,0.000000,0.043442,0.000000
12,0.001507,0.099274,0.001507,0.133856,0.071726,0.000000,0.001310,0.000000,0.059135,0.000000,0.000000,0.087660,0.000000,0.074774,0.099316,0.000000,0.000000,0.071005,0.000000,0.129658,0.000000,0.071459,0.000000,0.000000,0.054136,0.000000,0.000000,0.000000,0.000000,0.077394,0.000000,0.000000,0.021521,0.002673,0.044378,0.000000
27,0.001481,0.098253,0.001481,0.133856,0.071726,0.000000,0.000000,0.000241,0.059135,0.000000,0.000000,0.060311,0.000000,0.077447,0.099075,0.000000,0.000000,0.072315,0.000000,0.129658,0.000000,0.071459,0.000000,0.000000,0.067797,0.000000,0.000000,0.000000,0.009170,0.077394,0.000000,0.000000,0.021521,0.013688,0.035208,0.000000
0,0.001493,0.098752,0.001493,0.133856,0.071673,0.000000,0.000000,0.000000,0.060071,0.000000,0.000000,0.087660,0.000000,0.077447,0.099316,0.000000,0.000000,0.072315,0.000000,0.123884,0.000000,0.071459,0.005774,0.000027,0.054136,0.000000,0.000000,0.000000,0.000000,0.077394,0.000000,0.000027,0.021521,0.000000,0.043442,0.000000
15,0.001495,0.098804,0.001495,0.133856,0.071726,0.000000,0.000000,0.000000,0.060071,0.000000,0.000000,0.087660,0.000000,0.077447,0.099316,0.000000,0.000000,0.072315,0.000000,0.129658,0.000000,0.071459,0.000000,0.000000,0.054136,0.000000,0.000000,0.000000,0.000000,0.077394,0.000000,0.000000,0.021521,0.000000,0.043442,0.000000
26,0.001433,0.099080,0.001433,0.133856,0.071673,0.000000,0.000000,0.000000,0.060071,0.000000,0.000000,0.073972,0.000000,0.077447,0.099316,0.000000,0.000000,0.072315,0.000000,0.129658,0.000000,0.071459,0.000000,0.000027,0.054136,0.000000,0.000000,0.000000,0.000000,0.077394,0.000000,0.000027,0.021521,0.000000,0.043442,0.013688
27,0.001481,0.098253,0.001481,0.133856,0.071726,0.000000,0.000000,0.000241,0.059135,0.000000,0.000000,0.060311,0.000000,0.077447,0.099075,0.000000,0.000000,0.072315,0.000000,0.129658,0.000000,0.071459,0.000000,0.000000,0.067797,0.000000,0.000000,0.000000,0.009170,0.077394,0.000000,0.000000,0.021521,0.013688,0.035208,0.000000
0,0.001493,0.098752,0.001493,0.133856,0.071673,0.000000,0.000000,0.000000,0.060071,0.000000,0.000000,0.087660,0.000000,0.077447,0.099316,0.000000,0.000000,0.072315,0.000000,0.123884,0.000000,0.071459,0.005774,0.000027,0.054136,0.000000,0.000000,0.000000,0.000000,0.077394,0.000000,0.000027,0.021521,0.000000,0.043442,0.000000
5,0.001433,0.099080,0.001433,0.133856,0.071673,0.000000,0.000000,0.000000,0.060071,0.000000,0.000000,0.073972,0.000000,0.077447,0.099316,0.000000,0.000000,0.072315,0.000000,0.129658,0.000000,0.071459,0.000000,0.000027,0.054136,0.000000,0.000000,0.000000,0.000000,0.077394,0.000000,0.000027,0.021521,0.000000,0.043442,0.013688
23,0.001433,0.099080,0.001433,0.133856,0.071673,0.000000,0.000000,0.000000,0.060071,0.000000,0.000000,0.073972,0.000000,0.077447,0.099316,0.000000,0.000000,0.072315,0.000000,0.129658,0.000000,0.071459,0.000000,0.000027,0.054136,0.000000,0.000000,0.000000,0.000000,0.077394,0.000000,0.000027,0.021521,0.000000,0.043442,0.013688
1,0.001433,0.099080,0.001433,0.133856,0.071673,0.000000,0.000000,0.000000,0.060071,0.000000,0.000000,0.073972,0.000000,0.077447,0.099316,0.000000,0.000000,0.072315,0.000000,0.129658,0.000000,0.071459,0.000000,0.000027,0.054136,0.000000,0.000000,0.000000,0.000000,0.077394,0.000000,0.000027,0.021521,0.000000,0.043442,0.013688
5,0.001433,0.099080,0.001433,0.133856,0.071673,0.000000,0.000000,0.000000,0.060071,0.000000,0.000000,0.073972,0.000000,0.077447,0.099316,0.000000,0.000000,0.072315,0.000000,0.129658,0.000000,0.071459,0.000000,0.000027,0.054136,0.000000,0.000000,0.000000,0.000000,0.077394,0.000000,0.000027,0.021521,0.000000,0.043442,0.013688
1,0.001433,0.099080,0.001433,0.133856,0.071673,0.000000,0.000000,0.000000,0.060071,0.000000,0.000000,0.073972,0.000000,0.077447,0.099316,0.000000,0.000000,0.072315,0.000000,0.129658,0.000000,0.071459,0.000000,0.000027,0.054136,0.000000,0.000000,0.000000,0.000000,0.077394,0.000000,0.000027,0.021521,0.000000,0.043442,0.013688
18,0.001433,0.099080,0.001433,0.133856,0.071673,0.000000,0.000000,0.000000,0.060071,0.000000,0.000000,0.073972,0.000000,0.077447,0.099316,0.000000,0.000000,0.072315,0.000000,0.129658,0.000000,0.071459,0.000000,0.000027,0.054136,0.000000,0.000000,0.000000,0.000000,0.077394,0.000000,0.000027,0.021521,0.000000,0.043442,0.013688
2,0.001417,0.098694,0.001417,0.133856,0.071673,0.000000,0.000000,0.000000,0.050928,0.000000,0.000000,0.073972,0.000000,0.077447,0.099316,0.000000,0.000000,0.081458,0.000000,0.129658,0.000000,0.071459,0.000000,0.000027,0.054136,0.000000,0.000000,0.000000,0.000000,0.077394,0.000134,0.000027,0.021521,0.000000,0.043309,0.013688
23,0.001421,0.098799,0.001421,0.133856,0.071673,0.000000,0.000000,0.000000,0.060071,0.000000,0.000000,0.073945,0.000000,0.077447,0.099316,0.000000,0.000000,0.072315,0.000000,0.129658,0.000000,0.071459,0.000000,0.000027,0.054136,0.000000,0.000000,0.000000,0.000000,0.077394,0.000027,0.000027,0.021521,0.000000,0.041731,0.015399
4,0.001432,0.099046,0.001432,0.134551,0.071673,0.000000,0.000000,0.000000,0.060071,0.000000,0.000000,0.073945,0.000000,0.077447,0.099316,0.000000,0.000000,0.072315,0.000000,0.129658,0.000000,0.071459,0.000000,0.000027,0.054136,0.000000,0.000000,0.000000,0.000000,0.076699,0.000027,0.000027,0.021521,0.000000,0.043442,0.013688
13,0.001408,0.099665,0.001408,0.133856,0.071673,0.000000,0.000000,0.000000,0.060071,0.000000,0.000000,0.073945,0.000000,0.076779,0.099316,0.000000,0.000000,0.071887,0.000000,0.129658,0.000000,0.071459,0.000000,0.000027,0.054136,0.000668,0.000000,0.000000,0.000000,0.058627,0.000000,0.000027,0.040288,0.000027,0.043442,0.014115
2,0.001417,0.098725,0.001417,0.133856,0.071673,0.000000,0.000000,0.000000,0.050928,0.000000,0.000000,0.073972,0.000107,0.077447,0.099316,0.000000,0.000000,0.081458,0.000000,0.129551,0.000080,0.071379,0.000000,0.000027,0.054136,0.000722,0.000000,0.000000,0.000000,0.076672,0.000134,0.000027,0.021521,0.000000,0.043309,0.013688
16,0.001419,0.098780,0.001419,0.133856,0.077394,0.000000,0.000000,0.000000,0.060071,0.000000,0.000000,0.073972,0.000000,0.077447,0.099289,0.000000,0.000000,0.072315,0.000000,0.129658,0.000000,0.071459,0.000000,0.000027,0.054136,0.000000,0.000000,0.000000,0.000000,0.071673,0.000000,0.000053,0.021521,0.000000,0.043442,0.013688
13,0.001408,0.099665,0.001408,0.133856,0.071673,0.000000,0.000000,0.000000,0.060071,0.000000,0.000000,0.073945,0.000000,0.076779,0.099316,0.000000,0.000000,0.071887,0.000000,0.129658,0.000000,0.071459,0.000000,0.000027,0.054136,0.000668,0.000000,0.000000,0.000000,0.058627,0.000000,0.000027,0.040288,0.000027,0.043442,0.014115
2,0.001416,0.098702,0.001416,0.133856,0.071673,0.000000,0.000000,0.000000,0.050928,0.000000,0.000000,0.073972,0.000107,0.077447,0.100037,0.000187,0.000000,0.081458,0.000000,0.128830,0.000080,0.071379,0.000000,0.000027,0.053949,0.000722,0.000000,0.000000,0.000000,0.076672,0.000134,0.000027,0.021521,0.000000,0.043309,0.013688
16,0.001418,0.098778,0.001418,0.133856,0.077394,0.000000,0.000000,0.000000,0.060071,0.000000,0.000000,0.073972,0.000000,0.077447,0.099289,0.000027,0.000000,0.072315,0.000000,0.129658,0.000000,0.071459,0.000000,0.000027,0.054136,0.000000,0.000000,0.000000,0.000000,0.071646,0.000000,0.000053,0.021521,0.000000,0.043442,0.013688
8,0.001400,0.099938,0.001400,0.124766,0.071486,0.000000,0.000187,0.000000,0.069160,0.000000,0.000000,0.073945,0.000027,0.076779,0.099316,0.000000,0.000000,0.071887,0.000000,0.129658,0.000000,0.071459,0.000000,0.000027,0.054109,0.000668,0.000000,0.000000,0.000000,0.058627,0.000000,0.000027,0.040288,0.000027,0.043442,0.014115
13,0.001408,0.099665,0.001408,0.133856,0.071673,0.000000,0.000000,0.000000,0.060071,0.000000,0.000000,0.073945,0.000000,0.076779,0.099316,0.000000,0.000000,0.071887,0.000000,0.129658,0.000000,0.071459,0.000000,0.000027,0.054136,0.000668,0.000000,0.000000,0.000000,0.058627,0.000000,0.000027,0.040288,0.000027,0.043442,0.014115
3,0.001410,0.098913,0.001410,0.133856,0.071673,0.000000,0.000000,0.000000,0.060071,0.000000,0.000000,0.073919,0.000027,0.077447,0.090146,0.009170,0.000000,0.072315,0.000000,0.129658,0.000000,0.071459,0.000000,0.000027,0.054136,0.000000,0.000000,0.000000,0.000000,0.077394,0.000027,0.000027,0.021521,0.000000,0.041731,0.015399
6,0.001399,0.098476,0.001399,0.133856,0.071673,0.000000,0.000000,0.000000,0.060071,0.000000,0.000000,0.073945,0.000000,0.077421,0.099316,0.000000,0.000000,0.072315,0.000000,0.135326,0.000000,0.071459,0.000000,0.000027,0.054136,0.000000,0.000000,0.000000,0.000027,0.071726,0.000027,0.000027,0.021521,0.000000,0.041731,0.015399
8,0.001400,0.099938,0.001400,0.124766,0.071486,0.000000,0.000187,0.000000,0.069160,0.000000,0.000000,0.073945,0.000027,0.076779,0.099316,0.000000,0.000000,0.071887,0.000000,0.129658,0.000000,0.071459,0.000000,0.000027,0.054109,0.000668,0.000000,0.000000,0.000000,0.058627,0.000000,0.000027,0.040288,0.000027,0.043442,0.014115
13,0.001408,0.099665,0.001408,0.133856,0.071673,0.000000,0.000000,0.000000,0.060071,0.000000,0.000000,0.073945,0.000000,0.076779,0.099316,0.000000,0.000000,0.071887,0.000000,0.129658,0.000027,0.071459,0.000000,0.000027,0.054136,0.000668,0.000000,0.000000,0.000000,0.058627,0.000000,0.000027,0.040261,0.000027,0.043442,0.014115
23,0.001399,0.098472,0.001399,0.133882,0.071700,0.000000,0.000000,0.000000,0.060071,0.000000,0.000000,0.073919,0.000000,0.077421,0.099316,0.000000,0.000000,0.072315,0.000000,0.135326,0.000000,0.071459,0.000000,0.000027,0.054136,0.000000,0.000000,0.000000,0.000027,0.071726,0.000027,0.000027,0.021521,0.000000,0.041705,0.015399
