id,Skewness,Mean,DownSideRisk,ARZZ3,AUTM3,BBFI11B,BPNM4,BRCR11B,BRFS3,CESP6,CMIG3,CMIG4,COCE3,COCE5,CSMG3,ECOR3,EZTC3,FEXC11B,FFTL4,HGRE11,HGTX3,HTMX11B,IDVL4,JHSF3,KLBN4,KNRI11,LIGT3,MPXE3,PRSV11,RDCD3,RNEW11,SAPR4,SSBR3,STBP11,UOLL4,USIM3
1,-0.000016,0.128963,0.050936,0.000000,0.000000,0.070662,0.000000,0.000000,0.115092,0.000000,0.000000,0.000000,0.000000,0.000000,0.043839,0.000000,0.046933,0.000000,0.065770,0.054304,0.071299,0.000000,0.049299,0.059582,0.098803,0.074802,0.070411,0.000000,0.000000,0.046842,0.000000,0.000000,0.042588,0.035513,0.000000,0.054259
6,-0.000021,0.120428,0.044711,0.000000,0.000000,0.000000,0.047580,0.000000,0.000000,0.053438,0.000000,0.057790,0.032517,0.000000,0.033641,0.067712,0.119070,0.000000,0.048489,0.056331,0.013629,0.000000,0.138031,0.054801,0.111921,0.000000,0.000000,0.000000,0.063863,0.043540,0.000000,0.000000,0.000000,0.000000,0.057646,0.000000
26,-0.000028,0.102135,0.035893,0.000000,0.000000,0.000000,0.000000,0.109424,0.000000,0.000000,0.074861,0.050273,0.102192,0.109873,0.000000,0.049849,0.090521,0.031146,0.050497,0.000000,0.000000,0.076457,0.000000,0.000000,0.060472,0.018827,0.089823,0.000000,0.067280,0.000000,0.000000,0.000000,0.018503,0.000000,0.000000,0.000000
1,-0.000016,0.128963,0.050936,0.000000,0.000000,0.070662,0.000000,0.000000,0.115092,0.000000,0.000000,0.000000,0.000000,0.000000,0.043839,0.000000,0.046933,0.000000,0.065770,0.054304,0.071299,0.000000,0.049299,0.059582,0.098803,0.074802,0.070411,0.000000,0.000000,0.046842,0.000000,0.000000,0.042588,0.035513,0.000000,0.054259
26,-0.000028,0.102135,0.035893,0.000000,0.000000,0.000000,0.000000,0.109424,0.000000,0.000000,0.074861,0.050273,0.102192,0.109873,0.000000,0.049849,0.090521,0.031146,0.050497,0.000000,0.000000,0.076457,0.000000,0.000000,0.060472,0.018827,0.089823,0.000000,0.067280,0.000000,0.000000,0.000000,0.018503,0.000000,0.000000,0.000000
21,-0.000038,0.106671,0.036123,0.000000,0.004265,0.005889,0.000000,0.101759,0.004348,0.000000,0.074198,0.046751,0.095034,0.102176,0.000000,0.046357,0.084181,0.033964,0.050089,0.000000,0.000000,0.071101,0.005383,0.000000,0.060366,0.019853,0.086628,0.000000,0.070473,0.000000,0.000000,0.004901,0.021270,0.005385,0.000000,0.005629
1,-0.000016,0.128963,0.050936,0.000000,0.000000,0.070662,0.000000,0.000000,0.115092,0.000000,0.000000,0.000000,0.000000,0.000000,0.043839,0.000000,0.046933,0.000000,0.065770,0.054304,0.071299,0.000000,0.049299,0.059582,0.098803,0.074802,0.070411,0.000000,0.000000,0.046842,0.000000,0.000000,0.042588,0.035513,0.000000,0.054259
17,-0.000024,0.128710,0.051328,0.000000,0.000000,0.080376,0.000000,0.000000,0.114626,0.017149,0.000000,0.011641,0.017825,0.019719,0.035651,0.015775,0.038168,0.010203,0.053486,0.044162,0.081991,0.000000,0.040092,0.048454,0.080350,0.060831,0.057261,0.000000,0.000000,0.057985,0.000000,0.000000,0.034634,0.035497,0.000000,0.044125
26,-0.000028,0.102135,0.035893,0.000000,0.000000,0.000000,0.000000,0.109424,0.000000,0.000000,0.074861,0.050273,0.102192,0.109873,0.000000,0.049849,0.090521,0.031146,0.050497,0.000000,0.000000,0.076457,0.000000,0.000000,0.060472,0.018827,0.089823,0.000000,0.067280,0.000000,0.000000,0.000000,0.018503,0.000000,0.000000,0.000000
17,-0.000024,0.128710,0.051328,0.000000,0.000000,0.080376,0.000000,0.000000,0.114626,0.017149,0.000000,0.011641,0.017825,0.019719,0.035651,0.015775,0.038168,0.010203,0.053486,0.044162,0.081991,0.000000,0.040092,0.048454,0.080350,0.060831,0.057261,0.000000,0.000000,0.057985,0.000000,0.000000,0.034634,0.035497,0.000000,0.044125
