id,SortinoRatio,Mean,DownSideRisk,ARZZ3,AUTM3,BBFI11B,BPNM4,BRCR11B,BRFS3,CESP6,CMIG3,CMIG4,COCE3,COCE5,CSMG3,ECOR3,EZTC3,FEXC11B,FFTL4,HGRE11,HGTX3,HTMX11B,IDVL4,JHSF3,KLBN4,KNRI11,LIGT3,MPXE3,PRSV11,RDCD3,RNEW11,SAPR4,SSBR3,STBP11,UOLL4,USIM3
18,3.512213,0.178053,0.050695,0.000000,0.076116,0.078140,0.000000,0.000000,0.138830,0.000000,0.000000,0.000000,0.000000,0.100813,0.022752,0.049074,0.000000,0.000000,0.026136,0.054722,0.000000,0.000000,0.000000,0.000000,0.095884,0.056241,0.027521,0.000000,0.023711,0.000000,0.058292,0.068416,0.054749,0.000000,0.000000,0.068603
3,3.462776,0.184548,0.053295,0.053665,0.068395,0.000000,0.044515,0.000000,0.086919,0.000000,0.000000,0.085256,0.000000,0.092438,0.000000,0.040092,0.000000,0.070891,0.000000,0.048978,0.000000,0.000000,0.000000,0.000000,0.060807,0.034127,0.041309,0.000000,0.000000,0.064033,0.000000,0.077323,0.000000,0.022704,0.108548,0.000000
28,3.388725,0.199707,0.058933,0.000000,0.060389,0.051706,0.053543,0.000000,0.000000,0.000000,0.095407,0.027822,0.000000,0.000000,0.058246,0.038911,0.000000,0.000000,0.000000,0.025175,0.068460,0.079243,0.054659,0.000000,0.000000,0.000000,0.085849,0.000000,0.000000,0.081540,0.061527,0.080687,0.000000,0.043154,0.000000,0.033683
18,3.512213,0.178053,0.050695,0.000000,0.076116,0.078140,0.000000,0.000000,0.138830,0.000000,0.000000,0.000000,0.000000,0.100813,0.022752,0.049074,0.000000,0.000000,0.026136,0.054722,0.000000,0.000000,0.000000,0.000000,0.095884,0.056241,0.027521,0.000000,0.023711,0.000000,0.058292,0.068416,0.054749,0.000000,0.000000,0.068603
3,3.465164,0.184526,0.053252,0.052022,0.068395,0.000000,0.044515,0.000000,0.086919,0.000000,0.000000,0.085256,0.000000,0.092438,0.000000,0.040092,0.000000,0.070891,0.000000,0.048978,0.000000,0.000000,0.001643,0.000000,0.060807,0.034127,0.041309,0.000000,0.000000,0.064033,0.000000,0.077323,0.000000,0.022704,0.108548,0.000000
9,3.421924,0.180389,0.052716,0.044379,0.056561,0.012133,0.036812,0.020616,0.094744,0.011292,0.000000,0.087666,0.000000,0.076443,0.004228,0.033155,0.011146,0.076185,0.000000,0.040504,0.010900,0.000000,0.000000,0.000000,0.050286,0.028222,0.044708,0.000000,0.000000,0.065030,0.000000,0.074322,0.000000,0.018775,0.101893,0.000000
18,3.512213,0.178053,0.050695,0.000000,0.076116,0.078140,0.000000,0.000000,0.138830,0.000000,0.000000,0.000000,0.000000,0.100813,0.022752,0.049074,0.000000,0.000000,0.026136,0.054722,0.000000,0.000000,0.000000,0.000000,0.095884,0.056241,0.027521,0.000000,0.023711,0.000000,0.058292,0.068416,0.054749,0.000000,0.000000,0.068603
5,3.484901,0.179116,0.051398,0.025614,0.047657,0.065157,0.034796,0.020916,0.081132,0.009333,0.025679,0.020677,0.000000,0.079122,0.016358,0.030725,0.000000,0.010412,0.015274,0.066123,0.022247,0.016415,0.002874,0.000000,0.056037,0.032867,0.041482,0.021545,0.013857,0.004285,0.037301,0.057490,0.061609,0.020627,0.000000,0.062390
25,3.471037,0.187627,0.054055,0.041256,0.064487,0.012743,0.047862,0.001821,0.065206,0.000812,0.022618,0.071701,0.000000,0.071105,0.012710,0.038567,0.000000,0.054088,0.000000,0.045093,0.016562,0.018358,0.013160,0.000000,0.045617,0.025601,0.051541,0.001875,0.000000,0.065830,0.013426,0.076768,0.002578,0.028047,0.081431,0.009137
22,3.514331,0.178760,0.050866,0.003046,0.075257,0.073312,0.003534,0.000134,0.133395,0.000060,0.001670,0.005294,0.000000,0.098619,0.022011,0.048298,0.000000,0.003993,0.024206,0.054011,0.001223,0.001355,0.000972,0.000000,0.092173,0.053979,0.029294,0.000138,0.021961,0.004860,0.054980,0.069033,0.050897,0.002071,0.006012,0.064212
