id,HV,Mean,DownSideRisk,ARZZ3,AUTM3,BBFI11B,BPNM4,BRCR11B,BRFS3,CESP6,CMIG3,CMIG4,COCE3,COCE5,CSMG3,ECOR3,EZTC3,FEXC11B,FFTL4,HGRE11,HGTX3,HTMX11B,IDVL4,JHSF3,KLBN4,KNRI11,LIGT3,MPXE3,PRSV11,RDCD3,RNEW11,SAPR4,SSBR3,STBP11,UOLL4,USIM3
6,449.440532,0.132579,0.042165,0.020185,0.012915,0.023484,0.007787,0.024377,0.051555,0.021131,0.052350,0.000031,0.046389,0.019182,0.051834,0.021622,0.054148,0.036417,0.043366,0.034330,0.000062,0.014972,0.059757,0.000000,0.040842,0.057971,0.044975,0.016913,0.029484,0.047116,0.030100,0.012470,0.030869,0.030005,0.019029,0.044332
12,442.143208,0.123810,0.040537,0.026042,0.015066,0.030432,0.005088,0.031589,0.059495,0.024631,0.044518,0.000000,0.045926,0.012349,0.059981,0.013966,0.057417,0.045043,0.040690,0.032203,0.000000,0.019347,0.062695,0.000000,0.034069,0.052718,0.054802,0.010925,0.038056,0.040297,0.028326,0.008020,0.031458,0.026517,0.012358,0.035976
2,481.072781,0.131175,0.042287,0.027388,0.013336,0.025219,0.008660,0.025605,0.052326,0.027901,0.049510,0.003193,0.037544,0.017509,0.037684,0.018297,0.055153,0.033737,0.053385,0.048358,0.009198,0.023725,0.055599,0.000000,0.037113,0.043711,0.048389,0.007487,0.039943,0.047878,0.031756,0.014350,0.027468,0.021974,0.015747,0.040858
26,454.265362,0.126752,0.041168,0.020714,0.017174,0.024207,0.005353,0.025127,0.060243,0.028077,0.050190,0.000000,0.040740,0.014022,0.059080,0.015858,0.056015,0.042685,0.046029,0.029766,0.000000,0.015389,0.058954,0.000000,0.033044,0.059423,0.054694,0.012405,0.030271,0.045265,0.031868,0.008990,0.030093,0.030180,0.013542,0.040604
11,454.265362,0.126752,0.041168,0.020714,0.017174,0.024207,0.005353,0.025127,0.060243,0.028077,0.050190,0.000000,0.040740,0.014022,0.059080,0.015858,0.056015,0.042685,0.046029,0.029766,0.000000,0.015389,0.058954,0.000000,0.033044,0.059423,0.054694,0.012405,0.030271,0.045265,0.031868,0.008990,0.030093,0.030180,0.013542,0.040604
2,481.072781,0.131175,0.042287,0.027388,0.013336,0.025219,0.008660,0.025605,0.052326,0.027901,0.049510,0.003193,0.037544,0.017509,0.037684,0.018297,0.055153,0.033737,0.053385,0.048358,0.009198,0.023725,0.055599,0.000000,0.037113,0.043711,0.048389,0.007487,0.039943,0.047878,0.031756,0.014350,0.027468,0.021974,0.015747,0.040858
21,481.072781,0.131175,0.042287,0.027388,0.013336,0.025219,0.008660,0.025605,0.052326,0.027901,0.049510,0.003193,0.037544,0.017509,0.037684,0.018297,0.055153,0.033737,0.053385,0.048358,0.009198,0.023725,0.055599,0.000000,0.037113,0.043711,0.048389,0.007487,0.039943,0.047878,0.031756,0.014350,0.027468,0.021974,0.015747,0.040858
29,481.072781,0.131175,0.042287,0.027388,0.013336,0.025219,0.008660,0.025605,0.052326,0.027901,0.049510,0.003193,0.037544,0.017509,0.037684,0.018297,0.055153,0.033737,0.053385,0.048358,0.009198,0.023725,0.055599,0.000000,0.037113,0.043711,0.048389,0.007487,0.039943,0.047878,0.031756,0.014350,0.027468,0.021974,0.015747,0.040858
21,481.072781,0.131175,0.042287,0.027388,0.013336,0.025219,0.008660,0.025605,0.052326,0.027901,0.049510,0.003193,0.037544,0.017509,0.037684,0.018297,0.055153,0.033737,0.053385,0.048358,0.009198,0.023725,0.055599,0.000000,0.037113,0.043711,0.048389,0.007487,0.039943,0.047878,0.031756,0.014350,0.027468,0.021974,0.015747,0.040858
18,481.072781,0.131175,0.042287,0.027388,0.013336,0.025219,0.008660,0.025605,0.052326,0.027901,0.049510,0.003193,0.037544,0.017509,0.037684,0.018297,0.055153,0.033737,0.053385,0.048358,0.009198,0.023725,0.055599,0.000000,0.037113,0.043711,0.048389,0.007487,0.039943,0.047878,0.031756,0.014350,0.027468,0.021974,0.015747,0.040858
19,481.072781,0.131175,0.042287,0.027388,0.013336,0.025219,0.008660,0.025605,0.052326,0.027901,0.049510,0.003193,0.037544,0.017509,0.037684,0.018297,0.055153,0.033737,0.053385,0.048358,0.009198,0.023725,0.055599,0.000000,0.037113,0.043711,0.048389,0.007487,0.039943,0.047878,0.031756,0.014350,0.027468,0.021974,0.015747,0.040858
21,481.072781,0.131175,0.042287,0.027388,0.013336,0.025219,0.008660,0.025605,0.052326,0.027901,0.049510,0.003193,0.037544,0.017509,0.037684,0.018297,0.055153,0.033737,0.053385,0.048358,0.009198,0.023725,0.055599,0.000000,0.037113,0.043711,0.048389,0.007487,0.039943,0.047878,0.031756,0.014350,0.027468,0.021974,0.015747,0.040858
18,481.072781,0.131175,0.042287,0.027388,0.013336,0.025219,0.008660,0.025605,0.052326,0.027901,0.049510,0.003193,0.037544,0.017509,0.037684,0.018297,0.055153,0.033737,0.053385,0.048358,0.009198,0.023725,0.055599,0.000000,0.037113,0.043711,0.048389,0.007487,0.039943,0.047878,0.031756,0.014350,0.027468,0.021974,0.015747,0.040858
29,481.072781,0.131175,0.042287,0.027388,0.013336,0.025219,0.008660,0.025605,0.052326,0.027901,0.049510,0.003193,0.037544,0.017509,0.037684,0.018297,0.055153,0.033737,0.053385,0.048358,0.009198,0.023725,0.055599,0.000000,0.037113,0.043711,0.048389,0.007487,0.039943,0.047878,0.031756,0.014350,0.027468,0.021974,0.015747,0.040858
21,481.072781,0.131175,0.042287,0.027388,0.013336,0.025219,0.008660,0.025605,0.052326,0.027901,0.049510,0.003193,0.037544,0.017509,0.037684,0.018297,0.055153,0.033737,0.053385,0.048358,0.009198,0.023725,0.055599,0.000000,0.037113,0.043711,0.048389,0.007487,0.039943,0.047878,0.031756,0.014350,0.027468,0.021974,0.015747,0.040858
18,481.072781,0.131175,0.042287,0.027388,0.013336,0.025219,0.008660,0.025605,0.052326,0.027901,0.049510,0.003193,0.037544,0.017509,0.037684,0.018297,0.055153,0.033737,0.053385,0.048358,0.009198,0.023725,0.055599,0.000000,0.037113,0.043711,0.048389,0.007487,0.039943,0.047878,0.031756,0.014350,0.027468,0.021974,0.015747,0.040858
16,481.072781,0.131175,0.042287,0.027388,0.013336,0.025219,0.008660,0.025605,0.052326,0.027901,0.049510,0.003193,0.037544,0.017509,0.037684,0.018297,0.055153,0.033737,0.053385,0.048358,0.009198,0.023725,0.055599,0.000000,0.037113,0.043711,0.048389,0.007487,0.039943,0.047878,0.031756,0.014350,0.027468,0.021974,0.015747,0.040858
21,481.072781,0.131175,0.042287,0.027388,0.013336,0.025219,0.008660,0.025605,0.052326,0.027901,0.049510,0.003193,0.037544,0.017509,0.037684,0.018297,0.055153,0.033737,0.053385,0.048358,0.009198,0.023725,0.055599,0.000000,0.037113,0.043711,0.048389,0.007487,0.039943,0.047878,0.031756,0.014350,0.027468,0.021974,0.015747,0.040858
18,481.072781,0.131175,0.042287,0.027388,0.013336,0.025219,0.008660,0.025605,0.052326,0.027901,0.049510,0.003193,0.037544,0.017509,0.037684,0.018297,0.055153,0.033737,0.053385,0.048358,0.009198,0.023725,0.055599,0.000000,0.037113,0.043711,0.048389,0.007487,0.039943,0.047878,0.031756,0.014350,0.027468,0.021974,0.015747,0.040858
19,481.072781,0.131175,0.042287,0.027388,0.013336,0.025219,0.008660,0.025605,0.052326,0.027901,0.049510,0.003193,0.037544,0.017509,0.037684,0.018297,0.055153,0.033737,0.053385,0.048358,0.009198,0.023725,0.055599,0.000000,0.037113,0.043711,0.048389,0.007487,0.039943,0.047878,0.031756,0.014350,0.027468,0.021974,0.015747,0.040858
21,481.072781,0.131175,0.042287,0.027388,0.013336,0.025219,0.008660,0.025605,0.052326,0.027901,0.049510,0.003193,0.037544,0.017509,0.037684,0.018297,0.055153,0.033737,0.053385,0.048358,0.009198,0.023725,0.055599,0.000000,0.037113,0.043711,0.048389,0.007487,0.039943,0.047878,0.031756,0.014350,0.027468,0.021974,0.015747,0.040858
18,481.072781,0.131175,0.042287,0.027388,0.013336,0.025219,0.008660,0.025605,0.052326,0.027901,0.049510,0.003193,0.037544,0.017509,0.037684,0.018297,0.055153,0.033737,0.053385,0.048358,0.009198,0.023725,0.055599,0.000000,0.037113,0.043711,0.048389,0.007487,0.039943,0.047878,0.031756,0.014350,0.027468,0.021974,0.015747,0.040858
