id,SemiVar,Mean,SemiVar,ARZZ3,AUTM3,BBFI11B,BPNM4,BRCR11B,BRFS3,CESP6,CMIG3,CMIG4,COCE3,COCE5,CSMG3,ECOR3,EZTC3,FEXC11B,FFTL4,HGRE11,HGTX3,HTMX11B,IDVL4,JHSF3,KLBN4,KNRI11,LIGT3,MPXE3,PRSV11,RDCD3,RNEW11,SAPR4,SSBR3,STBP11,UOLL4,USIM3
id,SemiVar,Mean,SemiVar,ARZZ3,AUTM3,BBFI11B,BPNM4,BRCR11B,BRFS3,CESP6,CMIG3,CMIG4,COCE3,COCE5,CSMG3,ECOR3,EZTC3,FEXC11B,FFTL4,HGRE11,HGTX3,HTMX11B,IDVL4,JHSF3,KLBN4,KNRI11,LIGT3,MPXE3,PRSV11,RDCD3,RNEW11,SAPR4,SSBR3,STBP11,UOLL4,USIM3
29,0.001740,0.118637,0.001740,0.093061,0.007906,0.000021,0.024544,0.101515,0.000000,0.077918,0.062580,0.006398,0.050950,0.013185,0.000000,0.070590,0.089497,0.009102,0.010200,0.083068,0.031214,0.006940,0.050699,0.006274,0.046194,0.000000,0.014356,0.041448,0.024670,0.000000,0.000000,0.000000,0.070268,0.007222,0.000000,0.000176
19,0.001764,0.118714,0.001764,0.093061,0.007906,0.000021,0.024544,0.101515,0.000000,0.077914,0.062580,0.006398,0.050950,0.012987,0.000000,0.063246,0.089497,0.009102,0.010200,0.083068,0.031412,0.006944,0.050699,0.006274,0.053539,0.000000,0.014356,0.041448,0.024670,0.000000,0.000000,0.000000,0.070268,0.007222,0.000000,0.000176
28,0.001764,0.118714,0.001764,0.093061,0.007906,0.000021,0.024544,0.101515,0.000000,0.077914,0.062580,0.006398,0.050950,0.012987,0.000000,0.063246,0.089497,0.009102,0.010200,0.083068,0.031412,0.006944,0.050699,0.006274,0.053539,0.000000,0.014356,0.041448,0.024670,0.000000,0.000000,0.000000,0.070268,0.007222,0.000000,0.000176
4,0.001720,0.118589,0.001720,0.085758,0.010610,0.002699,0.028633,0.095379,0.002805,0.079385,0.061124,0.005896,0.048602,0.015191,0.004551,0.062582,0.082474,0.008388,0.012101,0.079284,0.029819,0.020656,0.051184,0.005769,0.053846,0.004190,0.018176,0.038195,0.023442,0.005640,0.000000,0.000000,0.050484,0.010104,0.002391,0.000642
29,0.001740,0.118637,0.001740,0.093061,0.007906,0.000021,0.024544,0.101515,0.000000,0.077918,0.062580,0.006398,0.050950,0.013185,0.000000,0.070590,0.089497,0.009102,0.010200,0.083068,0.031214,0.006940,0.050699,0.006274,0.046194,0.000000,0.014356,0.041448,0.024670,0.000000,0.000000,0.000000,0.070268,0.007222,0.000000,0.000176
1,0.001742,0.118651,0.001742,0.093061,0.007906,0.000021,0.024544,0.101515,0.000000,0.077918,0.062580,0.006372,0.050920,0.013164,0.000000,0.069805,0.089497,0.009102,0.010200,0.083068,0.031236,0.006940,0.050699,0.006274,0.046980,0.000000,0.014356,0.041448,0.024670,0.000026,0.000000,0.000000,0.070268,0.007222,0.000030,0.000176
4,0.001723,0.118042,0.001723,0.085758,0.020751,0.002699,0.028633,0.095379,0.002805,0.079385,0.061124,0.005896,0.050558,0.015191,0.004551,0.062582,0.082474,0.008388,0.012096,0.069143,0.029819,0.020656,0.051184,0.005769,0.053851,0.004190,0.018176,0.036240,0.023442,0.005640,0.000000,0.000000,0.050484,0.010104,0.002391,0.000642
29,0.001740,0.118666,0.001740,0.092843,0.007906,0.000239,0.024544,0.101515,0.000089,0.077918,0.062580,0.006398,0.050950,0.013185,0.000000,0.070590,0.089497,0.009102,0.010200,0.082979,0.031214,0.006940,0.050699,0.006274,0.046194,0.000000,0.014356,0.041448,0.024670,0.000000,0.000000,0.000000,0.070268,0.007222,0.000000,0.000176
1,0.001743,0.118680,0.001743,0.093061,0.007906,0.000021,0.024544,0.101515,0.000000,0.077918,0.062580,0.006346,0.050920,0.013164,0.000000,0.069805,0.089497,0.009102,0.010200,0.082932,0.031236,0.006940,0.050699,0.006274,0.046980,0.000000,0.014356,0.041448,0.024670,0.000162,0.000000,0.000026,0.070268,0.007222,0.000030,0.000176
28,0.001711,0.119037,0.001711,0.084848,0.013654,0.000650,0.032167,0.075852,0.000660,0.059615,0.047247,0.022234,0.050595,0.032815,0.001430,0.048702,0.079175,0.022444,0.025817,0.080713,0.023200,0.017072,0.038740,0.015425,0.040136,0.001027,0.036406,0.030965,0.032380,0.001529,0.000113,0.000046,0.051190,0.028102,0.002604,0.002447
5,0.001719,0.118760,0.001719,0.086445,0.014006,0.000689,0.032924,0.073838,0.000718,0.058182,0.045912,0.023816,0.050703,0.034461,0.001371,0.046772,0.062953,0.039017,0.027016,0.080597,0.033963,0.017987,0.037818,0.016251,0.039575,0.001069,0.038407,0.029918,0.033081,0.001531,0.000000,0.000001,0.050720,0.017238,0.000613,0.002410
