id,SortinoRatio,Mean,DownsideRisk,20120102,20120103,20120104,20120105,20120106,20120109,20120110,20120111,20120112,20120113,20120116,20120117,20120118,20120119,20120120,20120123,20120124,20120126,20120127,20120130,20120131,20120201,20120202,20120203,20120206,20120207,20120208,20120209,20120210,20120213,20120214,20120215,20120216,20120217,20120222,20120223,20120224,20120227,20120228,20120229,20120301,20120302,20120305,20120306,20120307,20120308,20120309,20120312,20120313,20120314,20120315,20120316,20120319,20120320,20120321,20120322,20120323,20120326,20120327,20120328,20120329,20120330,20120402,20120403,20120404,20120405,20120409,20120410,20120411,20120412,20120413,20120416,20120417,20120418,20120419,20120420,20120423,20120424,20120425,20120426,20120427,20120430,20120502,20120503,20120504,20120507,20120508,20120509,20120510,20120511,20120514,20120515,20120516,20120517,20120518,20120521,20120522,20120523,20120524,20120525,20120528,20120529,20120530,20120531,20120601,20120604,20120605,20120606,20120608,20120611,20120612,20120613,20120614,20120615,20120618,20120619,20120620,20120621,20120622,20120625,20120626,20120627,20120628,20120629,20120702,20120703,20120704,20120705,20120706,20120710,20120711,20120712,20120713,20120716,20120717,20120718,20120719,20120720,20120723,20120724,20120725,20120726,20120727,20120730,20120731,20120801,20120802,20120803,20120806,20120807,20120808,20120809,20120810,20120813,20120814,20120815,20120816,20120817,20120820,20120821,20120822,20120823,20120824,20120827,20120828,20120829,20120830,20120831,20120903,20120904,20120905,20120906,20120910,20120911,20120912,20120913,20120914,20120917,20120918,20120919,20120920,20120921,20120924,20120925,20120926,20120927,20120928,20121001,20121002,20121003,20121004,20121005,20121008,20121009,20121010,20121011,20121015,20121016,20121017,20121018,20121019,20121022,20121023,20121024,20121025,20121026,20121029,20121030,20121031,20121101,20121105,20121106,20121107,20121108,20121109,20121112,20121113,20121114,20121116,20121119,20121121,20121122,20121123,20121126,20121127,20121128,20121129,20121130,20121203,20121204,20121205,20121206,20121207,20121210,20121211,20121212,20121213,20121214,20121217,20121218,20121219,20121220,20121221,20121226,20121227,20121228
13,5.586009,0.194260,0.034776,0.000000,0.002922,0.002110,0.004105,0.004455,0.019846,0.052329,0.051752,0.053549,0.034543,0.021871,0.039705,0.036393,0.040811,0.038279,0.038300,0.034281,0.037649,0.044927,0.035221,0.043182,0.047496,0.030157,0.034363,0.036509,0.054915,0.060146,0.061019,0.059763,0.067623,0.068667,0.068812,0.074520,0.111512,0.115103,0.114673,0.112400,0.097775,0.094875,0.117181,0.099252,0.153444,0.155504,0.151306,0.151743,0.171694,0.186076,0.194435,0.197667,0.213071,0.213875,0.226379,0.187804,0.189107,0.206245,0.207216,0.220500,0.202124,0.216722,0.221938,0.232908,0.267105,0.253980,0.271643,0.243432,0.243817,0.242496,0.254761,0.253606,0.222397,0.209471,0.222238,0.213576,0.226369,0.237731,0.241068,0.236244,0.225694,0.228406,0.203378,0.239824,0.233879,0.212153,0.233307,0.231903,0.217633,0.236010,0.201310,0.204912,0.205209,0.187910,0.169814,0.187171,0.147298,0.144287,0.116032,0.132711,0.113319,0.110871,0.079222,0.097930,0.102144,0.097250,0.085421,0.073948,0.091945,0.079611,0.062556,0.082151,0.085187,0.097179,0.099689,0.080613,0.094750,0.074303,0.102623,0.101345,0.097260,0.097440,0.081576,0.079475,0.082701,0.069269,0.071369,0.075387,0.075025,0.087239,0.090997,0.089115,0.077628,0.054908,0.037701,0.052206,0.056421,0.057608,0.048008,0.058972,0.060166,0.042647,0.063158,0.064935,0.066608,0.072394,0.092172,0.111082,0.109233,0.099421,0.115406,0.135183,0.129826,0.116546,0.123095,0.126827,0.148616,0.179968,0.165848,0.182308,0.163883,0.162095,0.163384,0.159401,0.193952,0.203907,0.159516,0.163093,0.162657,0.156447,0.149339,0.152575,0.152339,0.165049,0.168359,0.229894,0.181639,0.178246,0.158660,0.178702,0.177854,0.186731,0.200790,0.199696,0.198795,0.198554,0.186685,0.153113,0.166301,0.183776,0.170861,0.173955,0.171454,0.167445,0.200631,0.190044,0.186415,0.187604,0.188823,0.176828,0.193575,0.173206,0.173244,0.169694,0.168059,0.167356,0.162349,0.159536,0.163375,0.150680,0.151133,0.164727,0.151006,0.148684,0.162442,0.161245,0.167850,0.184454,0.183199,0.158373,0.157762,0.157679,0.156053,0.155535,0.160511,0.158800,0.177078,0.178235,0.179134,0.181788,0.194911,0.193344,0.189844,0.179596,0.175114,0.188499,0.200366,0.199681,0.202677,0.183764,0.180011,0.170222,0.178772,0.184125,0.192416,0.194184,0.185273,0.221386,0.240171
18,5.584932,0.194191,0.034771,0.000000,0.002910,0.002076,0.004096,0.004438,0.019874,0.052304,0.051741,0.053523,0.034555,0.021889,0.039735,0.036437,0.040849,0.038305,0.038324,0.034315,0.037680,0.044958,0.035264,0.043204,0.047526,0.030186,0.034412,0.036558,0.054936,0.060172,0.061049,0.059799,0.067675,0.068737,0.068873,0.074545,0.111541,0.115132,0.114710,0.112457,0.097859,0.094951,0.117229,0.099347,0.153516,0.155567,0.151388,0.151809,0.171710,0.186072,0.194462,0.197693,0.213101,0.213895,0.226394,0.187830,0.189121,0.206268,0.207192,0.220479,0.202143,0.216729,0.221911,0.232903,0.267045,0.253917,0.271574,0.243355,0.243751,0.242418,0.254671,0.253535,0.222347,0.209444,0.222231,0.213534,0.226338,0.237674,0.241037,0.236210,0.225661,0.228352,0.203397,0.239819,0.233869,0.212170,0.233286,0.231896,0.217646,0.236002,0.201349,0.204960,0.205222,0.187962,0.169868,0.187215,0.147370,0.144350,0.116083,0.132724,0.113396,0.110937,0.079345,0.098003,0.102203,0.097346,0.085515,0.074065,0.092024,0.079651,0.062663,0.082233,0.085276,0.097257,0.099754,0.080743,0.094845,0.074451,0.102756,0.101473,0.097389,0.097566,0.081692,0.079601,0.082855,0.069416,0.071526,0.075560,0.075188,0.087435,0.091205,0.089321,0.077875,0.055180,0.038005,0.052527,0.056769,0.057953,0.048352,0.059262,0.060452,0.042985,0.063386,0.065185,0.066903,0.072679,0.092437,0.111366,0.109532,0.099648,0.115622,0.135361,0.130040,0.116754,0.123295,0.127052,0.148834,0.180163,0.166051,0.182501,0.164104,0.162321,0.163579,0.159651,0.194192,0.204147,0.159751,0.163310,0.162888,0.156693,0.149595,0.152850,0.152617,0.165340,0.168661,0.230163,0.181985,0.178590,0.159053,0.179070,0.178216,0.187050,0.201075,0.199980,0.199084,0.198849,0.187002,0.153464,0.166667,0.184107,0.171216,0.174279,0.171766,0.167741,0.200884,0.190292,0.186632,0.187909,0.189071,0.177084,0.193833,0.173496,0.173539,0.169987,0.168331,0.167634,0.162646,0.159790,0.163588,0.150871,0.151292,0.164880,0.151115,0.148720,0.162393,0.161228,0.167890,0.184442,0.183217,0.158429,0.157807,0.157741,0.156138,0.155629,0.160608,0.158920,0.177126,0.178289,0.179212,0.181850,0.194968,0.193498,0.190002,0.179729,0.175269,0.188595,0.200478,0.199766,0.202695,0.183840,0.180105,0.170301,0.178831,0.184208,0.192528,0.194306,0.185433,0.221553,0.240311
24,5.584037,0.194179,0.034774,0.000000,0.002942,0.002082,0.004102,0.004444,0.019894,0.052327,0.051763,0.053563,0.034586,0.021944,0.039774,0.036467,0.040899,0.038351,0.038366,0.034340,0.037721,0.045000,0.035297,0.043246,0.047572,0.030248,0.034498,0.036629,0.055009,0.060245,0.061103,0.059839,0.067717,0.068762,0.068916,0.074591,0.111630,0.115239,0.114795,0.112522,0.097941,0.095015,0.117294,0.099436,0.153559,0.155594,0.151412,0.151853,0.171739,0.186110,0.194505,0.197763,0.213147,0.213930,0.226430,0.187863,0.189154,0.206300,0.207209,0.220531,0.202225,0.216813,0.221982,0.232961,0.267070,0.253970,0.271615,0.243396,0.243793,0.242432,0.254685,0.253550,0.222348,0.209441,0.222219,0.213515,0.226317,0.237638,0.241027,0.236198,0.225646,0.228323,0.203337,0.239789,0.233968,0.212254,0.233374,0.231980,0.217743,0.236121,0.201450,0.205075,0.205310,0.188028,0.169931,0.187269,0.147423,0.144394,0.116144,0.132795,0.113473,0.110987,0.079401,0.098062,0.102280,0.097402,0.085589,0.074147,0.092115,0.079733,0.062734,0.082291,0.085331,0.097297,0.099812,0.080808,0.094937,0.074530,0.102832,0.101566,0.097472,0.097649,0.081757,0.079646,0.082895,0.069443,0.071573,0.075633,0.075268,0.087532,0.091302,0.089417,0.077968,0.055270,0.038088,0.052600,0.056842,0.058025,0.048407,0.059334,0.060499,0.043043,0.063434,0.065225,0.066960,0.072749,0.092542,0.111456,0.109605,0.099721,0.115744,0.135507,0.130169,0.116865,0.123430,0.127160,0.148942,0.180274,0.166160,0.182596,0.164197,0.162430,0.163707,0.159776,0.194320,0.204256,0.159888,0.163457,0.163016,0.156821,0.149740,0.153016,0.152768,0.165531,0.168837,0.230365,0.182177,0.178843,0.159376,0.179397,0.178480,0.187318,0.201326,0.200231,0.199367,0.199159,0.187329,0.153787,0.166979,0.184441,0.171558,0.174650,0.172119,0.168109,0.201257,0.190674,0.186999,0.188275,0.189447,0.177433,0.194184,0.173862,0.173903,0.170366,0.168679,0.167997,0.163009,0.160149,0.163973,0.151239,0.151627,0.165259,0.151485,0.149108,0.162783,0.161616,0.168277,0.184866,0.183591,0.158832,0.158181,0.158108,0.156528,0.156022,0.160984,0.159280,0.177474,0.178621,0.179555,0.182195,0.195316,0.193826,0.190359,0.180095,0.175649,0.188980,0.200863,0.200140,0.203070,0.184220,0.180471,0.170675,0.179233,0.184602,0.192909,0.194686,0.185859,0.221977,0.240748
