id,Delta,Mean,DownSideRisk,ALMI11B,ARZZ3,AUTM3,BBFI11B,BEES3,BMIN4,BPNM4,BRCR11B,BRFS3,BRML3,BRTO4,BTTL4,CCPR3,CESP6,CLSC6,CMIG3,CMIG4,COCE3,COCE5,CSMG3,CTIP3,DTCY3,ECOR3,EQTL3,EUCA4,EZTC3,FEXC11B,FFCI11,FFTL4,FHER3,FNAM11,FPAB11,HGRE11,HGTX3,HTMX11B,IMCH3,JHSF3,KNRI11,LIGT3,MPXE3,ODPV3,OHLB3,PMET6,PQDP11,PRSV11,RAIA3,RDCD3,RNEW11,SAPR4,SBSP3,SSBR3,STBP11,SULT4,TMAR5,TRXL11,UOLL4,USIM3
19,0.071484,0.072037,0.035490,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.041394,0.069475,0.000000,0.057027,0.000000,0.000000,0.000000,0.050861,0.071484,0.000000,0.000000,0.000000,0.000000,0.047303,0.000000,0.000000,0.000000,0.056054,0.058202,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.057401,0.000000,0.071216,0.000000,0.000000,0.000000,0.000000,0.064357,0.000000,0.000000,0.064709,0.053212,0.054184,0.038584,0.037142,0.000000,0.050626,0.000000,0.000000,0.000000,0.056770,0.000000,0.000000,0.000000
17,0.072641,0.106732,0.042213,0.000000,0.068716,0.000000,0.071056,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.055359,0.000000,0.000000,0.000000,0.000000,0.056631,0.000000,0.048600,0.000000,0.042066,0.051403,0.039781,0.000000,0.000000,0.000000,0.000000,0.036989,0.000000,0.059057,0.053311,0.062464,0.000000,0.067541,0.000000,0.000000,0.000000,0.000000,0.000000,0.057321,0.041635,0.000000,0.000000,0.000000,0.000000,0.027049,0.072641,0.000000,0.000000,0.033280,0.000000,0.000000,0.000000,0.000000,0.055100,0.000000,0.000000
4,0.073222,0.113897,0.045517,0.000000,0.065263,0.000000,0.000000,0.000000,0.048479,0.000000,0.040520,0.058376,0.000000,0.000000,0.045057,0.000000,0.000000,0.000000,0.000000,0.068902,0.000000,0.000000,0.067461,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.040098,0.000000,0.000000,0.066953,0.000000,0.000000,0.056633,0.000000,0.000000,0.000000,0.046108,0.052735,0.000000,0.042708,0.062448,0.063845,0.050796,0.000000,0.000000,0.000000,0.000000,0.073222,0.000000,0.000000,0.000000,0.050396,0.000000,0.000000,0.000000,0.000000,0.000000
36,0.064024,0.096216,0.038585,0.000000,0.000000,0.000000,0.050684,0.000000,0.017552,0.014583,0.013109,0.038112,0.021042,0.024055,0.038884,0.000000,0.059123,0.000000,0.000000,0.052215,0.000000,0.000000,0.026817,0.014050,0.019432,0.000000,0.055084,0.000000,0.000000,0.042179,0.041753,0.021511,0.011944,0.000000,0.030720,0.000000,0.000000,0.000000,0.000000,0.000000,0.063294,0.027310,0.000000,0.044019,0.031158,0.064024,0.027868,0.000000,0.024813,0.026668,0.000000,0.000000,0.000000,0.030171,0.000000,0.000000,0.000000,0.019851,0.047978,0.000000
12,0.064147,0.116924,0.040195,0.000000,0.047017,0.000000,0.042723,0.000000,0.000000,0.022101,0.016514,0.016455,0.000000,0.000000,0.000000,0.000000,0.059733,0.050821,0.023786,0.000000,0.000000,0.039270,0.042003,0.000000,0.000000,0.012563,0.024198,0.000000,0.026403,0.000000,0.023822,0.000000,0.035800,0.032708,0.008986,0.000000,0.034414,0.000011,0.000000,0.000000,0.000000,0.054347,0.018037,0.000000,0.049764,0.029109,0.000000,0.000000,0.037899,0.000000,0.064147,0.000000,0.012225,0.040518,0.000000,0.000000,0.025962,0.029610,0.052943,0.026110
6,0.065183,0.116105,0.039774,0.000000,0.043326,0.000000,0.039368,0.000000,0.000000,0.023984,0.017922,0.017857,0.000000,0.000000,0.000005,0.000000,0.059066,0.051004,0.021919,0.000000,0.000000,0.036186,0.045582,0.000000,0.000000,0.011577,0.026260,0.000000,0.028653,0.000000,0.025851,0.000000,0.032989,0.030150,0.009752,0.000000,0.031712,0.000000,0.000000,0.000000,0.000000,0.058978,0.016621,0.000000,0.054005,0.031590,0.000000,0.000000,0.038541,0.000000,0.065183,0.000000,0.011265,0.037331,0.000000,0.000000,0.023924,0.027285,0.053782,0.028335
5,0.058334,0.078504,0.033493,0.004683,0.000000,0.038813,0.001880,0.058334,0.024545,0.000000,0.051014,0.007273,0.036463,0.025433,0.000008,0.000000,0.043423,0.034314,0.036737,0.026130,0.008051,0.033017,0.026706,0.023878,0.007726,0.016938,0.018509,0.000000,0.007438,0.006092,0.000000,0.006057,0.055076,0.015900,0.039157,0.000000,0.037824,0.000000,0.000000,0.002964,0.000000,0.000000,0.000000,0.026606,0.000000,0.031291,0.000000,0.049880,0.054590,0.011816,0.018881,0.012786,0.029005,0.021455,0.016831,0.005428,0.014330,0.000005,0.012713,0.000000
30,0.058965,0.085543,0.034354,0.005197,0.000000,0.055106,0.004644,0.043098,0.042669,0.003021,0.029350,0.000000,0.021832,0.039844,0.000000,0.002073,0.035642,0.035843,0.019616,0.050825,0.000000,0.057927,0.054762,0.032790,0.021884,0.000000,0.040106,0.000000,0.001954,0.000000,0.000000,0.017176,0.054617,0.000000,0.000000,0.000000,0.020117,0.000000,0.001728,0.000000,0.002748,0.000000,0.000000,0.008853,0.000000,0.044997,0.000000,0.052010,0.058965,0.033467,0.029579,0.026451,0.000000,0.000000,0.003430,0.000000,0.024355,0.000000,0.016847,0.006478
21,0.060024,0.089534,0.035609,0.006511,0.000000,0.046476,0.005818,0.034400,0.035973,0.003785,0.023426,0.000008,0.018420,0.031803,0.000000,0.002589,0.044655,0.030142,0.024576,0.050629,0.000000,0.060024,0.055050,0.028145,0.027418,0.000000,0.043335,0.000000,0.002448,0.000000,0.000000,0.021510,0.052180,0.000000,0.000000,0.000000,0.025203,0.000000,0.002165,0.000000,0.003443,0.000000,0.000000,0.011048,0.000000,0.037210,0.000000,0.048834,0.060024,0.041930,0.023609,0.033139,0.000043,0.000000,0.004298,0.000000,0.030513,0.000000,0.021106,0.008116
22,0.052586,0.074178,0.032157,0.003711,0.000295,0.000000,0.000733,0.012369,0.000209,0.000000,0.033397,0.049082,0.000000,0.045794,0.000111,0.003372,0.008956,0.044572,0.052586,0.015209,0.000000,0.019934,0.000000,0.049078,0.000000,0.000000,0.017114,0.048651,0.041078,0.000310,0.016202,0.015625,0.000000,0.000000,0.000226,0.014873,0.040483,0.000000,0.050026,0.000000,0.013827,0.000201,0.000253,0.045843,0.000000,0.004459,0.045462,0.042804,0.046744,0.047940,0.026443,0.000000,0.035884,0.001003,0.000000,0.018000,0.047059,0.012405,0.003541,0.024137
