id,Delta,Mean,DownSideRisk,ALMI11B,ARZZ3,AUTM3,BBFI11B,BEES3,BMIN4,BPNM4,BRCR11B,BRFS3,BRML3,BRTO4,BTTL4,CCPR3,CESP6,CLSC6,CMIG3,CMIG4,COCE3,COCE5,CSMG3,CTIP3,DTCY3,ECOR3,EQTL3,EUCA4,EZTC3,FEXC11B,FFCI11,FFTL4,FHER3,FNAM11,FPAB11,HGRE11,HGTX3,HTMX11B,IMCH3,JHSF3,KNRI11,LIGT3,MPXE3,ODPV3,OHLB3,PMET6,PQDP11,PRSV11,RAIA3,RDCD3,RNEW11,SAPR4,SBSP3,SSBR3,STBP11,SULT4,TMAR5,TRXL11,UOLL4,USIM3
31,0.067654,0.100110,0.031563,0.000000,0.000000,0.000000,0.062792,0.000000,0.058823,0.000000,0.053833,0.054494,0.000000,0.029916,0.000000,0.000000,0.000000,0.043853,0.000000,0.051814,0.000000,0.048483,0.000000,0.000000,0.000000,0.066853,0.065136,0.000000,0.000000,0.000000,0.000000,0.000000,0.063116,0.000000,0.000000,0.000000,0.000000,0.000000,0.061620,0.000000,0.000000,0.000000,0.038306,0.000000,0.000000,0.028837,0.000000,0.000000,0.000000,0.000000,0.000000,0.056084,0.000000,0.000000,0.067654,0.000000,0.047625,0.046603,0.000000,0.054158
26,0.071145,0.095400,0.033652,0.000000,0.030250,0.000000,0.000000,0.054704,0.000000,0.040054,0.068885,0.063285,0.000000,0.059682,0.000000,0.000000,0.000000,0.000000,0.053711,0.000000,0.000000,0.000000,0.064016,0.000000,0.000000,0.000000,0.000000,0.018744,0.000000,0.000000,0.028842,0.047335,0.000000,0.000000,0.064595,0.000000,0.000000,0.000000,0.000000,0.000000,0.066975,0.000000,0.000000,0.000000,0.071145,0.000000,0.056800,0.000000,0.000000,0.028362,0.000000,0.027008,0.000000,0.000000,0.023995,0.068099,0.063514,0.000000,0.000000,0.000000
27,0.071465,0.101161,0.036592,0.068375,0.070594,0.000000,0.000000,0.000000,0.062170,0.000000,0.000000,0.071047,0.000000,0.000000,0.000000,0.027292,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.069014,0.000000,0.047136,0.000000,0.000000,0.000000,0.000000,0.044650,0.034367,0.042268,0.049843,0.063111,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.071465,0.000000,0.053468,0.059510,0.000000,0.066399,0.000000,0.041780,0.000000,0.000000,0.057511
20,0.062545,0.123485,0.044558,0.015259,0.027968,0.000000,0.013401,0.048580,0.000000,0.000000,0.044970,0.062545,0.000000,0.000000,0.000000,0.043559,0.000000,0.028001,0.000000,0.000000,0.026003,0.029120,0.000000,0.000000,0.000000,0.026542,0.000000,0.010094,0.000000,0.019249,0.055262,0.041278,0.035175,0.017394,0.000000,0.000000,0.023009,0.000000,0.039957,0.000000,0.022854,0.034635,0.017022,0.000000,0.000000,0.024216,0.000000,0.000000,0.000000,0.038113,0.054748,0.053185,0.022823,0.030237,0.022354,0.000000,0.000000,0.033551,0.038895,0.000000
31,0.067654,0.100110,0.031563,0.000000,0.000000,0.000000,0.062792,0.000000,0.058823,0.000000,0.053833,0.054494,0.000000,0.029916,0.000000,0.000000,0.000000,0.043853,0.000000,0.051814,0.000000,0.048483,0.000000,0.000000,0.000000,0.066853,0.065136,0.000000,0.000000,0.000000,0.000000,0.000000,0.063116,0.000000,0.000000,0.000000,0.000000,0.000000,0.061620,0.000000,0.000000,0.000000,0.038306,0.000000,0.000000,0.028837,0.000000,0.000000,0.000000,0.000000,0.000000,0.056084,0.000000,0.000000,0.067654,0.000000,0.047625,0.046603,0.000000,0.054158
6,0.068998,0.103860,0.040567,0.000000,0.049051,0.000000,0.049761,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.056151,0.000000,0.000000,0.000000,0.031501,0.050917,0.000000,0.000000,0.047867,0.032032,0.000000,0.000000,0.029611,0.000000,0.024722,0.048693,0.018055,0.000000,0.030338,0.050818,0.000000,0.045820,0.023754,0.068998,0.031742,0.054625,0.023512,0.000000,0.000000,0.061134,0.000000,0.000000,0.032053,0.015862,0.036099,0.000000,0.040920,0.000000,0.000000,0.000000,0.000000,0.023520,0.000000,0.000000,0.022446,0.000000
16,0.048849,0.090988,0.034597,0.023906,0.000306,0.020252,0.017356,0.026354,0.043279,0.000000,0.040804,0.009332,0.031031,0.007656,0.032839,0.018816,0.040493,0.033751,0.000000,0.013138,0.043676,0.038656,0.010655,0.025015,0.006834,0.000000,0.037608,0.036742,0.000000,0.000644,0.000000,0.048849,0.033293,0.000302,0.040667,0.000606,0.000000,0.000458,0.021397,0.020438,0.005535,0.000000,0.000000,0.033667,0.013167,0.000000,0.000424,0.000000,0.000478,0.024316,0.026341,0.035387,0.026287,0.030044,0.027507,0.000000,0.029423,0.000000,0.022269,0.000000
10,0.049357,0.092042,0.035293,0.025494,0.000365,0.016987,0.020692,0.031420,0.036301,0.000000,0.044475,0.007828,0.026028,0.006421,0.027807,0.015782,0.033965,0.035483,0.000000,0.011258,0.048314,0.046086,0.009161,0.029824,0.005732,0.000000,0.031544,0.030818,0.000000,0.000768,0.000000,0.049357,0.037328,0.000360,0.040548,0.000723,0.000000,0.000546,0.017947,0.024366,0.004753,0.000000,0.000000,0.040139,0.011044,0.000000,0.000506,0.000000,0.000570,0.020395,0.022152,0.035749,0.031339,0.025200,0.032794,0.000000,0.035078,0.000000,0.026550,0.000000
24,0.055371,0.106900,0.039792,0.006412,0.044349,0.000000,0.053118,0.024570,0.000000,0.000000,0.047536,0.016667,0.000000,0.000000,0.042569,0.011607,0.000000,0.029940,0.000000,0.038601,0.029967,0.013650,0.036288,0.003812,0.000000,0.007073,0.000000,0.009678,0.000000,0.055371,0.025175,0.014614,0.013427,0.033984,0.002775,0.034737,0.022061,0.026247,0.010647,0.024066,0.039737,0.017109,0.016321,0.043288,0.000000,0.023219,0.024300,0.000000,0.027367,0.010156,0.024070,0.016788,0.010087,0.008057,0.010148,0.000000,0.004483,0.032169,0.013758,0.000000
19,0.044523,0.095685,0.034447,0.002954,0.019479,0.000000,0.018098,0.022811,0.000000,0.000000,0.031321,0.038027,0.011893,0.022665,0.002075,0.028524,0.024882,0.042312,0.013842,0.000000,0.044523,0.015185,0.035243,0.000000,0.013755,0.020756,0.016657,0.019443,0.009104,0.013406,0.026220,0.037317,0.043053,0.023580,0.016248,0.009260,0.021919,0.013731,0.007734,0.006542,0.015917,0.012428,0.011856,0.000000,0.030576,0.024656,0.007333,0.030360,0.005181,0.032924,0.028834,0.018721,0.004418,0.015124,0.011665,0.014594,0.004131,0.028718,0.007529,0.022480
