id,Mean,Mean,DownSideRisk,ALMI11B,ARZZ3,AUTM3,BBFI11B,BEES3,BMIN4,BPNM4,BRCR11B,BRFS3,BRML3,BRTO4,BTTL4,CCPR3,CESP6,CLSC6,CMIG3,CMIG4,COCE3,COCE5,CSMG3,CTIP3,DTCY3,ECOR3,EQTL3,EUCA4,EZTC3,FEXC11B,FFCI11,FFTL4,FHER3,FNAM11,FPAB11,HGRE11,HGTX3,HTMX11B,IMCH3,JHSF3,KNRI11,LIGT3,MPXE3,ODPV3,OHLB3,PMET6,PQDP11,PRSV11,RAIA3,RDCD3,RNEW11,SAPR4,SBSP3,SSBR3,STBP11,SULT4,TMAR5,TRXL11,UOLL4,USIM3
20,0.162106,0.162106,0.049464,0.000000,0.071253,0.043281,0.000000,0.000000,0.000000,0.098398,0.000000,0.084349,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.058453,0.064331,0.031456,0.000000,0.027802,0.000000,0.000000,0.000000,0.000000,0.000000,0.069665,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.046390,0.000000,0.000000,0.080967,0.066238,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.060189,0.000000,0.000000,0.080945,0.000000,0.045936,0.000000,0.000000,0.070346
17,0.131234,0.131234,0.044841,0.000000,0.000000,0.000000,0.000000,0.000000,0.044612,0.048456,0.044032,0.000000,0.000000,0.037934,0.000000,0.000000,0.000000,0.052611,0.046062,0.000000,0.000000,0.047178,0.035185,0.000000,0.061534,0.000000,0.000000,0.000000,0.000000,0.000000,0.087528,0.000000,0.044108,0.000000,0.000000,0.000000,0.042680,0.000000,0.000000,0.000000,0.000000,0.070574,0.088151,0.000000,0.064196,0.064873,0.000000,0.000000,0.000000,0.000000,0.061931,0.000000,0.058356,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
13,0.126479,0.126479,0.046771,0.000000,0.000000,0.047355,0.000000,0.047465,0.000000,0.000000,0.000000,0.054232,0.048276,0.046483,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.069681,0.049639,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.073341,0.000000,0.052783,0.032827,0.000000,0.054527,0.000000,0.073930,0.000000,0.000000,0.063946,0.000000,0.000000,0.000000,0.038942,0.084160,0.026514,0.000000,0.088741,0.000000,0.000000,0.047158,0.000000
7,0.162106,0.162106,0.049464,0.000000,0.071253,0.043281,0.000000,0.000000,0.000000,0.098398,0.000000,0.084349,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.058453,0.064331,0.031456,0.000000,0.027802,0.000000,0.000000,0.000000,0.000000,0.000000,0.069665,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.046390,0.000000,0.000000,0.080967,0.066238,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.060189,0.000000,0.000000,0.080945,0.000000,0.045936,0.000000,0.000000,0.070346
32,0.162106,0.162106,0.049464,0.000000,0.071253,0.043281,0.000000,0.000000,0.000000,0.098398,0.000000,0.084349,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.058453,0.064331,0.031456,0.000000,0.027802,0.000000,0.000000,0.000000,0.000000,0.000000,0.069665,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.046390,0.000000,0.000000,0.080967,0.066238,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.060189,0.000000,0.000000,0.080945,0.000000,0.045936,0.000000,0.000000,0.070346
21,0.162106,0.162106,0.049464,0.000000,0.071253,0.043281,0.000000,0.000000,0.000000,0.098398,0.000000,0.084349,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.058453,0.064331,0.031456,0.000000,0.027802,0.000000,0.000000,0.000000,0.000000,0.000000,0.069665,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.046390,0.000000,0.000000,0.080967,0.066238,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.060189,0.000000,0.000000,0.080945,0.000000,0.045936,0.000000,0.000000,0.070346
20,0.162106,0.162106,0.049464,0.000000,0.071253,0.043281,0.000000,0.000000,0.000000,0.098398,0.000000,0.084349,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.058453,0.064331,0.031456,0.000000,0.027802,0.000000,0.000000,0.000000,0.000000,0.000000,0.069665,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.046390,0.000000,0.000000,0.080967,0.066238,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.060189,0.000000,0.000000,0.080945,0.000000,0.045936,0.000000,0.000000,0.070346
36,0.162106,0.162106,0.049464,0.000000,0.071253,0.043281,0.000000,0.000000,0.000000,0.098398,0.000000,0.084349,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.058453,0.064331,0.031456,0.000000,0.027802,0.000000,0.000000,0.000000,0.000000,0.000000,0.069665,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.046390,0.000000,0.000000,0.080967,0.066238,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.060189,0.000000,0.000000,0.080945,0.000000,0.045936,0.000000,0.000000,0.070346
26,0.162106,0.162106,0.049464,0.000000,0.071253,0.043281,0.000000,0.000000,0.000000,0.098398,0.000000,0.084349,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.058453,0.064331,0.031456,0.000000,0.027802,0.000000,0.000000,0.000000,0.000000,0.000000,0.069665,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.046390,0.000000,0.000000,0.080967,0.066238,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.060189,0.000000,0.000000,0.080945,0.000000,0.045936,0.000000,0.000000,0.070346
26,0.162106,0.162106,0.049464,0.000000,0.071253,0.043281,0.000000,0.000000,0.000000,0.098398,0.000000,0.084349,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.058453,0.064331,0.031456,0.000000,0.027802,0.000000,0.000000,0.000000,0.000000,0.000000,0.069665,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.046390,0.000000,0.000000,0.080967,0.066238,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.060189,0.000000,0.000000,0.080945,0.000000,0.045936,0.000000,0.000000,0.070346
37,0.162106,0.162106,0.049464,0.000000,0.071253,0.043281,0.000000,0.000000,0.000000,0.098398,0.000000,0.084349,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.058453,0.064331,0.031456,0.000000,0.027802,0.000000,0.000000,0.000000,0.000000,0.000000,0.069665,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.046390,0.000000,0.000000,0.080967,0.066238,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.060189,0.000000,0.000000,0.080945,0.000000,0.045936,0.000000,0.000000,0.070346
24,0.162106,0.162106,0.049464,0.000000,0.071253,0.043281,0.000000,0.000000,0.000000,0.098398,0.000000,0.084349,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.058453,0.064331,0.031456,0.000000,0.027802,0.000000,0.000000,0.000000,0.000000,0.000000,0.069665,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.046390,0.000000,0.000000,0.080967,0.066238,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.060189,0.000000,0.000000,0.080945,0.000000,0.045936,0.000000,0.000000,0.070346
21,0.162106,0.162106,0.049464,0.000000,0.071253,0.043281,0.000000,0.000000,0.000000,0.098398,0.000000,0.084349,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.058453,0.064331,0.031456,0.000000,0.027802,0.000000,0.000000,0.000000,0.000000,0.000000,0.069665,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.046390,0.000000,0.000000,0.080967,0.066238,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.060189,0.000000,0.000000,0.080945,0.000000,0.045936,0.000000,0.000000,0.070346
20,0.162106,0.162106,0.049464,0.000000,0.071253,0.043281,0.000000,0.000000,0.000000,0.098398,0.000000,0.084349,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.058453,0.064331,0.031456,0.000000,0.027802,0.000000,0.000000,0.000000,0.000000,0.000000,0.069665,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.046390,0.000000,0.000000,0.080967,0.066238,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.060189,0.000000,0.000000,0.080945,0.000000,0.045936,0.000000,0.000000,0.070346
23,0.162106,0.162106,0.049464,0.000000,0.071253,0.043281,0.000000,0.000000,0.000000,0.098398,0.000000,0.084349,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.058453,0.064331,0.031456,0.000000,0.027802,0.000000,0.000000,0.000000,0.000000,0.000000,0.069665,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.046390,0.000000,0.000000,0.080967,0.066238,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.060189,0.000000,0.000000,0.080945,0.000000,0.045936,0.000000,0.000000,0.070346
37,0.162106,0.162106,0.049464,0.000000,0.071253,0.043281,0.000000,0.000000,0.000000,0.098398,0.000000,0.084349,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.058453,0.064331,0.031456,0.000000,0.027802,0.000000,0.000000,0.000000,0.000000,0.000000,0.069665,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.046390,0.000000,0.000000,0.080967,0.066238,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.060189,0.000000,0.000000,0.080945,0.000000,0.045936,0.000000,0.000000,0.070346
