id,SortinoRatio,Mean,DownSideRisk,ALMI11B,ARZZ3,AUTM3,BBFI11B,BEES3,BMIN4,BPNM4,BRCR11B,BRFS3,BRML3,BRTO4,BTTL4,CCPR3,CESP6,CLSC6,CMIG3,CMIG4,COCE3,COCE5,CSMG3,CTIP3,DTCY3,ECOR3,EQTL3,EUCA4,EZTC3,FEXC11B,FFCI11,FFTL4,FHER3,FNAM11,FPAB11,HGRE11,HGTX3,HTMX11B,IMCH3,JHSF3,KNRI11,LIGT3,MPXE3,ODPV3,OHLB3,PMET6,PQDP11,PRSV11,RAIA3,RDCD3,RNEW11,SAPR4,SBSP3,SSBR3,STBP11,SULT4,TMAR5,TRXL11,UOLL4,USIM3
31,3.514778,0.090251,0.025677,0.000000,0.026544,0.000000,0.000000,0.000000,0.101344,0.000000,0.055903,0.000000,0.000000,0.000000,0.000000,0.043519,0.000000,0.000000,0.088239,0.000000,0.092376,0.000000,0.000000,0.000000,0.000000,0.000000,0.088693,0.000000,0.000000,0.000000,0.000000,0.025516,0.000000,0.092176,0.055049,0.069489,0.000000,0.000000,0.000000,0.000000,0.049044,0.000000,0.034404,0.000000,0.000000,0.000000,0.073065,0.000000,0.044813,0.000000,0.000000,0.000000,0.000000,0.059827,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4,3.318241,0.120950,0.036450,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.035165,0.041440,0.000000,0.047205,0.000000,0.077636,0.061561,0.081378,0.047447,0.000000,0.000000,0.056941,0.000000,0.000000,0.000000,0.000000,0.062885,0.000000,0.036222,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.050158,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.045792,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.029107,0.081021,0.000000,0.068676,0.000000,0.000000,0.051761,0.000000,0.000000,0.055427,0.070178
15,3.277298,0.117756,0.035931,0.032702,0.000000,0.000000,0.000000,0.000000,0.048770,0.075674,0.000000,0.044692,0.038967,0.000000,0.000000,0.000000,0.000000,0.060895,0.000000,0.000000,0.000000,0.000000,0.033525,0.061190,0.000000,0.000000,0.000000,0.061559,0.000000,0.000000,0.000000,0.000000,0.000000,0.060846,0.000000,0.070809,0.000000,0.000000,0.046928,0.000000,0.096816,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.050748,0.083069,0.000000,0.000000,0.000000,0.000000,0.065760,0.000000,0.000000,0.000000,0.067050
31,3.514778,0.090251,0.025677,0.000000,0.026544,0.000000,0.000000,0.000000,0.101344,0.000000,0.055903,0.000000,0.000000,0.000000,0.000000,0.043519,0.000000,0.000000,0.088239,0.000000,0.092376,0.000000,0.000000,0.000000,0.000000,0.000000,0.088693,0.000000,0.000000,0.000000,0.000000,0.025516,0.000000,0.092176,0.055049,0.069489,0.000000,0.000000,0.000000,0.000000,0.049044,0.000000,0.034404,0.000000,0.000000,0.000000,0.073065,0.000000,0.044813,0.000000,0.000000,0.000000,0.000000,0.059827,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
22,3.514778,0.090251,0.025677,0.000000,0.026544,0.000000,0.000000,0.000000,0.101344,0.000000,0.055903,0.000000,0.000000,0.000000,0.000000,0.043519,0.000000,0.000000,0.088239,0.000000,0.092376,0.000000,0.000000,0.000000,0.000000,0.000000,0.088693,0.000000,0.000000,0.000000,0.000000,0.025516,0.000000,0.092176,0.055049,0.069489,0.000000,0.000000,0.000000,0.000000,0.049044,0.000000,0.034404,0.000000,0.000000,0.000000,0.073065,0.000000,0.044813,0.000000,0.000000,0.000000,0.000000,0.059827,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
35,3.514778,0.090251,0.025677,0.000000,0.026544,0.000000,0.000000,0.000000,0.101344,0.000000,0.055903,0.000000,0.000000,0.000000,0.000000,0.043519,0.000000,0.000000,0.088239,0.000000,0.092376,0.000000,0.000000,0.000000,0.000000,0.000000,0.088693,0.000000,0.000000,0.000000,0.000000,0.025516,0.000000,0.092176,0.055049,0.069489,0.000000,0.000000,0.000000,0.000000,0.049044,0.000000,0.034404,0.000000,0.000000,0.000000,0.073065,0.000000,0.044813,0.000000,0.000000,0.000000,0.000000,0.059827,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
31,3.514778,0.090251,0.025677,0.000000,0.026544,0.000000,0.000000,0.000000,0.101344,0.000000,0.055903,0.000000,0.000000,0.000000,0.000000,0.043519,0.000000,0.000000,0.088239,0.000000,0.092376,0.000000,0.000000,0.000000,0.000000,0.000000,0.088693,0.000000,0.000000,0.000000,0.000000,0.025516,0.000000,0.092176,0.055049,0.069489,0.000000,0.000000,0.000000,0.000000,0.049044,0.000000,0.034404,0.000000,0.000000,0.000000,0.073065,0.000000,0.044813,0.000000,0.000000,0.000000,0.000000,0.059827,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
22,3.514778,0.090251,0.025677,0.000000,0.026544,0.000000,0.000000,0.000000,0.101344,0.000000,0.055903,0.000000,0.000000,0.000000,0.000000,0.043519,0.000000,0.000000,0.088239,0.000000,0.092376,0.000000,0.000000,0.000000,0.000000,0.000000,0.088693,0.000000,0.000000,0.000000,0.000000,0.025516,0.000000,0.092176,0.055049,0.069489,0.000000,0.000000,0.000000,0.000000,0.049044,0.000000,0.034404,0.000000,0.000000,0.000000,0.073065,0.000000,0.044813,0.000000,0.000000,0.000000,0.000000,0.059827,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
17,3.514778,0.090251,0.025677,0.000000,0.026544,0.000000,0.000000,0.000000,0.101344,0.000000,0.055903,0.000000,0.000000,0.000000,0.000000,0.043519,0.000000,0.000000,0.088239,0.000000,0.092376,0.000000,0.000000,0.000000,0.000000,0.000000,0.088693,0.000000,0.000000,0.000000,0.000000,0.025516,0.000000,0.092176,0.055049,0.069489,0.000000,0.000000,0.000000,0.000000,0.049044,0.000000,0.034404,0.000000,0.000000,0.000000,0.073065,0.000000,0.044813,0.000000,0.000000,0.000000,0.000000,0.059827,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
31,3.514778,0.090251,0.025677,0.000000,0.026544,0.000000,0.000000,0.000000,0.101344,0.000000,0.055903,0.000000,0.000000,0.000000,0.000000,0.043519,0.000000,0.000000,0.088239,0.000000,0.092376,0.000000,0.000000,0.000000,0.000000,0.000000,0.088693,0.000000,0.000000,0.000000,0.000000,0.025516,0.000000,0.092176,0.055049,0.069489,0.000000,0.000000,0.000000,0.000000,0.049044,0.000000,0.034404,0.000000,0.000000,0.000000,0.073065,0.000000,0.044813,0.000000,0.000000,0.000000,0.000000,0.059827,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
