id,HV,Mean,DownSideRisk,ALMI11B,ARZZ3,AUTM3,BBFI11B,BEES3,BMIN4,BPNM4,BRCR11B,BRFS3,BRML3,BRTO4,BTTL4,CCPR3,CESP6,CLSC6,CMIG3,CMIG4,COCE3,COCE5,CSMG3,CTIP3,DTCY3,ECOR3,EQTL3,EUCA4,EZTC3,FEXC11B,FFCI11,FFTL4,FHER3,FNAM11,FPAB11,HGRE11,HGTX3,HTMX11B,IMCH3,JHSF3,KNRI11,LIGT3,MPXE3,ODPV3,OHLB3,PMET6,PQDP11,PRSV11,RAIA3,RDCD3,RNEW11,SAPR4,SBSP3,SSBR3,STBP11,SULT4,TMAR5,TRXL11,UOLL4,USIM3
10,125.352100,0.077461,0.024694,0.051104,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.067591,0.000000,0.000000,0.045839,0.000000,0.000000,0.000000,0.000000,0.000000,0.035482,0.087018,0.000000,0.081595,0.000000,0.000000,0.047321,0.039481,0.073152,0.000000,0.000000,0.000000,0.041384,0.064264,0.000000,0.000000,0.000000,0.000000,0.048677,0.000000,0.000000,0.058134,0.000000,0.000000,0.000000,0.080421,0.000000,0.050853,0.000000,0.000000,0.000000,0.000000,0.000000,0.063546,0.000000,0.000000,0.000000,0.000000,0.064139
17,113.671603,0.095014,0.029259,0.000000,0.000000,0.000000,0.056029,0.000000,0.075048,0.000000,0.044957,0.000000,0.059755,0.000000,0.000000,0.000000,0.058474,0.000000,0.043249,0.048382,0.000000,0.000000,0.000000,0.000000,0.073486,0.067770,0.000000,0.000000,0.000000,0.000000,0.000000,0.028306,0.000000,0.082306,0.000000,0.000000,0.000000,0.000000,0.061803,0.000000,0.027054,0.000000,0.040872,0.000000,0.047325,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.039436,0.000000,0.000000,0.048217,0.059736,0.037796
1,110.122674,0.085787,0.030946,0.000000,0.000000,0.028149,0.000000,0.064298,0.000000,0.000000,0.058536,0.000000,0.000000,0.000000,0.038841,0.000000,0.000000,0.046242,0.000000,0.069436,0.000000,0.000000,0.060029,0.056163,0.000000,0.074501,0.000000,0.000000,0.072262,0.000000,0.000000,0.000000,0.000000,0.000000,0.051918,0.000000,0.000000,0.000000,0.000000,0.000000,0.067259,0.000000,0.074489,0.000000,0.048285,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.074770,0.035171,0.000000,0.000000,0.079651
24,125.352100,0.077461,0.024694,0.051104,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.067591,0.000000,0.000000,0.045839,0.000000,0.000000,0.000000,0.000000,0.000000,0.035482,0.087018,0.000000,0.081595,0.000000,0.000000,0.047321,0.039481,0.073152,0.000000,0.000000,0.000000,0.041384,0.064264,0.000000,0.000000,0.000000,0.000000,0.048677,0.000000,0.000000,0.058134,0.000000,0.000000,0.000000,0.080421,0.000000,0.050853,0.000000,0.000000,0.000000,0.000000,0.000000,0.063546,0.000000,0.000000,0.000000,0.000000,0.064139
10,125.350738,0.077461,0.024694,0.051092,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.067591,0.000000,0.000000,0.045839,0.000000,0.000000,0.000000,0.000000,0.000000,0.035482,0.087018,0.000011,0.081595,0.000000,0.000000,0.047321,0.039481,0.073152,0.000000,0.000000,0.000000,0.041384,0.064264,0.000000,0.000000,0.000000,0.000000,0.048677,0.000000,0.000000,0.058134,0.000000,0.000000,0.000000,0.080421,0.000000,0.050841,0.000000,0.000000,0.000000,0.000011,0.000000,0.063546,0.000000,0.000000,0.000000,0.000000,0.064139
5,125.348905,0.077453,0.024694,0.051104,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.067591,0.000000,0.000000,0.045839,0.000000,0.000000,0.000308,0.000000,0.000000,0.035482,0.087018,0.000000,0.081595,0.000000,0.000000,0.047321,0.039481,0.073152,0.000000,0.000000,0.000000,0.041384,0.064264,0.000000,0.000000,0.000000,0.000000,0.048677,0.000000,0.000000,0.058134,0.000000,0.000000,0.000000,0.080421,0.000000,0.050853,0.000000,0.000000,0.000000,0.000000,0.000000,0.063238,0.000000,0.000000,0.000000,0.000000,0.064139
24,125.474185,0.077357,0.024668,0.051104,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.067591,0.000011,0.000000,0.045828,0.001424,0.000000,0.000000,0.000000,0.000000,0.035482,0.087018,0.000000,0.081595,0.000000,0.000000,0.047321,0.039481,0.073152,0.000000,0.000000,0.000000,0.041384,0.064264,0.000000,0.000000,0.000000,0.000000,0.048677,0.000000,0.000000,0.058134,0.000000,0.000000,0.000000,0.080421,0.000000,0.050853,0.000000,0.000000,0.000000,0.000000,0.000000,0.062122,0.000000,0.000000,0.000000,0.000000,0.064139
25,125.352100,0.077461,0.024694,0.051104,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.067591,0.000000,0.000000,0.045839,0.000000,0.000000,0.000000,0.000000,0.000000,0.035482,0.087018,0.000000,0.081595,0.000000,0.000000,0.047321,0.039481,0.073152,0.000000,0.000000,0.000000,0.041384,0.064264,0.000000,0.000000,0.000000,0.000000,0.048677,0.000000,0.000000,0.058134,0.000000,0.000000,0.000000,0.080421,0.000000,0.050853,0.000000,0.000000,0.000000,0.000000,0.000000,0.063546,0.000000,0.000000,0.000000,0.000000,0.064139
30,125.352100,0.077461,0.024694,0.051104,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.067591,0.000000,0.000000,0.045839,0.000000,0.000000,0.000000,0.000000,0.000000,0.035482,0.087018,0.000000,0.081595,0.000000,0.000000,0.047321,0.039481,0.073152,0.000000,0.000000,0.000000,0.041384,0.064264,0.000000,0.000000,0.000000,0.000000,0.048677,0.000000,0.000000,0.058134,0.000000,0.000000,0.000000,0.080421,0.000000,0.050853,0.000000,0.000000,0.000000,0.000000,0.000000,0.063546,0.000000,0.000000,0.000000,0.000000,0.064139
31,128.216838,0.074525,0.024077,0.051104,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.067591,0.000000,0.000000,0.045839,0.000000,0.000000,0.000308,0.000000,0.000000,0.035482,0.087018,0.000000,0.081595,0.000000,0.000000,0.047321,0.039481,0.073152,0.000000,0.000000,0.008306,0.041384,0.064264,0.000000,0.000000,0.000000,0.000000,0.048677,0.000000,0.000000,0.049827,0.000000,0.000000,0.000000,0.080421,0.000000,0.050853,0.000000,0.000000,0.000000,0.000000,0.000000,0.063238,0.000000,0.000000,0.000000,0.000000,0.064139
