id,DsRisk,Mean,DownSideRisk,ALMI11B,ARZZ3,AUTM3,BBFI11B,BEES3,BMIN4,BPNM4,BRCR11B,BRFS3,BRML3,BRTO4,BTTL4,CCPR3,CESP6,CLSC6,CMIG3,CMIG4,COCE3,COCE5,CSMG3,CTIP3,DTCY3,ECOR3,EQTL3,EUCA4,EZTC3,FEXC11B,FFCI11,FFTL4,FHER3,FNAM11,FPAB11,HGRE11,HGTX3,HTMX11B,IMCH3,JHSF3,KNRI11,LIGT3,MPXE3,ODPV3,OHLB3,PMET6,PQDP11,PRSV11,RAIA3,RDCD3,RNEW11,SAPR4,SBSP3,SSBR3,STBP11,SULT4,TMAR5,TRXL11,UOLL4,USIM3
1,0.019958,0.063519,0.019958,0.058290,0.000000,0.000000,0.000000,0.000000,0.077603,0.000000,0.000000,0.000000,0.034360,0.048221,0.000000,0.000000,0.000000,0.000000,0.000000,0.043857,0.000000,0.048193,0.053214,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.056128,0.000000,0.038111,0.031948,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.034681,0.082386,0.000000,0.000000,0.059043,0.000000,0.034249,0.000000,0.000000,0.000000,0.057718,0.000000,0.000000,0.075065,0.078063,0.000000,0.088871
18,0.022966,0.078274,0.022966,0.046535,0.083413,0.000000,0.000000,0.000000,0.000000,0.062982,0.000000,0.000000,0.000000,0.000000,0.000000,0.073930,0.000000,0.000000,0.042848,0.000000,0.049601,0.000000,0.000000,0.055298,0.068617,0.061641,0.000000,0.079329,0.000000,0.051115,0.000000,0.040403,0.000000,0.034532,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.069598,0.000000,0.053374,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.050085,0.000000,0.000000,0.000000,0.076698
25,0.026431,0.082410,0.026431,0.047149,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.060513,0.000000,0.049751,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.042756,0.064563,0.000000,0.000000,0.000000,0.087905,0.000000,0.062367,0.000000,0.000000,0.044768,0.064563,0.000000,0.000000,0.016199,0.076320,0.000000,0.000000,0.000000,0.000000,0.037786,0.054071,0.000000,0.000000,0.000000,0.072331,0.023145,0.000000,0.039037,0.000000,0.000000,0.000000,0.000000,0.000000,0.051199,0.000000,0.000000,0.105576
1,0.019958,0.063519,0.019958,0.058290,0.000000,0.000000,0.000000,0.000000,0.077603,0.000000,0.000000,0.000000,0.034360,0.048221,0.000000,0.000000,0.000000,0.000000,0.000000,0.043857,0.000000,0.048193,0.053214,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.056128,0.000000,0.038111,0.031948,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.034681,0.082386,0.000000,0.000000,0.059043,0.000000,0.034249,0.000000,0.000000,0.000000,0.057718,0.000000,0.000000,0.075065,0.078063,0.000000,0.088871
4,0.022966,0.078274,0.022966,0.046535,0.083413,0.000000,0.000000,0.000000,0.000000,0.062982,0.000000,0.000000,0.000000,0.000000,0.000000,0.073930,0.000000,0.000000,0.042848,0.000000,0.049601,0.000000,0.000000,0.055298,0.068617,0.061641,0.000000,0.079329,0.000000,0.051115,0.000000,0.040403,0.000000,0.034532,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.069598,0.000000,0.053374,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.050085,0.000000,0.000000,0.000000,0.076698
18,0.022969,0.078283,0.022969,0.046535,0.083413,0.000000,0.000000,0.000000,0.000000,0.062982,0.000000,0.000000,0.000000,0.000000,0.000000,0.073930,0.000000,0.000000,0.042848,0.000000,0.049601,0.000000,0.000000,0.055298,0.068617,0.061641,0.000000,0.079329,0.000000,0.051115,0.000000,0.040403,0.000000,0.034532,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.069598,0.000000,0.053287,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000087,0.050085,0.000000,0.000000,0.000000,0.076698
1,0.019948,0.063499,0.019948,0.058290,0.000000,0.000000,0.000000,0.000000,0.077603,0.000000,0.000000,0.000000,0.034360,0.047719,0.000000,0.000000,0.000000,0.000000,0.000000,0.043857,0.000000,0.048193,0.053214,0.000000,0.000000,0.000000,0.000000,0.000502,0.000000,0.000000,0.000000,0.056128,0.000000,0.038111,0.031948,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.034681,0.082386,0.000000,0.000000,0.059043,0.000000,0.034249,0.000000,0.000000,0.000000,0.057718,0.000000,0.000000,0.075065,0.078063,0.000000,0.088871
18,0.022949,0.078113,0.022949,0.046535,0.083413,0.000000,0.000000,0.000000,0.000000,0.062535,0.000000,0.000000,0.000000,0.000447,0.000000,0.073930,0.000000,0.000062,0.042848,0.000000,0.049601,0.000000,0.000000,0.055298,0.068617,0.061641,0.000000,0.079329,0.000000,0.051115,0.000000,0.040403,0.000000,0.034532,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.069598,0.000000,0.053225,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000087,0.050085,0.000000,0.000000,0.000000,0.076698
4,0.022966,0.078274,0.022966,0.046535,0.083413,0.000000,0.000000,0.000000,0.000000,0.062982,0.000000,0.000000,0.000000,0.000000,0.000000,0.073930,0.000000,0.000000,0.042848,0.000000,0.049601,0.000000,0.000000,0.055298,0.068617,0.061641,0.000000,0.079329,0.000000,0.051115,0.000000,0.040403,0.000000,0.034532,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.069598,0.000000,0.053374,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.050085,0.000000,0.000000,0.000000,0.076698
1,0.019948,0.063499,0.019948,0.058290,0.000000,0.000000,0.000000,0.000000,0.077603,0.000000,0.000000,0.000000,0.034360,0.047719,0.000000,0.000000,0.000000,0.000000,0.000000,0.043857,0.000000,0.048193,0.053214,0.000000,0.000000,0.000000,0.000000,0.000502,0.000000,0.000000,0.000000,0.056128,0.000000,0.038111,0.031948,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.034681,0.082386,0.000000,0.000000,0.059043,0.000000,0.034249,0.000000,0.000000,0.000000,0.057718,0.000000,0.000000,0.075065,0.078063,0.000000,0.088871
