id,HV,Mean,DownSideRisk,ALMI11B,ARZZ3,AUTM3,BBFI11B,BEES3,BMIN4,BPNM4,BRCR11B,BRFS3,BRML3,BRTO4,BTTL4,CCPR3,CESP6,CLSC6,CMIG3,CMIG4,COCE3,COCE5,CSMG3,CTIP3,DTCY3,ECOR3,EQTL3,EUCA4,EZTC3,FEXC11B,FFCI11,FFTL4,FHER3,FNAM11,FPAB11,HGRE11,HGTX3,HTMX11B,IMCH3,JHSF3,KNRI11,LIGT3,MPXE3,ODPV3,OHLB3,PMET6,PQDP11,PRSV11,RAIA3,RDCD3,RNEW11,SAPR4,SBSP3,SSBR3,STBP11,SULT4,TMAR5,TRXL11,UOLL4,USIM3
19,118.951352,0.068922,0.027335,0.052550,0.000000,0.000000,0.000000,0.029820,0.000000,0.000000,0.019749,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.075247,0.040922,0.051728,0.000000,0.000000,0.072496,0.000000,0.000000,0.000000,0.082184,0.000000,0.054501,0.000000,0.000000,0.000000,0.000000,0.000000,0.045405,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.050117,0.051005,0.000000,0.065559,0.071641,0.000000,0.000000,0.062249,0.000000,0.071543,0.050336,0.000000,0.000000,0.000000,0.000000,0.000000,0.052945
10,115.223726,0.070150,0.026400,0.000000,0.000000,0.000000,0.039947,0.064176,0.000000,0.000000,0.000000,0.056874,0.056788,0.083474,0.000000,0.058464,0.000000,0.000000,0.000000,0.000000,0.061006,0.080494,0.000000,0.025705,0.052152,0.000000,0.000000,0.047202,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.053675,0.000000,0.000000,0.044755,0.000000,0.000000,0.051514,0.000000,0.000000,0.000000,0.000000,0.087948,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.054351,0.027199,0.054275,0.000000
5,112.502874,0.077628,0.027445,0.046014,0.000000,0.079765,0.000000,0.000000,0.062396,0.000000,0.000000,0.037880,0.000000,0.000000,0.074270,0.087256,0.045498,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.071815,0.000000,0.000000,0.019353,0.000000,0.000000,0.065390,0.062339,0.000000,0.044603,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.038351,0.000000,0.000000,0.000000,0.062281,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.046978,0.000000,0.000000,0.054721,0.000000,0.045865,0.055226,0.000000
32,149.181525,0.072277,0.027082,0.042425,0.000000,0.016923,0.013771,0.035923,0.000000,0.007394,0.015944,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.060749,0.033038,0.041761,0.008560,0.000000,0.058528,0.000000,0.000000,0.015666,0.066349,0.000000,0.057982,0.006297,0.000000,0.000000,0.000000,0.000000,0.045701,0.000000,0.000000,0.009534,0.000000,0.000000,0.000000,0.000000,0.000000,0.040461,0.041177,0.000000,0.065316,0.057838,0.000000,0.000000,0.050255,0.000000,0.057758,0.040638,0.014739,0.000000,0.022581,0.014806,0.000000,0.057885
9,144.139956,0.068498,0.025500,0.053831,0.062446,0.000000,0.000000,0.031103,0.072673,0.020128,0.018793,0.000000,0.044996,0.000000,0.017871,0.000000,0.040645,0.000000,0.024767,0.000000,0.000000,0.000000,0.008145,0.022415,0.008211,0.024017,0.049052,0.000000,0.064493,0.000000,0.025628,0.000000,0.025833,0.047366,0.052544,0.000000,0.000000,0.000000,0.050161,0.011595,0.000000,0.054230,0.000000,0.000000,0.000000,0.000000,0.017779,0.043654,0.000000,0.043410,0.000000,0.000000,0.015283,0.000000,0.000000,0.000000,0.000000,0.016423,0.011051,0.021457
6,140.761922,0.065057,0.025864,0.000000,0.042511,0.000000,0.022250,0.063059,0.039780,0.000000,0.000000,0.039301,0.050794,0.046495,0.000000,0.073134,0.000000,0.000000,0.000000,0.000000,0.033980,0.044835,0.049066,0.043922,0.029049,0.000000,0.000000,0.026291,0.021229,0.000000,0.000000,0.017672,0.000000,0.034805,0.000000,0.029897,0.000000,0.000000,0.045101,0.000000,0.000000,0.028693,0.000000,0.000000,0.000000,0.029422,0.048987,0.017489,0.000000,0.000000,0.000000,0.000000,0.027245,0.019341,0.000000,0.000000,0.030273,0.015150,0.030231,0.000000
37,216.833032,0.069451,0.025011,0.049298,0.025359,0.034625,0.000000,0.021158,0.044329,0.000000,0.005647,0.016444,0.011998,0.000000,0.032240,0.037877,0.036256,0.021517,0.011702,0.014792,0.000000,0.000000,0.020731,0.009102,0.031174,0.009753,0.038481,0.008401,0.041775,0.000000,0.038793,0.027061,0.010491,0.038597,0.022585,0.000000,0.000000,0.000000,0.020370,0.000000,0.016648,0.022022,0.000000,0.014331,0.041621,0.000000,0.018747,0.038214,0.000000,0.012041,0.017800,0.000000,0.040850,0.014394,0.000000,0.023754,0.000000,0.019910,0.023973,0.015140
30,216.633535,0.069381,0.025016,0.049332,0.025528,0.034177,0.000000,0.021354,0.044094,0.000000,0.005721,0.016231,0.012078,0.000000,0.031823,0.037387,0.036111,0.021799,0.011855,0.014986,0.000000,0.000000,0.021002,0.009163,0.030771,0.009818,0.038889,0.008292,0.042154,0.000000,0.038495,0.026711,0.010561,0.038475,0.022819,0.000000,0.000000,0.000000,0.020506,0.000000,0.016432,0.022169,0.000000,0.014519,0.041462,0.000000,0.018993,0.038601,0.000000,0.012122,0.018034,0.000000,0.040855,0.014583,0.000000,0.023447,0.000000,0.019652,0.023663,0.015338
7,203.681898,0.073730,0.025801,0.010921,0.032836,0.017876,0.025419,0.051078,0.048442,0.019614,0.011020,0.021366,0.039317,0.022717,0.010479,0.047247,0.000000,0.000000,0.014523,0.000000,0.025646,0.021906,0.042674,0.029862,0.019008,0.016549,0.007132,0.012846,0.031168,0.006652,0.000000,0.013650,0.000000,0.026883,0.026501,0.014608,0.000000,0.010071,0.027761,0.006799,0.000000,0.014020,0.000000,0.000000,0.000000,0.022725,0.047447,0.013508,0.000000,0.008067,0.000000,0.000000,0.030006,0.014939,0.015570,0.000000,0.038646,0.032673,0.021251,0.028576
15,234.560622,0.070583,0.025124,0.039148,0.027336,0.030195,0.006723,0.029071,0.045417,0.005187,0.007068,0.017745,0.019223,0.006008,0.026484,0.040355,0.026667,0.015826,0.012448,0.010880,0.006783,0.005794,0.026534,0.014593,0.027956,0.011551,0.030190,0.009577,0.038970,0.001759,0.028533,0.023514,0.007716,0.035499,0.023621,0.003863,0.000000,0.002664,0.022325,0.001798,0.012245,0.019906,0.000000,0.010541,0.030613,0.006010,0.026338,0.031680,0.000000,0.010990,0.013093,0.000000,0.037982,0.014538,0.004118,0.017472,0.010221,0.023285,0.023253,0.018693
